context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (книга) of (NULL) the (NULL) generation (родоводу) of (NULL) jesus (ісуса) christ (христа) the (NULL) son (сина) of (NULL) david (давидового) the (NULL) son (сина) of (NULL) abraham (авраамового) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (авраам) begat (породив) isaac (ісаака) and (а) isaac (ісаака) begat (породив) jacob (якова) and (а) jacob (якова) begat (породив) judas (юду) and (а) his (його) brethren (братів) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (а) judas (юда) begat (породив) phares (фареса) and (а) zara (зару) of (від) thamar (тамари) and (а) phares (фареса) begat (породив) esrom (єсрома) and (а) esrom (єсрома) begat (породив) aram (арама) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (а) aram (арам) begat (породив) aminadab (аминадава) and (а) aminadab (аминадава) begat (породив) naasson (насона) and (а) naasson (насона) begat (породив) salmon (салмона) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (а) salmon (салмон) begat (породив) booz (вооза) of (від) rachab (рахави) and (а) booz (вооза) begat (породив) obed (овида) of (від) ruth (рути) and (а) obed (овида) begat (породив) jesse (єссея) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (а) jesse (єссей) begat (породив) david (давида) the (NULL) king (царя) and (а) david (давида) the (NULL) king (царя) begat (породив) solomon (соломона) of (від) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (NULL) of (від) urias (урієвої) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (а) solomon (соломон) begat (породив) roboam (ровоама) and (а) roboam (ровоама) begat (породив) abia (авію) and (а) abia (авію) begat (породив) asa (асу) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (а) asa (аса) begat (породив) josaphat (йосафата) and (а) josaphat (йосафата) begat (породив) joram (йорама) and (а) joram (йорама) begat (породив) ozias (озію) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (а) ozias (озія) begat (породив) joatham (йоатама) and (а) joatham (йоатама) begat (породив) achaz (ахаза) and (а) achaz (ахаза) begat (породив) ezekias (єзекію) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (а) ezekias (єзекія) begat (породив) manasses (манассію) and (а) manasses (манассію) begat (породив) amon (амона) and (а) amon (амона) begat (породив) josias (йосію) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (а) josias (йосія) begat (породив) jechonias (єхонїю) and (а) his (його) brethren (братів) about (під) the (NULL) time (час) they (NULL) were (NULL) carried (переселення) away (NULL) to (у) babylon (вавилон) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (а) after (після) they (NULL) were (NULL) brought (переселено) to (NULL) babylon (як) jechonias (єхонїя) begat (породив) salathiel (салатиїла) and (а) salathiel (салатиїла) begat (породив) zorobabel (зоровавеля) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (а) zorobabel (заровавель) begat (породив) abiud (авіюда) and (а) abiud (авіюда) begat (породив) eliakim (єліякима) and (а) eliakim (єліякима) begat (породив) azor (азора) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (а) azor (азор) begat (породив) sadoc (садока) and (а) sadoc (садока) begat (породив) achim (ахима) and (а) achim (ахима) begat (породив) eliud (єліюда) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (а) eliud (єліюд) begat (породив) eleazar (єліазара) and (а) eleazar (єліазара) begat (породив) matthan (маттана) and (а) matthan (маттана) begat (породив) jacob (якова) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (а) jacob (яков) begat (породив) joseph (йосифа) the (NULL) husband (чоловіка) of (від) mary (NULL) of (від) whom (мариїного) was (NULL) born (родивсь) jesus (ісус) who (що) is (NULL) called (прізвище) christ (христос) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (NULL) all (всїх) the (NULL) generations (родів) from (од) abraham (авраама) to (до) david (давида) are (NULL) fourteen (чотирнайцять) generations (родів) and (а) from (од) david (давида) until (до) the (NULL) carrying (переселення) away (NULL) into (у) babylon (вавилон) are (NULL) fourteen (чотирнайцять) generations (родів) and (а) from (од) the (NULL) carrying (переселення) away (NULL) into (у) babylon (вавилон) unto (до) christ (христа) are (NULL) fourteen (чотирнайцять) generations (родів) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (ж) the (NULL) birth (різдво) of (NULL) jesus (ісуса) christ (христа) was (стало) on (NULL) this (ся) wise (так) when (NULL) as (скоро) his (його) mother (матїр) mary (марию) was (стало) espoused (заручено) to (NULL) joseph (иосифові) before (перш) they (вони) came (NULL) together (постережено) she (вона) was (стало) found (пала) with (в) child (утробі) of (NULL) the (NULL) holy (сьвятого) ghost (духа) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (же) joseph (йосиф) her (її) husband (чоловік) being (будучи) a (NULL) just (праведний) man (NULL) and (і) not (не) willing (хотячи) to (NULL) make (NULL) her (її) a (NULL) publick (NULL) example (NULL) was (був) minded (потай) to (NULL) put (NULL) her (її) away (NULL) privily (відпустити) 
