context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (jbˈijak) of (NULL) the (NULL) generation (jmam) of (NULL) jesus (NULL) christ (jesucristo) the (NULL) son (NULL) of (NULL) david (david) the (NULL) son (NULL) of (NULL) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (jkaj) isaac (isaac) and (NULL) isaac (isaac) begat (jkaj) jacob (jacob) and (NULL) jacob (jacob) begat (jkaj) judas (NULL) and (NULL) his (jkˈun) brethren (ratz) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (tamar) begat (NULL) phares (fares) and (NULL) zara (jkajak) of (NULL) thamar (zara) and (NULL) phares (fares) begat (NULL) esrom (esrom) and (NULL) esrom (esrom) begat (NULL) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (jkaj) aminadab (aminadab) and (NULL) aminadab (aminadab) begat (jkaj) naasson (naasón) and (NULL) naasson (naasón) begat (jkaj) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmón) begat (jkaj) booz (booz) of (NULL) rachab (jchuch) and (NULL) booz (booz) begat (jkaj) obed (obed) of (NULL) ruth (rut) and (NULL) obed (obed) begat (jkaj) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaí) begat (jkaj) david (NULL) the (NULL) king (rey) and (NULL) david (NULL) the (NULL) king (rey) begat (jkaj) solomon (salomón) of (NULL) her (anm) that (ri) had (NULL) been (NULL) the (NULL) wife (rixokl) of (NULL) urias (urías) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (jkaj) roboam (roboam) and (NULL) roboam (roboam) begat (jkaj) abia (abías) and (NULL) abia (abías) begat (jkaj) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (jkaj) josaphat (josafat) and (NULL) josaphat (josafat) begat (jkaj) joram (joram) and (NULL) joram (joram) begat (jkaj) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzías) begat (jkaj) joatham (jotam) and (NULL) joatham (jotam) begat (jkaj) achaz (acaz) and (NULL) achaz (acaz) begat (jkaj) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequías) begat (jkaj) manasses (manasés) and (NULL) manasses (manasés) begat (jkaj) amon (amón) and (NULL) amon (amón) begat (jkaj) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (josías) begat (jkaj) jechonias (jeconías) and (NULL) his (jkˈun) brethren (ratz) about (NULL) the (mak) time (junabˈ) they (NULL) were (NULL) carried (NULL) away (NULL) to (yak) babylon (babilonia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (NULL) after (cuando) they (NULL) were (NULL) brought (NULL) to (yak) babylon (babilonia) jechonias (jeconías) begat (NULL) salathiel (salatiel) and (NULL) salathiel (salatiel) begat (NULL) zorobabel (zorobabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zorobabel) begat (jkaj) abiud (abiud) and (NULL) abiud (abiud) begat (jkaj) eliakim (eliaquim) and (NULL) eliakim (eliaquim) begat (jkaj) azor (azor) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azor) begat (jkaj) sadoc (sadoc) and (NULL) sadoc (sadoc) begat (jkaj) achim (aquim) and (NULL) achim (aquim) begat (jkaj) eliud (eliud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliud) begat (jkaj) eleazar (eleazar) and (NULL) eleazar (eleazar) begat (jkaj) matthan (matán) and (NULL) matthan (matán) begat (jkaj) jacob (jacob) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jacob) begat (jkaj) joseph (josé) the (wich) husband (richjil) of (NULL) mary (maría) of (NULL) whom (ri) was (NULL) born (jchuch) jesus (jesús) who (ri) is (riˈ) called (tibˈijsaj) christ (jtaknach) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (jilonli) all (NULL) the (NULL) generations (xwaˈxiˈ) from (xcholmajch) abraham (abraham) to (israel) david (david) are (ri) fourteen (14) generations (xwaˈxiˈ) and (y) from (xcholmajch) david (david) until (asta) the (NULL) carrying (xcˈamsajtakbˈi) away (NULL) into (NULL) babylon (babilonia) are (ri) fourteen (14) generations (xwaˈxiˈ) and (y) from (xcholmajch) the (NULL) carrying (xcˈamsajtakbˈi) away (NULL) into (NULL) babylon (babilonia) unto (chic) christ (kakaj) are (ri) fourteen (14) generations (xwaˈxiˈ) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (xqˈuisiˈy) of (NULL) jesus (jesucristo) christ (jesucristo) was (NULL) on (NULL) this (NULL) wise (NULL) when (NULL) as (cuando) his (NULL) mother (jchuch) mary (maría) was (NULL) espoused (tzˈonalchak) to (riqˈuil) joseph (josé) before (ajquiˈ) they (NULL) came (NULL) together (ribˈak) she (anm) was (NULL) found (jcˈam) with (riqˈuil) child (yaj) of (NULL) the (NULL) holy (lokˈlaj) ghost (jsantil) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (josé) her (maría) husband (tzˈonawinak) being (NULL) a (NULL) just (jcholajliˈn) man (NULL) and (NULL) not (taˈ) willing (raj) to (re) make (NULL) her (maría) a (NULL) publick (jqˈuixbˈ) example (NULL) was (NULL) minded (NULL) to (re) put (NULL) her (maría) away (tresaj) privily (mukukil) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (NULL) while (NULL) he (NULL) thought (NULL) on (NULL) these (jilonli) things (NULL) behold (xpe) the (NULL) angel (anjl) of (NULL) the (NULL) lord (kajawl) appeared (NULL) unto (NULL) him (re) in (NULL) a (jun) dream (xrichcˈaj) saying (xij) joseph (josé) thou (at) son (pi) of (NULL) david (david) fear (tzaak) not (mi) to (chi) take (jcˈamic) unto (NULL) thee (NULL) mary (maría) thy (achˈol) wife (awixokl) for (jwiˈl) that (NULL) which (NULL) is (ri) conceived (rechiˈ) in (NULL) her (ricˈlal) is (ri) of (NULL) the (NULL) holy (lokˈlaj) ghost (jsantil) 
b.MAT.1.21 and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) and (NULL) she (maría) shall (NULL) bring (tiqˈuisiˈy) forth (winak) a (jun) son (ricˈlal) and (NULL) thou (NULL) shalt (tacoj) call (NULL) his (NULL) name (jbˈij) jesus (jesús) for (jwiˈl) he (NULL) shall (NULL) save (ticolow) his (NULL) people (jwinak) from (laj) their (NULL) sins (jmacak) 
b.MAT.1.22 now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) now (NULL) all (juntir) this (NULL) was (NULL) done (NULL) that (ri) it (li) might (pirechiˈ) be (NULL) fulfilled (chiwch) which (ri) was (NULL) spoken (xij) of (NULL) the (NULL) lord (kajawl) by (jyolj) the (NULL) prophet (ajkˈasal) saying (jilonri) 
b.MAT.1.23 behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,b.MAT.1.23 (b.MAT.1.23) behold (NULL) a (jun) virgin (echbˈel) shall (NULL) be (NULL) with (NULL) child (NULL) and (NULL) shall (NULL) bring (tiqˈuisiˈy) forth (winak) a (jun) son (ricˈlal) and (NULL) they (tijcojtak) shall (NULL) call (emanuel) his (man) name (jbˈij) emmanuel (emanuel) which (ri) being (NULL) interpreted (tielwiˈ) is (NULL) god (dios) with (NULL) us (kiqˈuil) 
b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (josé) being (cuando) raised (jwich) from (NULL) sleep (xcˈastaj) did (xan) as (chapcaˈ) the (NULL) angel (anjl) of (NULL) the (NULL) lord (kajawl) had (xijsaj) bidden (NULL) him (re) and (jilonli) took (xcˈam) unto (NULL) him (re) his (NULL) wife (rixokl) 
b.MAT.1.25 and knew her not till she had brought forth her firstborn son and he called his name jesus,b.MAT.1.25 (b.MAT.1.25) and (pero) knew (NULL) her (NULL) not (taˈ) till (asta) she (ricˈlal) had (NULL) brought (NULL) forth (xqˈuisiˈy) her (NULL) firstborn (xrechbˈej) son (pi) and (pero) he (ajrucˈreˈ) called (NULL) his (NULL) name (jbˈij) jesus (jesús) 
b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,b.MAT.2.1 (b.MAT.2.1) now (NULL) when (cuando) jesus (jesús) was (NULL) born (xqˈuisiˈy) in (tilmit) bethlehem (belén) of (NULL) judaea (judea) in (tilmit) the (mak) days (junabˈ) of (NULL) herod (herodes) the (mak) king (rey) behold (NULL) there (wiˈ) came (xpetak) wise (NULL) men (winak) from (laj) the (mak) east (tielwiˈch) to (rilic) jerusalem (jerusalén) 
b.MAT.2.2 saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,b.MAT.2.2 (b.MAT.2.2) saying (xijtak) where (lamas) is (wiˈ) he (NULL) that (NULL) is (wiˈ) born (xqˈuisiˈyc) king (jreyak) of (rijajl) the (NULL) jews (israel) for (jchˈumil) we (oj) have (NULL) seen (xkilaˈch) his (NULL) star (wojch) in (laj) the (NULL) east (jsucˈlal) and (y) are (NULL) come (xojpe) to (jnimirsaj) worship (jkˈij) him (xcheˈtak) 
b.MAT.2.3 when herod the king had heard these things he was troubled and all jerusalem with him,b.MAT.2.3 (b.MAT.2.3) when (cuando) herod (herodes) the (man) king (rey) had (NULL) heard (xta) these (jilonli) things (NULL) he (NULL) was (xoc) troubled (NULL) and (jilon) all (juntir) jerusalem (jerusalén) with (NULL) him (NULL) 
b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,b.MAT.2.4 (b.MAT.2.4) and (xpe) when (NULL) he (xtak) had (NULL) gathered (NULL) all (NULL) the (NULL) chief (jbˈabˈalak) priests (ajcˈamaltak) and (xpe) scribes (ajtijoltak) of (NULL) the (NULL) people (cristian) together (NULL) he (xtak) demanded (tiqˈuisiˈywiˈ) of (NULL) them (rechak) where (lamas) christ (jtaknach) should (tina) be (NULL) born (NULL) 
b.MAT.2.5 and they said unto him in bethlehem of judaea for thus it is written by the prophet,b.MAT.2.5 (b.MAT.2.5) and (NULL) they (rechak) said (xijtak) unto (NULL) him (re) in (NULL) bethlehem (belén) of (NULL) judaea (judea) for (NULL) thus (NULL) it (xcan) is (jilon) written (jtzˈibˈaj) by (jyolj) the (NULL) prophet (ajkˈasal) 
b.MAT.2.6 and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,b.MAT.2.6 (b.MAT.2.6) and (claˈ) thou (at) bethlehem (belén) in (tilmit) the (NULL) land (NULL) of (NULL) juda (judea) art (at) not (taˈ) the (NULL) least (jkˈij) among (chijxoˈlak) the (NULL) princes (NULL) of (NULL) juda (judea) for (jwiˈl) out (tilmit) of (NULL) thee (NULL) shall (xcheˈ) come (NULL) a (jun) governor (ticˈamow) that (NULL) shall (xcheˈ) rule (tiqˈuisiˈywiˈ) my (inwinak) people (rijajl) israel (israel) 
b.MAT.2.7 then herod when he had privily called the wise men inquired of them diligently what time the star appeared,b.MAT.2.7 (b.MAT.2.7) then (xpe) herod (herodes) when (NULL) he (xtak) had (xijsaj) privily (mukukil) called (jsiqˈuijcak) the (mak) wise (NULL) men (winak) inquired (tijojem) of (NULL) them (ribˈak) diligently (NULL) what (nen) time (NULL) the (mak) star (chˈumil) appeared (NULL) 
b.MAT.2.8 and he sent them to bethlehem and said go and search diligently for the young child and when ye have found him bring me word again that i may come and worship him also,b.MAT.2.8 (b.MAT.2.8) and (ajrucˈreˈ) he (NULL) sent (xtaktakbˈi) them (NULL) to (NULL) bethlehem (belén) and (ajrucˈreˈ) said (xij) go (jattak) and (ajrucˈreˈ) search (NULL) diligently (toctatak) for (NULL) the (man) young (ra) child (neˈ) and (ajrucˈreˈ) when (cuando) ye (NULL) have (NULL) found (NULL) him (NULL) bring (innimirsaj) me (chwe) word (abˈijtak) again (chic) that (NULL) i (NULL) may (pire) come (NULL) and (ajrucˈreˈ) worship (jkˈij) him (NULL) also (NULL) 
b.MAT.2.9 when they had heard the king they departed and lo the star which they saw in the east went before them till it came and stood over where the young child was,b.MAT.2.9 (b.MAT.2.9) when (cuando) they (mak) had (NULL) heard (xtatak) the (man) king (rey) they (mak) departed (xeˈtak) and (y) lo (NULL) the (man) star (chˈumil) which (ri) they (mak) saw (xriltakch) in (laj) the (man) east (jsucˈlal) went (NULL) before (NULL) them (chiwchak) till (NULL) it (nabˈeyiˈ) came (xeˈ) and (y) stood (waˈrok) over (laˈ) where (lamas) the (man) young (ra) child (neˈ) was (NULL) 
b.MAT.2.10 when they saw the star they rejoiced with exceeding great joy,b.MAT.2.10 (b.MAT.2.10) when (cuando) they (NULL) saw (xriltak) the (man) star (chˈumil) they (NULL) rejoiced (xquiˈcottak) with (NULL) exceeding (subˈlaj) great (NULL) joy (NULL) 
b.MAT.2.11 and when they were come into the house they saw the young child with mary his mother and fell down and worshipped him and when they had opened their treasures they presented unto him gifts gold and frankincense and myrrh,b.MAT.2.11 (b.MAT.2.11) and (NULL) when (cuando) they (xoctak) were (NULL) come (NULL) into (la) the (NULL) house (ja) they (xoctak) saw (xriltak) the (NULL) young (ra) child (neˈ) with (pach) mary (maría) his (NULL) mother (jchuch) and (NULL) fell (xxucbˈaˈ) down (NULL) and (NULL) worshipped (NULL) him (jkˈij) and (NULL) when (cuando) they (xoctak) had (NULL) opened (xtebˈaˈ) their (NULL) treasures (jcaxak) they (xoctak) presented (NULL) unto (NULL) him (jkˈij) gifts (xsipajtak) gold (oro) and (NULL) frankincense (pom) and (NULL) myrrh (mirra) 
