context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (maxaafaa) of (NULL) the (NULL) generation (yeletaa) of (NULL) jesus (yesuus) christ (kiristtoosa) the (NULL) son (NULL) of (NULL) david (daawita) the (NULL) son (NULL) of (NULL) abraham (abrahaama) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abrahaami) begat (NULL) isaac (NULL) and (NULL) isaac (NULL) begat (NULL) jacob (yaaqooba) and (NULL) jacob (yaaqooba) begat (NULL) judas (yihudaanne) and (NULL) his (a) brethren (ishantta) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yihudai) begat (yeliis) phares (NULL) and (NULL) zara (zaraaha) of (NULL) thamar (giyo) and (NULL) phares (NULL) begat (yeliis) esrom (hexiroona) and (NULL) esrom (hexiroona) begat (yeliis) aram (raama) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (raami) begat (NULL) aminadab (aminadaaba) and (NULL) aminadab (aminadaaba) begat (NULL) naasson (aminadaabi) and (NULL) naasson (aminadaabi) begat (NULL) salmon (na7asooni) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (ra7aabo) begat (NULL) booz (boo7eeza) of (NULL) rachab (maccaaseeppe) and (NULL) booz (boo7eeza) begat (NULL) obed (uruto) of (NULL) ruth (maccaaseeppe) and (NULL) obed (uruto) begat (NULL) jesse (yobeedi) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isseyi) begat (yeliis) david (daawita) the (NULL) king (NULL) and (NULL) david (daawita) the (NULL) king (NULL) begat (yeliis) solomon (solomona) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (machchiyo) of (NULL) urias (ooriyoona) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (solomoni) begat (NULL) roboam (robi7aama) and (NULL) roboam (robi7aama) begat (NULL) abia (robi7aami) and (NULL) abia (robi7aami) begat (NULL) asa (abiiyi) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asaafi) begat (NULL) josaphat (yoosaafixa) and (NULL) josaphat (yoosaafixa) begat (NULL) joram (yoosaafixi) and (NULL) joram (yoosaafixi) begat (NULL) ozias (yoraami) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ooziyaani) begat (NULL) joatham (yo7aataama) and (NULL) joatham (yo7aataama) begat (NULL) achaz (yo7aataami) and (NULL) achaz (yo7aataami) begat (NULL) ezekias (hizqqiyaasa) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (hizqqiyaasi) begat (NULL) manasses (minaasa) and (NULL) manasses (minaasa) begat (NULL) amon (minaasee) and (NULL) amon (minaasee) begat (NULL) josias (yoosiyaasa) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (NULL) begat (yeliis) jechonias (baabiloone) and (NULL) his (a) brethren (ishantta) about (yoosiyaasi) the (NULL) time (wode) they (NULL) were (NULL) carried (NULL) away (omoodettidi) to (NULL) babylon (yo7aakiinanne) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (NULL) after (guyyiyan) they (asai) were (biidoogaappe) brought (omoodetti) to (NULL) babylon (NULL) jechonias (yo7aakiini) begat (yeliis) salathiel (salaatiyaala) and (NULL) salathiel (salaatiyaala) begat (yeliis) zorobabel (zarubaabeela) 
