context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (incwadi) of (NULL) the (NULL) generation (yokuzalwa) of (NULL) jesus (kukajesu) christ (kristu) the (NULL) son (indodana) of (NULL) david (kadavide) the (NULL) son (indodana) of (NULL) abraham (abrahama) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abrahama) begat (wazala) isaac (isaka) and (u) isaac (isaka) begat (wazala) jacob (ujakobe) and (u) jacob (ujakobe) begat (wazala) judas (ujuda) and (u) his (NULL) brethren (nabafowabo) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (ujuda) begat (wazala) phares (ofaresi) and (NULL) zara (nozara) of (NULL) thamar (kutamari) and (NULL) phares (ofaresi) begat (wazala) esrom (esiromu) and (NULL) esrom (esiromu) begat (wazala) aram (aramu) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (u) aram (aramu) begat (wazala) aminadab (aminadaba) and (u) aminadab (aminadaba) begat (wazala) naasson (unasoni) and (u) naasson (unasoni) begat (wazala) salmon (usalimoni) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (usalimoni) begat (wazala) booz (ubowasi) of (NULL) rachab (kurakhabi) and (NULL) booz (ubowasi) begat (wazala) obed (obede) of (NULL) ruth (kuruthe) and (NULL) obed (obede) begat (wazala) jesse (ujesayi) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (ujesayi) begat (wazala) david (udavide) the (NULL) king (inkosi) and (NULL) david (udavide) the (NULL) king (inkosi) begat (wazala) solomon (usolomoni) of (NULL) her (kumka) that (NULL) had (NULL) been (NULL) the (NULL) wife (NULL) of (NULL) urias (uriya) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (usolomoni) begat (wazala) roboam (urobowamu) and (NULL) roboam (urobowamu) begat (wazala) abia (abiya) and (NULL) abia (abiya) begat (wazala) asa (asafa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asafa) begat (wazala) josaphat (ujosafati) and (NULL) josaphat (ujosafati) begat (wazala) joram (ujoramu) and (NULL) joram (ujoramu) begat (wazala) ozias (oziya) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (oziya) begat (wazala) joatham (ujothamu) and (NULL) joatham (ujothamu) begat (wazala) achaz (akazi) and (NULL) achaz (akazi) begat (wazala) ezekias (uhezekiya) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (uhezekiya) begat (wazala) manasses (umanase) and (NULL) manasses (umanase) begat (wazala) amon (amoni) and (NULL) amon (amoni) begat (wazala) josias (ujosiya) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (ujosiya) begat (wazala) jechonias (ujekoniya) and (NULL) his (NULL) brethren (nabafowabo) about (NULL) the (NULL) time (ngesikhathi) they (NULL) were (NULL) carried (sokuthunjelwa) away (NULL) to (NULL) babylon (ebabiloni) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (NULL) after (emva) they (NULL) were (NULL) brought (kokuthunjelwa) to (NULL) babylon (ebabiloni) jechonias (ujekoniya) begat (wazala) salathiel (usalatiyeli) and (NULL) salathiel (usalatiyeli) begat (wazala) zorobabel (uzorobabeli) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (uzorobabeli) begat (wazala) abiud (abiyudi) and (NULL) abiud (abiyudi) begat (wazala) eliakim (eliyakimi) and (NULL) eliakim (eliyakimi) begat (wazala) azor (azori) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azori) begat (wazala) sadoc (usadoki) and (NULL) sadoc (usadoki) begat (wazala) achim (akimi) and (NULL) achim (akimi) begat (wazala) eliud (eliyudi) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (u) eliud (eliyudi) begat (wazala) eleazar (eleyazare) and (u) eleazar (eleyazare) begat (wazala) matthan (umathani) and (u) matthan (umathani) begat (wazala) jacob (ujakobe) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (ujakobe) begat (wazala) joseph (ujosefa) the (NULL) husband (indoda) of (NULL) mary (kamariya) of (NULL) whom (NULL) was (NULL) born (NULL) jesus (ujesu) who (azalwa) is (NULL) called (othiwa) christ (ukristu) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (ke) all (zonke) the (NULL) generations (izizukulwane) from (eziyishumi) abraham (abrahama) to (NULL) david (NULL) are (NULL) fourteen (nane) generations (izizukulwane) and (NULL) from (eziyishumi) david (NULL) until (ezisukela) the (NULL) carrying (kudavide) away (NULL) into (ziye) babylon (ebabiloni) are (NULL) fourteen (nane) generations (izizukulwane) and (NULL) from (eziyishumi) the (NULL) carrying (kudavide) away (NULL) into (ziye) babylon (ebabiloni) unto (NULL) christ (kukristu) are (NULL) fourteen (nane) generations (izizukulwane) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (ukuzalwa) of (NULL) jesus (kukajesu) christ (kristu) was (kwaba) on (NULL) this (NULL) wise (NULL) when (NULL) as (NULL) his (NULL) mother (unina) mary (umariya) was (kwaba) espoused (esemiselwe) to (NULL) joseph (ujosefa) before (NULL) they (NULL) came (bengakahlangani) together (NULL) she (NULL) was (kwaba) found (wafunyanwa) with (ngomoya) child (ekhulelwe) of (NULL) the (NULL) holy (ongcwele) ghost (NULL) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (kepha) joseph (ujosefa) her (yakhe) husband (indoda) being (NULL) a (NULL) just (olungileyo) man (engumuntu) and (NULL) not (NULL) willing (engathandi) to (NULL) make (NULL) her (yakhe) a (NULL) publick (ihlazo) example (ukumthela) was (wayefuna) minded (ukumlahla) to (NULL) put (NULL) her (yakhe) away (NULL) privily (ngasese) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (NULL) while (NULL) he (NULL) thought (esazindla) on (NULL) these (NULL) things (ngalokho) behold (bheka) the (NULL) angel (ingelosi) of (NULL) the (NULL) lord (yenkosi) appeared (yabonakala) unto (NULL) him (kuye) in (NULL) a (NULL) dream (ngephupho) saying (ithi) joseph (josefa) thou (NULL) son (ndodana) of (NULL) david (kadavide) fear (ungesabi) not (NULL) to (NULL) take (ukumthatha) unto (NULL) thee (NULL) mary (umariya) thy (NULL) wife (umkakho) for (ngokuba) that (NULL) which (lokho) is (NULL) conceived (kungomoya) in (NULL) her (NULL) is (NULL) of (NULL) the (NULL) holy (ongcwele) ghost (NULL) 
b.MAT.1.21 and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) and (NULL) she (NULL) shall (uzakuzala) bring (NULL) forth (NULL) a (NULL) son (indodana) and (NULL) thou (NULL) shalt (NULL) call (uyiqambe) his (lokuthi) name (igama) jesus (ujesu) for (ngokuba) he (nguye) shall (uzakuzala) save (NULL) his (lokuthi) people (abantu) from (oyakusindisa) their (zabo) sins (ezonweni) 
b.MAT.1.22 now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) now (NULL) all (konke) this (lokhu) was (NULL) done (kwenzeka) that (NULL) it (NULL) might (ukuba) be (NULL) fulfilled (kugcwaliseke) which (NULL) was (NULL) spoken (okwakhulunywa) of (NULL) the (NULL) lord (yinkosi) by (ukuthi) the (NULL) prophet (ngomprofethi) saying (NULL) 
b.MAT.1.23 behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,b.MAT.1.23 (b.MAT.1.23) behold (bheka) a (NULL) virgin (intombi) shall (NULL) be (NULL) with (iyakukhulelwa) child (izale) and (NULL) shall (NULL) bring (NULL) forth (NULL) a (NULL) son (indodana) and (NULL) they (NULL) shall (NULL) call (NULL) his (lokuthi) name (igama) emmanuel (emanuweli) which (okungukuthi) being (NULL) interpreted (ngokuhunyushwa) is (NULL) god (unkulunkulu) with (iyakukhulelwa) us (unathi) 
b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (ujosefa) being (esevukile) raised (NULL) from (NULL) sleep (ebuthongweni) did (wenza) as (njengalokho) the (NULL) angel (ingelosi) of (NULL) the (NULL) lord (yenkosi) had (NULL) bidden (imyalile) him (NULL) and (NULL) took (wamthatha) unto (NULL) him (NULL) his (NULL) wife (umkakhe) 
b.MAT.1.25 and knew her not till she had brought forth her firstborn son and he called his name jesus,b.MAT.1.25 (b.MAT.1.25) and (NULL) knew (akaze) her (kuye) not (aya) till (waze) she (NULL) had (NULL) brought (NULL) forth (wazibula) her (kuye) firstborn (wayiqamba) son (ngendodana) and (NULL) he (NULL) called (NULL) his (lokuthi) name (igama) jesus (ujesu) 
b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,b.MAT.2.1 (b.MAT.2.1) now (NULL) when (NULL) jesus (ujesu) was (NULL) born (esezelwe) in (NULL) bethlehem (ebetlehema) of (NULL) judaea (lasejudiya) in (NULL) the (NULL) days (emihleni) of (NULL) herod (kaherode) the (NULL) king (inkosi) behold (bheka) there (NULL) came (kwafika) wise (izazi) men (NULL) from (zivela) the (NULL) east (empumalanga) to (NULL) jerusalem (ejerusalema) 
b.MAT.2.2 saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,b.MAT.2.2 (b.MAT.2.2) saying (NULL) where (uphi) is (NULL) he (lowo) that (NULL) is (NULL) born (ozelwe) king (eyinkosi) of (NULL) the (NULL) jews (yabajuda) for (ngokuba) we (size) have (NULL) seen (sibonile) his (yakhe) star (inkanyezi) in (NULL) the (NULL) east (kwelasempumalanga) and (NULL) are (NULL) come (NULL) to (NULL) worship (ukukhuleka) him (kuye) 
b.MAT.2.3 when herod the king had heard these things he was troubled and all jerusalem with him,b.MAT.2.3 (b.MAT.2.3) when (NULL) herod (uherode) the (NULL) king (inkosi) had (NULL) heard (esekuzwile) these (lokho) things (NULL) he (NULL) was (NULL) troubled (wakhathazeka) and (NULL) all (lonke) jerusalem (nejerusalema) with (kanye) him (naye) 
b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,b.MAT.2.4 (b.MAT.2.4) and (NULL) when (NULL) he (NULL) had (NULL) gathered (wabutha) all (bonke) the (NULL) chief (abapristi) priests (abakhulu) and (NULL) scribes (nababhali) of (NULL) the (NULL) people (NULL) together (besizwe) he (NULL) demanded (wabuza) of (NULL) them (kubo) where (ukuthi) christ (ukristu) should (NULL) be (NULL) born (uzakuzalelwaphi) 
b.MAT.2.5 and they said unto him in bethlehem of judaea for thus it is written by the prophet,b.MAT.2.5 (b.MAT.2.5) and (NULL) they (NULL) said (bathi) unto (NULL) him (kuye) in (NULL) bethlehem (ebetlehema) of (NULL) judaea (lasejudiya) for (ngokuba) thus (NULL) it (NULL) is (NULL) written (kulotshiwe) by (ukuthi) the (NULL) prophet (ngomprofethi) 
b.MAT.2.6 and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,b.MAT.2.6 (b.MAT.2.6) and (NULL) thou (nawe) bethlehem (betlehema) in (lizwe) the (NULL) land (NULL) of (NULL) juda (lakwajuda) art (NULL) not (kawusiye) the (NULL) least (omncane) among (NULL) the (NULL) princes (kubabusi) of (NULL) juda (lakwajuda) for (ngokuba) out (kuyakuvela) of (NULL) thee (kuwe) shall (NULL) come (NULL) a (NULL) governor (umbusi) that (NULL) shall (NULL) rule (oyakwalusa) my (sami) people (isizwe) israel (israyeli) 
b.MAT.2.7 then herod when he had privily called the wise men inquired of them diligently what time the star appeared,b.MAT.2.7 (b.MAT.2.7) then (khona) herod (uherode) when (NULL) he (NULL) had (NULL) privily (ngasese) called (ezibizile) the (NULL) wise (izazi) men (NULL) inquired (wabuzisisa) of (NULL) them (kuzo) diligently (NULL) what (NULL) time (isikhathi) the (NULL) star (inkanyezi) appeared (ebonakele) 
