sent_id,context,eng,acu,afr,ake,alb,amh,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,gla,glv,got,grc,gre,guj,heb,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,mar,mya,nep,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tel,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.GEN.2.4,These are the generations of the heavens and of the earth when they were created in the day that the LORD God made the earth and the heavens,when,NA,toe,NA,kur,ጊዜ,NA,حين,երբ,NA,NA,NULL,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,Da,da,NA,waato,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,Kad,mikor,Ketika,er,quando,NA,NULL,NA,NA,NA,때에,quando,NA,kai,NA,NULL,NULL,သ,श,NA,toen,da,NA,lai,حین,tamin,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,musi,kolkii,cuando,kad,NA,när,NA,నప,nang,NULL,As,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.3.6,And when the woman saw that the tree was good for food and that it was pleasant to the eyes and a tree to be desired to make one wise she took of the fruit thereof and did eat and gave also unto her husband with her and he did eat,when,NA,NULL,NA,NULL,NULL,NA,NULL,NULL,NA,NA,като,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,Viduci,nu,das,NA,Waato,NA,NULL,NULL,NA,NULL,NULL,NA,NA,NA,NA,NA,NULL,NA,NULL,जब,NULL,NULL,NULL,er,la,NA,NULL,NA,NA,NA,NULL,NULL,NA,Kai,NA,NULL,NULL,NULL,NULL,NA,NULL,NULL,NA,NULL,چون,NULL,NULL,vendo,NA,NA,NA,NA,NA,NULL,NULL,NA,NULL,NULL,akati,markii,NULL,NULL,NA,NULL,NA,డ,nang,เม,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.4.8,And Cain talked with Abel his brother and it came to pass when they were in the field that Cain rose up against Abel his brother and slew him,when,NA,toe,NA,kur,NULL,NA,اذ,Երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,NULL,da,NA,Alwaato,NA,kiam,kui,NA,Ja,NULL,NA,NA,NA,NA,NA,ενω,NA,NULL,जब,našavši,mikor,Ketika,er,Mentre,NA,NULL,NA,NA,NA,때에,cumque,NA,Abeliui,NA,i,ह,အခ,NULL,NA,Toen,da,NA,lai,چون,nony,gdy,estando,NA,NA,NA,NA,NA,cînd,когда,NA,potom,ko,vakati,markii,estando,kad,NA,när,NA,నప,nang,NULL,As,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.4.12,When thou tillest the ground it shall not henceforth yield unto thee her strength a fugitive and a vagabond shalt thou be in the earth,When,NA,As,NA,Kur,ጊዜ,NA,متى,NULL,NA,NA,Когато,NA,Sa,NA,NULL,NA,NA,NA,NA,NA,NA,Lè,Když,Når,Wenn,NA,Da,NA,Kiam,Kui,NA,Kun,Quand,NA,NA,NA,NA,NA,οταν,NA,כי,NULL,NULL,Mikor,NULL,Þegar,Quando,NA,NULL,NA,NA,NA,NULL,cum,NA,Kai,NA,Ka,NULL,အခ,जब,NA,NULL,Når,NA,NULL,NULL,Raha,Gdy,Quando,NA,NA,NA,NA,NA,Cînd,когда,NA,Keď,Ko,NULL,Kolkii,Cuando,Kad,NA,När,NA,డ,NULL,เม,NULL,NULL,NA,NA,NA,NA,Xenikweni,NA
b.GEN.5.2,Male and female created he them and blessed them and called their name Adam in the day when they were created,when,NA,toe,NA,që,NULL,NA,NULL,երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,da,da,NA,kaŋ,NA,NULL,NULL,NA,kun,lorsqu,NA,NA,NA,NA,NA,ην,NA,NULL,NULL,kad,NULL,NULL,er,quando,NA,NULL,NA,NA,NA,창조되던,qua,NA,kai,NA,NULL,व,သ,जब,NA,NULL,NULL,NA,a,NULL,NULL,którego,em,NA,NA,NA,NA,NA,cînd,NULL,NA,v,ko,NULL,NULL,que,kad,NA,när,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NA,mhlana,NA
b.GEN.6.1,And it came to pass when men began to multiply on the face of the earth and daughters were born unto them,when,NA,NULL,NA,Kur,ጊዜ,NA,لما,Երբ,NA,NA,NULL,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,NULL,když,nu,aber,NA,Saaya,NA,kiam,kui,NA,Kun,Lorsque,NA,NA,NA,NA,NA,οτε,NA,כי,जब,Kad,NULL,Setelah,Er,Quando,NA,NULL,NA,NA,NA,때에,cumque,NA,Kai,NA,ka,ह,အခ,जब,NA,NULL,nu,NA,NULL,چون,raha,gdy,quando,NA,NA,NA,NA,NA,Cînd,Когда,NA,keď,NULL,vakati,markii,cuando,kad,NA,nu,NA,నప,nang,NULL,as,NULL,NA,NA,NA,NA,Kuthe,NA
b.GEN.6.4,There were giants in the earth in those days and also after that when the sons of God came in unto the daughters of men and they bare children to them the same became mighty men which were of old men of renown,when,NA,toe,NA,kur,ጊዜ,NA,اذ,Երբ,NA,NA,като,NA,nahaduol,NA,候,NA,NA,NA,NA,NA,NA,Lè,když,når,da,NA,D,NA,kiam,kui,NA,kun,que,NA,NA,NA,NA,NA,αφου,NA,NULL,जब,kad,mikor,NULL,er,quando,NA,NULL,NA,NA,NA,NULL,NULL,NA,Kai,NA,haerenga,NULL,အခ,जब,NA,NULL,da,NA,NULL,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,s,как,NA,keď,ko,kana,kolkii,cuando,kad,NA,sedan,NA,నప,makasiping,งเม,jobbaran,NULL,NA,NA,NA,NA,xeshikweni,NA
b.GEN.7.6,And Noah was six hundred years old when the flood of waters was upon the earth,when,NA,toe,NA,kur,ጊዜ,NA,NULL,երբ,NA,NA,когато,NA,NULL,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,mikor,ketika,þegar,quando,NA,さて洪水が地に起った時,NA,NA,NA,때에,quando,NA,kai,NA,putanga,ह,NULL,ग,NA,toen,da,NA,hongtun,چون,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,как,NA,keď,ko,panguva,markii,cuando,kad,NA,när,NA,నప,nang,เม,as,koptuğunda,NA,NA,NA,NA,NULL,NA
b.GEN.9.14,And it shall come to pass when I bring a cloud over the earth that the bow shall be seen in the cloud,when,NA,As,NA,kur,ጊዜ,NA,متى,NULL,NA,NA,Когато,NA,diha,NA,候,NA,NA,NA,NA,NA,NA,NULL,když,Når,daß,NA,saaya,NA,kiam,Kui,NA,kun,Quand,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,Kad,mikor,kali,þegar,Quando,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,wa,ह,အခ,जब,NA,Als,når,NA,NULL,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,Cînd,когда,NA,keď,ko,kana,markii,cuando,kad,NA,när,NA,నప,pagka,อมาเม,NULL,zaman,NA,NA,NA,NA,NULL,NA
b.GEN.12.4,So Abram departed as the LORD had spoken unto him and Lot went with him and Abram was seventy and five years old when he departed out of Haran,when,NA,by,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,когато,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,saaya,NA,kiam,kui,NA,NULL,lorsqu,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,mikor,ketika,er,quando,NA,NULL,NA,NA,NA,때에,cum,NA,kai,NA,i,व,အခ,जब,NA,toen,da,NA,laiin,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,markuu,cuando,kad,NA,när,NA,నప,nang,ขณะเม,as,zaman,NA,NA,NA,NA,NULL,NA
b.GEN.12.11,And it came to pass when he was come near to enter into Egypt that he said unto Sarai his wife Behold now I know that thou art a fair woman to look upon,when,NA,toe,NA,kur,ጊዜ,NA,لما,Երբ,NA,NA,когато,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,Da,da,NA,kaŋ,NA,kiam,kui,NA,kun,Comme,NA,NA,NA,NA,NA,οτε,NA,כאשר,चकर,Kad,mikor,waktu,er,quando,NA,エジプトにはいろうとして,NA,NA,NA,때에,cumque,NA,priartėjus,NA,i,NULL,အခ,ग,NA,Als,da,NA,NULL,چون,rehefa,gdy,Quando,NA,NA,NA,NA,NA,Cînd,же,NA,keď,ko,wakati,markii,cuando,kad,NA,när,NA,నప,nang,NULL,As,NULL,NA,NA,NA,NA,akusondela,NA
b.GEN.12.12,Therefore it shall come to pass when the Egyptians shall see thee that they shall say This is his wife and they will kill me but they will save thee alive,when,NA,As,NA,kur,NULL,NA,اذا,NULL,NA,NA,като,NA,kong,NA,NULL,NA,NA,NA,NA,NA,NA,Lè,když,når,nun,NA,NULL,NA,kiam,kui,NA,Kun,Quand,NA,NA,NA,NA,NA,καθως,NA,כי,जब,Kad,mikor,Kalau,þegar,Quando,NA,NULL,NA,NA,NA,때에,cum,NA,pamatę,NA,kitenga,ह,အခ,जब,NA,NA,nu,NA,NULL,چون,raha,gdy,quando,NA,NA,NA,NA,NA,Cînd,когда,NA,keď,ko,NULL,markii,al,kad,NA,när,NA,NULL,NULL,อมาเม,NULL,NULL,NA,NA,NA,NA,akukubona,NA
b.GEN.12.14,And it came to pass that when Abram was come into Egypt the Egyptians beheld the woman that she was very fair,when,NA,Toe,NA,kur,ጊዜ,NA,لما,Երբ,NA,NA,като,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,NULL,nun,NA,waato,NA,kiam,Kui,NA,Kun,Lorsque,NA,NA,NA,NA,NA,οτε,NA,כבוא,जब,kad,mikor,setelah,Er,quando,NA,NULL,NA,NA,NA,때에,cum,NA,kai,NA,NULL,ह,အခ,त,NA,zagen,NULL,NA,NULL,مجرد,rehefa,gdy,entrando,NA,NA,NA,NA,NA,Cînd,когда,NA,keď,ko,Zvino,markii,cuando,kad,NA,nu,NA,నప,nang,NULL,NULL,NULL,NA,NA,NA,NA,NULL,NA
