sent_id,context,eng,acu,afr,ake,alb,amh,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,gla,glv,got,grc,gre,guj,heb,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,mar,mya,nep,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tel,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.GEN.8.22,While the earth remaineth seedtime and harvest and cold and heat and summer and winter and day and night shall not cease,While,NA,NULL,NA,NULL,NULL,NA,NULL,NULL,NA,NA,Догде,NA,Samtang,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,NULL,Herefter,Solange,NA,NULL,NA,NULL,Niikaua,NA,kuin,Tant,NA,NA,NA,NA,NA,οσω,NA,NULL,ज,NULL,Ennekutánna,NULL,Meðan,NULL,NA,NULL,NA,NA,NA,NULL,NULL,NA,Kol,NA,NULL,NULL,NULL,NA,NA,Zolang,lenge,NA,NULL,مادامی,Raha,NULL,Enquanto,NA,NA,NA,NA,NA,NULL,NULL,NA,Odteraz,Dokler,Nguva,Intuu,Mientras,NULL,NA,länge,NA,ల,Samantalang,ในขณะท,Iket,NULL,NA,NA,NA,NA,Kuthabathela,NA
b.GEN.19.16,And while he lingered the men laid hold upon his hand and upon the hand of his wife and upon the hand of his two daughters the LORD being merciful unto him and they brought him forth and set him without the city,while,NA,NULL,NA,NULL,NULL,NA,توانى,NULL,NA,NA,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,t,když,da,NULL,NA,NULL,NA,cxar,kui,NA,kun,comme,NA,NA,NA,NA,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,er,NULL,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,i,NULL,NULL,NULL,NA,nog,da,NA,lai,چون,nitaredretra,gdy,NULL,NA,NA,NA,NA,NA,NULL,NULL,NA,keď,NULL,NULL,NULL,NULL,NULL,NA,då,NA,NULL,NULL,ขณะท,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.25.6,But unto the sons of the concubines which Abraham had Abraham gave gifts and sent them away from Isaac his son while he yet lived eastward unto the east country,while,NA,NULL,NA,sa,ሳለ,NA,وهو,հեռացրեց,NA,NA,докато,NA,NULL,NA,候,NA,NA,NA,NA,NA,NA,NULL,NULL,medens,dieweil,NA,za,NA,dum,eluajal,NA,eläessänsä,tandis,NA,NA,NA,NA,NA,NULL,NA,בעודנו,NULL,NULL,mellõl,NULL,meðan,mentre,NA,NULL,NA,NA,NA,생전에,dum,NA,NULL,NA,ana,NA,စဉ,NA,NA,NULL,mens,NA,damlai,NULL,dieny,NULL,NULL,NA,NA,NA,NA,NA,cînd,NULL,NA,kým,dokler,achiri,intuu,mientras,NULL,NA,medan,NA,డగ,samantalang,เม,NULL,İshaktan,NA,NA,NA,NA,NULL,NA
b.GEN.29.9,And while he yet spake with them Rachel came with her father s sheep for she kept them,while,NA,NULL,NA,NULL,NULL,NA,NULL,Մինչ,NA,NA,Докато,NA,Samtang,NA,候,NA,NA,NA,NA,NA,NA,lè,NULL,Medens,NULL,NA,NULL,NA,Dum,NULL,NA,NULL,Comme,NA,NA,NA,NA,NA,ενω,NA,עודנו,NULL,Dok,mikor,Selagi,NULL,NULL,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,NULL,असत,NULL,रह,NA,NULL,Mens,NA,laiin,NULL,NULL,gdy,Enquanto,NA,NA,NA,NA,NA,cînd,NULL,NA,kým,NULL,achiri,intuu,Estando,Dok,NA,Medan,NA,డగ,NULL,NULL,NULL,konuşurken,NA,NA,NA,NA,kaloku,NA
b.GEN.45.1,Then Joseph could not refrain himself before all them that stood by him and he cried Cause every man to go out from me And there stood no man with him while Joseph made himself known unto his brethren,while,NA,toe,NA,kur,NULL,NA,NULL,NULL,NA,NA,когато,NA,samtang,NA,時,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,ενω,NA,בהתודע,NULL,NULL,mikor,NULL,NULL,mentre,NA,NULL,NA,NA,NA,때에,NULL,NA,kai,NA,i,NULL,အခ,NULL,NA,NULL,da,NA,sung,وقتی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,NULL,cuando,kad,NA,när,NA,NULL,samantalang,ขณะท,NA,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.46.29,And Joseph made ready his chariot and went up to meet Israel his father to Goshen and presented himself unto him and he fell on his neck and wept on his neck a good while,while,NA,lank,NA,sa,አቅፎትም,NA,زمانا,հեկեկալով,NA,NA,NULL,NA,dugay,NA,NULL,NA,NA,NA,NA,NA,NA,tan,dlouho,længe,NULL,NA,gay,NA,longe,kui,NA,kauan,NULL,NA,NA,NA,NA,NA,NULL,NA,עוד,रह,NULL,ideig,lama,NULL,NULL,NA,くびをかかえて久しく泣いた,NA,NA,NA,얼마동안,amplexus,NA,apsikabinęs,NA,i,NULL,NULL,जब,NA,NULL,lenge,NA,kigena,چون,raha,chwilę,tempo,NA,NA,NA,NA,NA,vreme,NULL,NA,NULL,NULL,nguva,wakhti,tiempo,NULL,NA,länge,NA,NULL,matagal,NULL,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.EXO.33.22,And it shall come to pass while my glory passeth by that I will put thee in a clift of the rock and will cover thee with my hand while I pass by,while,NA,as,NA,ndërsa,NULL,NA,NULL,NULL,NA,NA,когато,NA,samtang,NA,時,NA,NA,NA,NA,NA,NA,NULL,když,da,NULL,NA,NULL,NA,NULL,NA,NA,kun,NULL,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,Dok,mikor,waktu,NULL,NULL,NA,NULL,NA,NA,NA,때에,NULL,NA,NULL,NA,NULL,NULL,အခ,NULL,NA,NULL,når,NA,NULL,چون,raha,NULL,NULL,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,NULL,cuando,NULL,NA,NULL,NA,NULL,samantalang,NULL,NA,NULL,NA,NA,NA,NA,ekudluleni,NA
b.EXO.33.22,And it shall come to pass while my glory passeth by that I will put thee in a clift of the rock and will cover thee with my hand while I pass by,while,NA,as,NA,ndërsa,NULL,NA,NULL,NULL,NA,NA,когато,NA,samtang,NA,時,NA,NA,NA,NA,NA,NA,NULL,když,da,NULL,NA,NULL,NA,NULL,NA,NA,kun,NULL,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,Dok,mikor,waktu,NULL,NULL,NA,NULL,NA,NA,NA,때에,NULL,NA,NULL,NA,NULL,NULL,အခ,NULL,NA,NULL,når,NA,NULL,چون,raha,NULL,NULL,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,NULL,cuando,NULL,NA,NULL,NA,NULL,samantalang,NULL,NA,NULL,NA,NA,NA,NA,ekudluleni,NA
b.EXO.34.29,And it came to pass when Moses came down from mount Sinai with the two tables of testimony in Moses hand when he came down from the mount that Moses wist not that the skin of his face shone while he talked with him,while,NA,omdat,NA,NULL,የፊቱ,NA,NULL,NULL,NA,NA,понеже,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,t,když,NULL,NULL,NA,NULL,NA,pro,NULL,NA,NULL,parce,NA,NA,NA,NA,NA,ενω,NA,NULL,रह,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NA,NA,말씀하였음을,NULL,NA,NULL,NA,i,NULL,NULL,रह,NA,gloeide,fordi,NA,sung,NULL,NULL,gdy,NULL,NA,NA,NA,NA,NA,NULL,лучами,NA,skveje,ker,richibwinya,wejigiisu,estado,dokle,NA,hy,NA,డగ,NULL,NULL,NA,RABle,NA,NA,NA,NA,NULL,NA
b.LEV.4.27,And if any one of the common people sin through ignorance while he doeth somewhat against any of the commandments of the LORD concerning things which ought not to be done and be guilty,while,NA,omdat,NA,NULL,NULL,NA,NULL,NA,NA,NA,като,NA,nakabuhat,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NA,NULL,NULL,NA,NA,NA,NA,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,mea,NULL,NULL,NULL,NA,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NA,NA,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NA,därigenom,NA,NULL,NULL,เจตนาค,NA,NULL,NA,NA,NA,NA,NULL,NA
