context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (Ju) book (papinum) of (pachisar) the (NULL) generation (NULL) of (pachisar) Jesus (NULL) Christ (Jesucristo) the (NULL) son (ayayi) of (pachisar) David (Davidta) the (NULL) son (ayayi) of (pachisar) Abraham (Abrahama) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (yajutmarmiayi) Isaac (Isaacan) and (NULL) Isaac (Isaacan) begat (yajutmarmiayi) Jacob (Jacobon) and (NULL) Jacob (Jacobon) begat (yajutmarmiayi) Judas (Judán) and (NULL) his (NULL) brethren (yachí) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (Tura) Judas (Tamaran) begat (yajutmarmiayi) Phares (Zara) and (NULL) Zara (chikich) of (NULL) Thamar (Faresan) and (NULL) Phares (Zara) begat (yajutmarmiayi) Esrom (naartinun) and (NULL) Esrom (naartinun) begat (yajutmarmiayi) Aram (NULL) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (Tura) Aram (Esrom) begat (yajutmarmiayi) Aminadab (Araman) and (NULL) Aminadab (Araman) begat (yajutmarmiayi) Naasson (Salmónkan) and (NULL) Naasson (Salmónkan) begat (yajutmarmiayi) Salmon (Naasónkan) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (Tura) Salmon (Rahaban) begat (yajutmarmiayi) Booz (NULL) of (NULL) Rachab (Boozan) and (NULL) Booz (NULL) begat (yajutmarmiayi) Obed (Obedan) of (NULL) Ruth (Rutan) and (NULL) Obed (Obedan) begat (yajutmarmiayi) Jesse (Isaín) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Tura) Jesse (Isaí) begat (yajutmarmiayi) David (Davidtan) the (NULL) king (apu) and (NULL) David (Davidtan) the (NULL) king (apu) begat (yajutmarmiayi) Solomon (Salomónkan) of (NULL) her (NULL) that (NULL) had (uchirin) been (NULL) the (NULL) wife (nuwarin) of (NULL) Urias (Uríasa) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Tura) Solomon (Salomón) begat (yajutmarmiayi) Roboam (NULL) and (NULL) Roboam (NULL) begat (yajutmarmiayi) Abia (NULL) and (NULL) Abia (NULL) begat (yajutmarmiayi) Asa (Asan) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (Tura) Asa (Asa) begat (yajutmarmiayi) Josaphat (Josafatan) and (NULL) Josaphat (Josafatan) begat (yajutmarmiayi) Joram (NULL) and (NULL) Joram (NULL) begat (yajutmarmiayi) Ozias (Oseasan) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (Tura) Ozias (Oseas) begat (NULL) Joatham (Jotaman) and (NULL) Joatham (Jotaman) begat (NULL) Achaz (Acaz) and (NULL) Achaz (Acaz) begat (NULL) Ezekias (Ezequíasan) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Tura) Ezekias (Ezequías) begat (yajutmarmiayi) Manasses (Manasésan) and (NULL) Manasses (Manasésan) begat (yajutmarmiayi) Amon (NULL) and (NULL) Amon (NULL) begat (yajutmarmiayi) Josias (Josíasan) 
