context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Sises) Christ (NULL) the (NULL) son (NULL) of (NULL) David (Tepi) the (NULL) son (NULL) of (NULL) Abraham (Epʉra) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Epʉra) begat (kʉipʉnʉ) Isaac (Aisi) and (NULL) Isaac (Aisi) begat (kʉipʉnʉ) Jacob (Seko) and (NULL) Jacob (Seko) begat (kʉipʉnʉ) Judas (NULL) and (NULL) his (NULL) brethren (iyakon) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (kʉipʉnʉ) Phares (Peres) and (awonsi) Zara (Sera) of (esi) Thamar (Temarʉ) and (awonsi) Phares (Peres) begat (kʉipʉnʉ) Esrom (Esuran) and (awonsi) Esrom (Esuran) begat (kʉipʉnʉ) Aram (Ran) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ran) begat (kʉipʉnʉ) Aminadab (Aminatapu) and (NULL) Aminadab (Aminatapu) begat (kʉipʉnʉ) Naasson (Naisan) and (NULL) Naasson (Naisan) begat (kʉipʉnʉ) Salmon (Sarʉman) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Sarʉman) begat (kʉipʉnʉ) Booz (Powas) of (esi) Rachab (Reyapu) and (NULL) Booz (Powas) begat (kʉipʉnʉ) Obed (Ope) of (esi) Ruth (Ru) and (NULL) Obed (Ope) begat (kʉipʉnʉ) Jesse (Ise) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Ise) begat (kʉipʉnʉ) David (NULL) the (NULL) king (kin) and (mɨrɨ) David (NULL) the (NULL) king (kin) begat (kʉipʉnʉ) Solomon (Saraman) of (NULL) her (NULL) that (ne) had (pʉ) been (NULL) the (NULL) wife (no) of (NULL) Urias (Iuraya) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Saraman) begat (kʉipʉnʉ) Roboam (Reyopowan) and (NULL) Roboam (Reyopowan) begat (kʉipʉnʉ) Abia (Apaya) and (NULL) Abia (Apaya) begat (kʉipʉnʉ) Asa (Esa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Esa) begat (kʉipʉnʉ) Josaphat (Iseyosapa) and (NULL) Josaphat (Iseyosapa) begat (kʉipʉnʉ) Joram (Iseyoran) and (NULL) Joram (Iseyoran) begat (kʉipʉnʉ) Ozias (Usaya) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Usaya) begat (kʉipʉnʉ) Joatham (Iso) and (NULL) Joatham (Iso) begat (kʉipʉnʉ) Achaz (Eyas) and (NULL) Achaz (Eyas) begat (kʉipʉnʉ) Ezekias (Esi) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Esi) begat (kʉipʉnʉ) Manasses (Mana) and (pʉ) Manasses (Mana) begat (kʉipʉnʉ) Amon (Eman) and (pʉ) Amon (Eman) begat (kʉipʉnʉ) Josias (saya) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (saya) begat (kʉipʉnʉ) Jechonias (konaya) and (awonsi) his (NULL) brethren (iyakon) about (ne) the (NULL) time (tai) they (To) were (amʉ) carried (NULL) away (arɨ) to (pona) Babylon (Paperan) 
