context,targ
b.GEN.1.1 In the beginning God created the heaven and the earth,b.GEN.1.1 (b.GEN.1.1) In (NULL) the (NULL) beginning (սկզբանէ) God (Աստուած) created (ստեղծեց) the (NULL) heaven (երկինքն) and (ու) the (NULL) earth (երկիրը) 
b.GEN.1.2 And the earth was without form and void and darkness was upon the face of the deep And the Spirit of God moved upon the face of the waters,b.GEN.1.2 (b.GEN.1.2) And (NULL) the (NULL) earth (Երկիրն) was (էր) without (NULL) form (անձեւ) and (ու) void (անկազմ) and (ու) darkness (խաւար) was (էր) upon (վրայ) the (NULL) face (NULL) of (NULL) the (NULL) deep (անհունի) And (NULL) the (NULL) Spirit (NULL) of (NULL) God (Աստծու) moved (NULL) upon (վրայ) the (NULL) face (NULL) of (NULL) the (NULL) waters (ջրերի) 
b.GEN.1.3 And God said Let there be light and there was light,b.GEN.1.3 (b.GEN.1.3) And (Եւ) God (Աստուած) said (ասաց) Let (Թող) there (NULL) be (լինի) light (լոյս) and (NULL) there (NULL) was (եղաւ) light (լոյս) 
b.GEN.1.4 And God saw the light that it was good and God divided the light from the darkness,b.GEN.1.4 (b.GEN.1.4) And (NULL) God (Աստուած) saw (տեսաւ) the (NULL) light (լոյսը) that (NULL) it (NULL) was (NULL) good (լաւ) and (եւ) God (Աստուած) divided (բաժանեց) the (NULL) light (լոյսը) from (NULL) the (NULL) darkness (խաւարից) 
b.GEN.1.5 And God called the light Day and the darkness he called Night And the evening and the morning were the first day,b.GEN.1.5 (b.GEN.1.5) And (NULL) God (Աստուած) called (կոչեց) the (NULL) light (լոյսը) Day (ցերեկ) and (իսկ) the (NULL) darkness (խաւարը) he (NULL) called (կոչեց) Night (գիշեր) And (NULL) the (NULL) evening (երեկոյ) and (իսկ) the (NULL) morning (առաւօտ) were (NULL) the (NULL) first (առաջին) day (օր) 
b.GEN.1.6 And God said Let there be a firmament in the midst of the waters and let it divide the waters from the waters,b.GEN.1.6 (b.GEN.1.6) And (NULL) God (Աստուած) said (ասաց) Let (Թող) there (NULL) be (NULL) a (NULL) firmament (NULL) in (NULL) the (NULL) midst (առաջանայ) of (NULL) the (NULL) waters (NULL) and (եւ) let (թող) it (եղաւ) divide (բաժանուեն) the (NULL) waters (NULL) from (NULL) the (NULL) waters (NULL) 
b.GEN.1.7 And God made the firmament and divided the waters which were under the firmament from the waters which were above the firmament and it was so,b.GEN.1.7 (b.GEN.1.7) And (NULL) God (Աստուած) made (ստեղծեց) the (NULL) firmament (տարածութեան) and (NULL) divided (տարածութիւնը) the (NULL) waters (ջրերը) which (NULL) were (եղած) under (NULL) the (NULL) firmament (տարածութեան) from (NULL) the (NULL) waters (ջրերը) which (NULL) were (եղած) above (վրայ) the (NULL) firmament (տարածութեան) and (NULL) it (NULL) was (NULL) so (NULL) 
b.GEN.1.8 And God called the firmament Heaven And the evening and the morning were the second day,b.GEN.1.8 (b.GEN.1.8) And (NULL) God (Աստուած) called (կոչեց) the (NULL) firmament (տարածութիւնը) Heaven (Աստուած) And (NULL) the (NULL) evening (երեկոյ) and (եւ) the (NULL) morning (առաւօտ) were (NULL) the (NULL) second (երկրորդ) day (օր) 
b.GEN.1.9 And God said Let the waters under the heaven be gathered together unto one place and let the dry land appear and it was so,b.GEN.1.9 (b.GEN.1.9) And (Եւ) God (Աստուած) said (ասաց) Let (Թող) the (NULL) waters (ջրերը) under (տակ) the (NULL) heaven (երկնքի) be (NULL) gathered (հաւաքուեն) together (հաւաքուեցին) unto (NULL) one (մի) place (տեղ) and (եւ) let (NULL) the (NULL) dry (ցամաքը) land (NULL) appear (երեւայ) and (եւ) it (NULL) was (եղաւ) so (այդպէս) 
b.GEN.1.10 And God called the dry land Earth and the gathering together of the waters called he Seas and God saw that it was good,b.GEN.1.10 (b.GEN.1.10) And (NULL) God (Աստուած) called (կոչեց) the (NULL) dry (ցամաքը) land (NULL) Earth (երկիր) and (իսկ) the (NULL) gathering (հաւաքուած) together (NULL) of (NULL) the (NULL) waters (ջրերը) called (կոչեց) he (NULL) Seas (ծով) and (իսկ) God (Աստուած) saw (տեսաւ) that (որ) it (NULL) was (NULL) good (լաւ) 
