context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (mu) book (Ado) of (cu) the (yaja) generation (NULL) of (cu) Jesus (Jesús) Christ (Rotimu) the (yaja) son (NULL) of (cu) David (David) the (yaja) son (NULL) of (cu) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (macu) Isaac (Isaac) and (NULL) Isaac (Isaac) begat (macu) Jacob (Jacob) and (NULL) Jacob (Jacob) begat (macu) Judas (NULL) and (NULL) his (i) brethren (bederã) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (ñamasiñuju) Phares (NULL) and (NULL) Zara (Tamar) of (ñamasiñuju) Thamar (Zara) and (NULL) Phares (NULL) begat (ñamasiñuju) Esrom (Esrom) and (NULL) Esrom (Esrom) begat (ñamasiñuju) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (macu) Aminadab (Aminadab) and (NULL) Aminadab (Aminadab) begat (macu) Naasson (Naasón) and (NULL) Naasson (Naasón) begat (macu) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (macu) Booz (Booz) of (NULL) Rachab (jaco) and (I) Booz (Booz) begat (macu) Obed (Obed) of (NULL) Ruth (NULL) and (I) Obed (Obed) begat (macu) Jesse (Isa) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isa) begat (macu) David (David) the (NULL) king (U) and (NULL) David (David) the (NULL) king (U) begat (macu) Solomon (Salomón) of (vãme) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (manajo) of (vãme) Urias (Ur) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (macu) Roboam (Roboam) and (NULL) Roboam (Roboam) begat (macu) Abia (Ab) and (NULL) Abia (Ab) begat (macu) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (ñamasiñuju) Josaphat (Josafat) and (NULL) Josaphat (Josafat) begat (ñamasiñuju) Joram (Joram) and (NULL) Joram (Joram) begat (ñamasiñuju) Ozias (Uz) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uz) begat (macu) Joatham (Jotam) and (NULL) Joatham (Jotam) begat (macu) Achaz (Acaz) and (NULL) Achaz (Acaz) begat (macu) Ezekias (Ezequ) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequ) begat (macu) Manasses (Manasés) and (NULL) Manasses (Manasés) begat (macu) Amon (Amón) and (NULL) Amon (Amón) begat (macu) Josias (Jos) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (To) Josias (Jos) begat (macu) Jechonias (Jecon) and (yicõari) his (i) brethren (bederã) about (NULL) the (ias) time (NULL) they (NULL) were (NULL) carried (juamasiñujarã) away (na) to (Babiloniana) Babylon (bajiñariju) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (NULL) they (na) were (NULL) brought (NULL) to (NULL) Babylon (NULL) Jechonias (Jecon) begat (macu) Salathiel (Salatiel) and (NULL) Salathiel (Salatiel) begat (macu) Zorobabel (Zorobabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (ñamasiñuju) Abiud (Abiud) and (NULL) Abiud (Abiud) begat (ñamasiñuju) Eliakim (Eliaquim) and (NULL) Eliakim (Eliaquim) begat (ñamasiñuju) Azor (Azor) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (ñamasiñuju) Sadoc (Sadoc) and (NULL) Sadoc (Sadoc) begat (ñamasiñuju) Achim (Aquim) and (NULL) Achim (Aquim) begat (ñamasiñuju) Eliud (Eliud) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliud) begat (ñamasiñuju) Eleazar (Eleazar) and (NULL) Eleazar (Eleazar) begat (ñamasiñuju) Matthan (Matán) and (NULL) Matthan (Matán) begat (ñamasiñuju) Jacob (Jacob) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (I) Jacob (Jacob) begat (macu) Joseph (José) the (NULL) husband (manaju) of (NULL) Mary (Mar) of (NULL) whom (Dios) was (ñañuju) born (NULL) Jesus (Jesús) who (NULL) is (mi) called (NULL) Christ (Rotimu) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (NULL) the (cõro) generations (Salatiel) from (NULL) Abraham (Abraham) to (macaju) David (David) are (jãnerabatia) fourteen (babari) generations (Salatiel) and (macu) from (NULL) David (David) until (ri) the (cõro) carrying (aruji) away (NULL) into (vajama) Babylon (Babilonia) are (jãnerabatia) fourteen (babari) generations (Salatiel) and (macu) from (NULL) the (cõro) carrying (aruji) away (NULL) into (vajama) Babylon (Babilonia) unto (je) Christ (vamasiriajau) are (jãnerabatia) fourteen (babari) generations (Salatiel) 
