context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (wuj) of (NULL) the (Riyaˈ) generation (rumamaˈ) of (NULL) Jesus (NULL) Christ (Jesucristo) the (Riyaˈ) son (ralcˈual) of (NULL) David (David) the (Riyaˈ) son (ralcˈual) of (NULL) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (xalcˈualan) Isaac (Isaac) and (NULL) Isaac (Isaac) begat (xalcˈualan) Jacob (Jacob) and (NULL) Jacob (Jacob) begat (xalcˈualan) Judas (NULL) and (NULL) his (NULL) brethren (rachˈalal) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (Yacˈa) Judas (Tamar) begat (NULL) Phares (Judá) and (y) Zara (xecalcˈualaj) of (ri) Thamar (Zara) and (y) Phares (Judá) begat (NULL) Esrom (Esrom) and (y) Esrom (Esrom) begat (NULL) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (Y) Aram (Aram) begat (xralcˈualaj) Aminadab (Aminadab) and (ri) Aminadab (Aminadab) begat (xralcˈualaj) Naasson (Naasón) and (ri) Naasson (Naasón) begat (xralcˈualaj) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (Y) Salmon (Salmón) begat (NULL) Booz (Booz) of (ri) Rachab (xcalcˈualaj) and (y) Booz (Booz) begat (NULL) Obed (Obed) of (ri) Ruth (Rut) and (y) Obed (Obed) begat (NULL) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Y) Jesse (Isaí) begat (xralcˈualaj) David (David) the (ri) king (rey) and (y) David (David) the (ri) king (rey) begat (xralcˈualaj) Solomon (Salomón) of (ri) her (NULL) that (ya) had (ca) been (NULL) the (ri) wife (rixjayil) of (ri) Urias (Urías) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Yacˈa) Solomon (Salomón) begat (xralcˈualaj) Roboam (Roboam) and (ri) Roboam (Roboam) begat (xralcˈualaj) Abia (Abías) and (ri) Abia (Abías) begat (xralcˈualaj) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (Y) Asa (Asa) begat (xralcˈualaj) Josaphat (Josafat) and (ri) Josaphat (Josafat) begat (xralcˈualaj) Joram (Joram) and (ri) Joram (Joram) begat (xralcˈualaj) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (Y) Ozias (Uzías) begat (xralcˈualaj) Joatham (Jotam) and (ri) Joatham (Jotam) begat (xralcˈualaj) Achaz (Acaz) and (ri) Achaz (Acaz) begat (xralcˈualaj) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Y) Ezekias (Ezequías) begat (xralcˈualaj) Manasses (Manasés) and (ri) Manasses (Manasés) begat (xralcˈualaj) Amon (Amón) and (ri) Amon (Amón) begat (xralcˈualaj) Josias (Josías) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (Y) Josias (Josías) begat (xralcˈualaj) Jechonias (Jeconías) and (y) his (NULL) brethren (rachˈalal) about (Jeconías) the (ya) time (tiempo) they (NULL) were (nicˈaj) carried (NULL) away (el) to (pa) Babylon (Babilonia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (Y) after (tek) they (NULL) were (yecˈo) brought (NULL) to (pa) Babylon (Babilonia) Jechonias (Jeconías) begat (xralcˈualaj) Salathiel (Salatiel) and (y) Salathiel (Salatiel) begat (xralcˈualaj) Zorobabel (Zorobabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (Y) Zorobabel (Zorobabel) begat (xralcˈualaj) Abiud (Abiud) and (ri) Abiud (Abiud) begat (xralcˈualaj) Eliakim (Eliaquim) and (ri) Eliakim (Eliaquim) begat (xralcˈualaj) Azor (Azor) 
