context,targ
b.PSA.1.1 Blessed is the man that walketh not in the counsel of the ungodly nor standeth in the way of sinners nor sitteth in the seat of the scornful,b.PSA.1.1 (b.PSA.1.1) Blessed (DICHOSO) is (NULL) the (y) man (taotao) that (ni) walketh (mamomocat) not (ti) in (gui) the (y) counsel (pinagat) of (NULL) the (y) ungodly (manaelaye) nor (ni) standeth (sumasaga) in (gui) the (y) way (chalan) of (NULL) sinners (manisao) nor (ni) sitteth (matatachong) in (gui) the (y) seat (siyan) of (NULL) the (y) scornful (manmanmofefea) 
b.PSA.1.2 But his delight is in the law of the LORD and in his law doth he meditate day and night,b.PSA.1.2 (b.PSA.1.2) But (Lao) his (NULL) delight (NULL) is (NULL) in (guiya) the (NULL) law (lay) of (NULL) the (NULL) LORD (Jeova) and (ya) in (guiya) his (NULL) law (lay) doth (layña) he (NULL) meditate (jajaso) day (jaane) and (ya) night (puenge) 
b.PSA.1.3 And he shall be like a tree planted by the rivers of water that bringeth forth his fruit in his season his leaf also shall not wither and whatsoever he doeth shall prosper,b.PSA.1.3 (b.PSA.1.3) And (Ya) he (NULL) shall (NULL) be (NULL) like (NULL) a (y) tree (trongcon) planted (matanme) by (oriyan) the (NULL) rivers (sadog) of (NULL) water (NULL) that (NULL) bringeth (guaja) forth (ya) his (NULL) fruit (tinegchaña) in (gui) his (NULL) season (tiempoña) his (NULL) leaf (jagonña) also (NULL) shall (NULL) not (ti) wither (umalayo) and (ya) whatsoever (todo) he (NULL) doeth (finatinasña) shall (NULL) prosper (mumemegae) 
b.PSA.1.4 The ungodly are not so but are like the chaff which the wind driveth away,b.PSA.1.4 (b.PSA.1.4) The (NULL) ungodly (manaelaye) are (NULL) not (ti) so (taegüine) but (lao) are (NULL) like (parejo) the (y) chaff (paja) which (ni) the (y) wind (manglo) driveth (güinaefe) away (NULL) 
b.PSA.1.5 Therefore the ungodly shall not stand in the judgment nor sinners in the congregation of the righteous,b.PSA.1.5 (b.PSA.1.5) Therefore (NULL) the (y) ungodly (manaelaye) shall (NULL) not (ti) stand (mangajujulo) in (gui) the (y) judgment (sentensia) nor (ni) sinners (manisao) in (gui) the (y) congregation (inetnon) of (NULL) the (y) righteous (manunas) 
b.PSA.1.6 For the LORD knoweth the way of the righteous but the way of the ungodly shall perish,b.PSA.1.6 (b.PSA.1.6) For (Sa) the (NULL) LORD (Jeova) knoweth (jatungo) the (NULL) way (chalan) of (NULL) the (NULL) righteous (manunas) but (lao) the (NULL) way (chalan) of (NULL) the (NULL) ungodly (manaelaye) shall (NULL) perish (ufanmalingo) 
b.PSA.2.1 Why do the heathen rage and the people imagine a vain thing,b.PSA.2.1 (b.PSA.2.1) Why (NULL) do (jafa) the (y) heathen (nasion) rage (manlalalo) and (ya) the (y) people (taotao) imagine (manmanjaso) a (y) vain (NULL) thing (banida) 
b.PSA.2.2 The kings of the earth set themselves and the rulers take counsel together against the LORD and against his anointed saying,b.PSA.2.2 (b.PSA.2.2) The (Manotojgue) kings (ray) of (NULL) the (gui) earth (tano) set (NULL) themselves (NULL) and (ya) the (gui) rulers (prinsipe) take (NULL) counsel (manafaesen) together (sija) against (contra) the (gui) LORD (Jeova) and (ya) against (contra) his (y) anointed (pinalaeña) saying (ilegñija) 
b.PSA.2.3 Let us break their bands asunder and cast away their cords from us,b.PSA.2.3 (b.PSA.2.3) Let (Nita) us (NULL) break (yulang) their (y) bands (guinideña) asunder (NULL) and (ya) cast (NULL) away (nasuja) their (y) cords (godeña) from (guiya) us (NULL) 
b.PSA.2.4 He that sitteth in the heavens shall laugh the Lord shall have them in derision,b.PSA.2.4 (b.PSA.2.4) He (Ya) that (y) sitteth (sumasaga) in (gui) the (NULL) heavens (langet) shall (NULL) laugh (uchumachaleg) the (NULL) Lord (Señot) shall (NULL) have (NULL) them (sija) in (gui) derision (jamofefea) 
b.PSA.2.5 Then shall he speak unto them in his wrath and vex them in his sore displeasure,b.PSA.2.5 (b.PSA.2.5) Then (Ayo) shall (nae) he (NULL) speak (cumuentos) unto (yan) them (sija) in (yan) his (y) wrath (linalaloña) and (ya) vex (binibuña) them (sija) in (yan) his (y) sore (NULL) displeasure (ninafañatsaga) 
b.PSA.2.6 Yet have I set my king upon my holy hill of Zion,b.PSA.2.6 (b.PSA.2.6) Yet (Lao) have (NULL) I (guajo) set (japolo) my (y) king (rayjo) upon (jilo) my (y) holy (santos) hill (egsojo) of (NULL) Zion (Sion) 
b.PSA.2.7 I will declare the decree the LORD hath said unto me Thou art my Son this day have I begotten thee,b.PSA.2.7 (b.PSA.2.7) I (Guajo) will (bae) declare (jusangan) the (y) decree (tinagojo) the (y) LORD (Jeova) hath (NULL) said (ilegña) unto (nu) me (guajo) Thou (NULL) art (jao) my (NULL) Son (Lajijo) this (pago) day (jaane) have (NULL) I (Guajo) begotten (julilis) thee (jao) 
b.PSA.2.8 Ask of me and I shall give thee the heathen for thine inheritance and the uttermost parts of the earth for thy possession,b.PSA.2.8 (b.PSA.2.8) Ask (Gagaoyo) of (NULL) me (NULL) and (ya) I (guajo) shall (NULL) give (junaejao) thee (NULL) the (y) heathen (nasion) for (pot) thine (y) inheritance (erensiamo) and (ya) the (y) uttermost (uttimon) parts (patte) of (NULL) the (y) earth (tano) for (pot) thy (NULL) possession (uiyomo) 
b.PSA.2.9 Thou shalt break them with a rod of iron thou shalt dash them in pieces like a potter s vessel,b.PSA.2.9 (b.PSA.2.9) Thou (NULL) shalt (NULL) break (unyulang) them (sija) with (ni) a (y) rod (baran) of (NULL) iron (lulog) thou (NULL) shalt (NULL) dash (NULL) them (sija) in (NULL) pieces (yero) like (taegüije) a (y) potter (bason) s (y) vessel (unyogyog) 
b.PSA.2.10 Be wise now therefore O ye kings be instructed ye judges of the earth,b.PSA.2.10 (b.PSA.2.10) Be (NULL) wise (NULL) now (pago) therefore (tingo) O (O) ye (NULL) kings (ray) be (NULL) instructed (finanagüe) ye (NULL) judges (jues) of (NULL) the (gui) earth (tano) 
b.PSA.2.11 Serve the LORD with fear and rejoice with trembling,b.PSA.2.11 (b.PSA.2.11) Serve (Setbe) the (si) LORD (Jeova) with (ni) fear (minaañao) and (yan) rejoice (fanmagof) with (ni) trembling (minayengyong) 
b.PSA.2.12 Kiss the Son lest he be angry and ye perish from the way when his wrath is kindled but a little Blessed are all they that put their trust in him,b.PSA.2.12 (b.PSA.2.12) Kiss (Chico) the (y) Son (laje) lest (no) he (NULL) be (NULL) angry (ulalálalo) and (ya) ye (jamyo) perish (unfanmalingo) from (gui) the (y) way (chalan) when (sa) his (y) wrath (linalaloña) is (NULL) kindled (sinenggue) but (NULL) a (NULL) little (NULL) Blessed (Mandichoso) are (NULL) all (todos) they (NULL) that (NULL) put (NULL) their (y) trust (umangoco) in (guiya) him (güiya) 
b.PSA.3.1 LORD how are they increased that trouble me many are they that rise up against me,b.PSA.3.1 (b.PSA.3.1) LORD (JEOVA) how (muna) are (NULL) they (NULL) increased (manlajyan) that (y) trouble (NULL) me (enimigujo) many (Megae) are (NULL) they (NULL) that (y) rise (mangajulo) up (NULL) against (contra) me (enimigujo) 
b.PSA.3.2 Many there be which say of my soul There is no help for him in God Selah,b.PSA.3.2 (b.PSA.3.2) Many (Megae) there (NULL) be (NULL) which (ni) say (umaalog) of (NULL) my (y) soul (antijo) There (Taya) is (NULL) no (NULL) help (inayuda) for (para) him (güiya) in (gui) God (Yuus) Selah (Sila) 
b.PSA.3.3 But thou O LORD art a shield for me my glory and the lifter up of mine head,b.PSA.3.3 (b.PSA.3.3) But (Lao) thou (jago) O (O) LORD (Jeova) art (jago) a (y) shield (patang) for (NULL) me (oriyajo) my (y) glory (minalagjo) and (yan) the (y) lifter (janacajulo) up (NULL) of (NULL) mine (y) head (ilujo) 
b.PSA.3.4 I cried unto the LORD with my voice and he heard me out of his holy hill Selah,b.PSA.3.4 (b.PSA.3.4) I (NULL) cried (juagang) unto (NULL) the (si) LORD (Jeova) with (NULL) my (y) voice (inagangjo) and (ya) he (güiyaja) heard (umopeyo) me (NULL) out (gui) of (NULL) his (NULL) holy (santos) hill (ogsoña) Selah (Sila) 
b.PSA.3.5 I laid me down and slept I awaked for the LORD sustained me,b.PSA.3.5 (b.PSA.3.5) I (Bae) laid (juason) me (NULL) down (ya) and (ya) slept (maegoyo) I (Bae) awaked (magmatayo) for (sa) the (NULL) LORD (Jeova) sustained (gumuguutyo) me (NULL) 
b.PSA.3.6 I will not be afraid of ten thousands of people that have set themselves against me round about,b.PSA.3.6 (b.PSA.3.6) I (NULL) will (NULL) not (Ti) be (NULL) afraid (maañaoyo) of (nu) ten (dies) thousands (mit) of (nu) people (taotao) that (ni) have (NULL) set (mapolo) themselves (sija) against (contra) me (guajo) round (oriyajo) about (gui) 
