context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (I) book (NULL) of (NULL) the (ˈlɨɨ) generation (NULL) of (NULL) Jesus (NULL) Christ (Dseaˋ) the (ˈlɨɨ) son (NULL) of (NULL) David (Davíˈˆ) the (ˈlɨɨ) son (NULL) of (NULL) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (tiquiáˈˆ) Isaac (Isáaˊ) and (jo) Isaac (Isáaˊ) begat (tiquiáˈˆ) Jacob (NULL) and (jo) Jacob (NULL) begat (tiquiáˈˆ) Judas (NULL) and (jo) his (rúiñˈˋ) brethren (NULL) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (Jo) Judas (NULL) begat (calɨsíˋ) Phares (Fares) and (o) Zara (Zara) of (NULL) Thamar (Tamar) and (o) Phares (Fares) begat (calɨsíˋ) Esrom (Esrom) and (o) Esrom (Esrom) begat (calɨsíˋ) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (Jo) Aram (Aram) begat (calɨsíˋ) Aminadab (Aminadab) and (jo) Aminadab (Aminadab) begat (calɨsíˋ) Naasson (Naasón) and (jo) Naasson (Naasón) begat (calɨsíˋ) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (Jo) Salmon (Salmón) begat (calɨsíˋ) Booz (Booz) of (jo) Rachab (niquiáˈrˆ) and (guɨ) Booz (Booz) begat (calɨsíˋ) Obed (Obed) of (jo) Ruth (Rut) and (guɨ) Obed (Obed) begat (calɨsíˋ) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Jo) Jesse (Isaí) begat (calɨsíˋ) David (Davíˈˆ) the (NULL) king (NULL) and (jo) David (Davíˈˆ) the (NULL) king (NULL) begat (calɨsíˋ) Solomon (Salomón) of (jo) her (NULL) that (i) had (NULL) been (NULL) the (NULL) wife (dseamɨ) of (jo) Urias (Urías) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Jo) Solomon (Salomón) begat (calɨsíˋ) Roboam (Roboam) and (jo) Roboam (Roboam) begat (calɨsíˋ) Abia (Abías) and (jo) Abia (Abías) begat (calɨsíˋ) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (Jo) Asa (Asa) begat (calɨsíˋ) Josaphat (Josafat) and (jo) Josaphat (Josafat) begat (calɨsíˋ) Joram (Joram) and (jo) Joram (Joram) begat (calɨsíˋ) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (Jo) Ozias (Uzías) begat (calɨsíˋ) Joatham (Jotam) and (jo) Joatham (Jotam) begat (calɨsíˋ) Achaz (Acaz) and (jo) Achaz (Acaz) begat (calɨsíˋ) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Jo) Ezekias (Ezequías) begat (calɨsíˋ) Manasses (Manasés) and (jo) Manasses (Manasés) begat (calɨsíˋ) Amon (Amón) and (jo) Amon (Amón) begat (calɨsíˋ) Josias (Josías) 
