context,targ
b.MAT.5.24 Leave there thy gift before the altar and go thy way first be reconciled to thy brother and then come and offer thy gift,b.MAT.5.24 (b.MAT.5.24) Leave (остави) there (тоу) thy (твои) gift (даръ) before (прѣдъ) the (NULL) altar (олътаремъ) and (ꙇ) go (шедъ) thy (твои) way (NULL) first (прѣжде) be (сѧ) reconciled (съмири) to (NULL) thy (твои) brother (братромъ) and (ꙇ) then (тогда) come (пришедъ) and (ꙇ) offer (принеси) thy (твои) gift (даръ) 
b.MAT.5.25 Agree with thine adversary quickly whiles thou art in the way with him lest at any time the adversary deliver thee to the judge and the judge deliver thee to the officer and thou be cast into prison,b.MAT.5.25 (b.MAT.5.25) Agree (Бѫди) with (съ) thine (NULL) adversary (сѫпьремь) quickly (скоро) whiles (своимь) thou (NULL) art (еси) in (на) the (NULL) way (пѫти) with (съ) him (нимь) lest (да) at (NULL) any (не) time (оувѣщаѩ) the (NULL) adversary (сѫпьремь) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) judge (сѫдии) and (ꙇ) the (NULL) judge (сѫдии) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) officer (слоуѕѣ) and (ꙇ) thou (NULL) be (NULL) cast (въвръжетъ) into (въ) prison (темьницѫ) 
b.MAT.5.26 Verily I say unto thee Thou shalt by no means come out thence till thou hast paid the uttermost farthing,b.MAT.5.26 (b.MAT.5.26) Verily (аминь) I (NULL) say (лѭ) unto (NULL) thee (тебѣ) Thou (NULL) shalt (въздаси) by (NULL) no (не) means (изидеши) come (NULL) out (отъ) thence (тѫдѣ) till (доньдеже) thou (NULL) hast (NULL) paid (NULL) the (NULL) uttermost (NULL) farthing (кодрантъ) 
b.MAT.5.27 Ye have heard that it was said by them of old time Thou shalt not commit adultery,b.MAT.5.27 (b.MAT.5.27) Ye (ѣко) have (Слꙑшасте) heard (речено) that (NULL) it (бꙑ) was (NULL) said (NULL) by (NULL) them (NULL) of (NULL) old (древънимъ) time (NULL) Thou (NULL) shalt (NULL) not (не) commit (прѣлюбꙑ) adultery (сътвориши) 
b.MAT.5.28 But I say unto you That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart,b.MAT.5.28 (b.MAT.5.28) But (же) I (азъ) say (лѭ) unto (NULL) you (вамъ) That (ѣко) whosoever (вьсѣкъ) looketh (вьзьритъ) on (на) a (NULL) woman (NULL) to (NULL) lust (женѫ) after (NULL) her (NULL) hath (сътвори) committed (похотиѭ) adultery (любꙑ) with (съ) her (NULL) already (юже) in (въ) his (своемь) heart (рдци) 
b.MAT.5.29 And if thy right eye offend thee pluck it out and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,b.MAT.5.29 (b.MAT.5.29) And (же) if (аще) thy (твое) right (десное) eye (око) offend (съблажнаатъ) thee (тѧ) pluck (ꙇзьми) it (е) out (NULL) and (и) cast (връзи) it (е) from (отъ) thee (тѧ) for (бо) it (е) is (естъ) profitable (оунѣе) for (бо) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твое) members (оудъ) should (да) perish (погꙑблетъ) and (и) not (не) that (NULL) thy (твое) whole (вьсе) body (тѣло) should (да) be (бѫдетъ) cast (връзи) into (въ) hell (ꙉеонѫ) 
b.MAT.5.30 And if thy right hand offend thee cut if off and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,b.MAT.5.30 (b.MAT.5.30) And (ꙇ) if (аште) thy (твоѣ) right (десна) hand (рѫка) offend (съблажнаатъ) thee (тѧ) cut (оусѣци) if (аште) off (ѭ) and (и) cast (връзи) it (NULL) from (отъ) thee (тѧ) for (бо) it (NULL) is (естъ) profitable (оунѣе) for (бо) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твоѣ) members (оудъ) should (да) perish (погꙑблетъ) and (и) not (не) that (NULL) thy (твоѣ) whole (вьсе) body (тѣло) should (да) be (NULL) cast (връзи) into (въ) hell (ꙉеонѫ) 
b.MAT.5.31 It hath been said Whosoever shall put away his wife let him give her a writing of divorcement,b.MAT.5.31 (b.MAT.5.31) It (речено) hath (NULL) been (NULL) said (же) Whosoever (ꙇже) shall (аште) put (поуститъ) away (NULL) his (своѭ) wife (женѫ) let (да) him (NULL) give (дастъ) her (еи) a (NULL) writing (кънигꙑ) of (NULL) divorcement (распоустънꙑѩ) 
b.MAT.5.32 But I say unto you That whosoever shall put away his wife saving for the cause of fornication causeth her to commit adultery and whosoever shall marry her that is divorced committeth adultery,b.MAT.5.32 (b.MAT.5.32) But (же) I (азъ) say (лѭ) unto (NULL) you (вамъ) That (ѣко) whosoever (вьсѣкъ) shall (NULL) put (NULL) away (поуштаѩи) his (своѭ) wife (женѫ) saving (развѣ) for (NULL) the (NULL) cause (NULL) of (NULL) fornication (словесе) causeth (любодѣинааго) her (ѭ) to (NULL) commit (прѣлюбꙑ) adultery (дѣати) and (ꙇ) whosoever (вьсѣкъ) shall (NULL) marry (подъпѣгѫ) her (ѭ) that (NULL) is (NULL) divorced (поемлетъ) committeth (прѣлюбꙑ) adultery (дѣати) 
b.MAT.5.33 Again ye have heard that it hath been said by them of old time Thou shalt not forswear thyself but shalt perform unto the Lord thine oaths,b.MAT.5.33 (b.MAT.5.33) Again (пакꙑ) ye (NULL) have (слꙑшасте) heard (NULL) that (ѣко) it (бꙑ) hath (речено) been (древьниимъ) said (NULL) by (NULL) them (NULL) of (NULL) old (NULL) time (NULL) Thou (NULL) shalt (въздаси) not (не) forswear (лъжѫ) thyself (клънеши) but (же) shalt (въздаси) perform (NULL) unto (NULL) the (NULL) Lord (ви) thine (твоѩ) oaths (клѧтвꙑ) 
