context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (äyëí) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (NULL) Christ (Jesucristo) the (NULL) son (NULL) of (NULL) David (David) the (NULL) son (NULL) of (NULL) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (wätsikiwa) Isaac (NULL) and (te) Isaac (NULL) begat (wätsikiwa) Jacob (Jacob) and (te) Jacob (Jacob) begat (wätsikiwa) Judas (Judá) and (te) his (NULL) brethren (iel) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Tamar) begat (wätsikiwa) Phares (Fares) and (irä) Zara (Zara) of (NULL) Thamar (NULL) and (irä) Phares (Fares) begat (wätsikiwa) Esrom (NULL) and (irä) Esrom (NULL) begat (wätsikiwa) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (wätsikiwa) Aminadab (NULL) and (te) Aminadab (NULL) begat (wätsikiwa) Naasson (NULL) and (te) Naasson (NULL) begat (wätsikiwa) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (wätsikiwa) Booz (Booz) of (NULL) Rachab (Rahab) and (te) Booz (Booz) begat (wätsikiwa) Obed (Obed) of (NULL) Ruth (da) and (te) Obed (Obed) begat (wätsikiwa) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (wätsikiwa) David (David) the (NULL) king (tsa) and (te) David (David) the (NULL) king (tsa) begat (wätsikiwa) Solomon (Salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (alaklä) of (NULL) Urias (Urías) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (wätsikiwa) Roboam (NULL) and (te) Roboam (NULL) begat (wätsikiwa) Abia (NULL) and (te) Abia (NULL) begat (wätsikiwa) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (wätsikiwa) Josaphat (NULL) and (te) Josaphat (NULL) begat (wätsikiwa) Joram (NULL) and (te) Joram (NULL) begat (wätsikiwa) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzías) begat (wätsikiwa) Joatham (NULL) and (te) Joatham (NULL) begat (wätsikiwa) Achaz (NULL) and (te) Achaz (NULL) begat (wätsikiwa) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequías) begat (wätsikiwa) Manasses (NULL) and (te) Manasses (NULL) begat (wätsikiwa) Amon (NULL) and (te) Amon (NULL) begat (wätsikiwa) Josias (Josías) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Josías) begat (wätsikiwa) Jechonias (Jeconías) and (irä) his (NULL) brethren (iel) about (NULL) the (ska) time (i) they (NULL) were (NULL) carried (jalemi) away (NULL) to (ska) Babylon (Babilonia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (Ijalemi) after (ukä) they (NULL) were (NULL) brought (NULL) to (ska) Babylon (Babilonia) Jechonias (Jeconías) begat (wätsikiwa) Salathiel (NULL) and (te) Salathiel (NULL) begat (wätsikiwa) Zorobabel (Zorobabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (wätsikiwa) Abiud (NULL) and (te) Abiud (NULL) begat (wätsikiwa) Eliakim (NULL) and (te) Eliakim (NULL) begat (wätsikiwa) Azor (Azor) 
