context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (ivajiropee) of (NULL) the (NULL) generation (icharinepeeni) of (NULL) Jesus (NULL) Christ (Jesoquirishito) the (NULL) son (NULL) of (NULL) David (Iravirini) the (NULL) son (NULL) of (NULL) Abraham (Avaramani) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Avarama) begat (Iri) Isaac (Isaca) and (NULL) Isaac (Isaca) begat (Iri) Jacob (NULL) and (NULL) Jacob (NULL) begat (Iri) Judas (Jora) and (NULL) his (NULL) brethren (irirentipee) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Jora) begat (Iri) Phares (Jareshi) and (aisati) Zara (Sara) of (NULL) Thamar (Iro) and (aisati) Phares (Jareshi) begat (Iri) Esrom (Eshiromo) and (aisati) Esrom (Eshiromo) begat (Iri) Aram (Arama) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Arama) begat (Iri) Aminadab (Aminarava) and (NULL) Aminadab (Aminarava) begat (Iri) Naasson (Naso) and (NULL) Naasson (Naso) begat (Iri) Salmon (Saramo) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Saramo) begat (Iri) Booz (Voso) of (NULL) Rachab (Iro) and (NULL) Booz (Voso) begat (Iri) Obed (opajitani) of (NULL) Ruth (Oroto) and (NULL) Obed (opajitani) begat (Iri) Jesse (Jese) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Ari) Jesse (Jese) begat (Iri) David (Iraviri) the (yora) king (NULL) and (NULL) David (Iraviri) the (yora) king (NULL) begat (Iri) Solomon (Saromo) of (NULL) her (Iro) that (NULL) had (Oriashi) been (NULL) the (yora) wife (shirampari) of (NULL) Urias (yaaveitaniri) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Saromo) begat (Iri) Roboam (Orovoama) and (NULL) Roboam (Orovoama) begat (Iri) Abia (Aviashi) and (NULL) Abia (Aviashi) begat (Iri) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (Iri) Josaphat (Josavata) and (NULL) Josaphat (Josavata) begat (Iri) Joram (Jorama) and (NULL) Joram (Jorama) begat (Iri) Ozias (Oshiashi) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Oshiashi) begat (Iri) Joatham (Joatama) and (NULL) Joatham (Joatama) begat (Iri) Achaz (Acasa) and (NULL) Achaz (Acasa) begat (Iri) Ezekias (Eshequiashi) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Eshequiashi) begat (Iri) Manasses (Manasheshi) and (NULL) Manasses (Manasheshi) begat (Iri) Amon (Amo) and (NULL) Amon (Amo) begat (Iri) Josias (Joshiashi) 
