context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Yesu) Christ (Kilisiti) the (NULL) son (lʋlʋɣʋ) of (NULL) David (Tafiiti) the (NULL) son (lʋlʋɣʋ) of (NULL) Abraham (Apəlaham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Apəlaham) begat (lʋla) Isaac (Ɩsaaka) and (na) Isaac (Ɩsaaka) begat (lʋla) Jacob (Yakɔpʋ) and (na) Jacob (Yakɔpʋ) begat (lʋla) Judas (NULL) and (na) his (ɩ) brethren (newaa) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (lʋla) Phares (Falɛsɩ) and (na) Zara (Sela) of (NULL) Thamar (Tamaa) and (na) Phares (Falɛsɩ) begat (lʋla) Esrom (Hɛsəlɔŋ) and (na) Esrom (Hɛsəlɔŋ) begat (lʋla) Aram (Alam) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Alam) begat (lʋlɩ) Aminadab (Aminatapɩ) and (na) Aminadab (Aminatapɩ) begat (lʋlɩ) Naasson (Naasɔŋ) and (na) Naasson (Naasɔŋ) begat (lʋlɩ) Salmon (Saləma) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Saləma) begat (lʋla) Booz (Poosi) of (NULL) Rachab (Lahapɩ) and (kɛlɛ) Booz (Poosi) begat (lʋla) Obed (Opɛtɩ) of (NULL) Ruth (NULL) and (kɛlɛ) Obed (Opɛtɩ) begat (lʋla) Jesse (Sesee) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Sesee) begat (lʋləna) David (Tafiiti) the (sɔsɔ) king (wulaʋ) and (na) David (Tafiiti) the (sɔsɔ) king (wulaʋ) begat (lʋləna) Solomon (Salʋmɔŋ) of (NULL) her (alʋ) that (NULL) had (NULL) been (NULL) the (sɔsɔ) wife (NULL) of (NULL) Urias (Yulii) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salʋmɔŋ) begat (lʋla) Roboam (Lʋpʋwam) and (na) Roboam (Lʋpʋwam) begat (lʋla) Abia (Apiya) and (na) Abia (Apiya) begat (lʋla) Asa (Asafɩ) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asafɩ) begat (lʋlɩ) Josaphat (Yosafatɩ) and (na) Josaphat (Yosafatɩ) begat (lʋlɩ) Joram (Yolam) and (na) Joram (Yolam) begat (lʋlɩ) Ozias (Osiyasɩ) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Osiyasɩ) begat (lʋla) Joatham (Yowatam) and (na) Joatham (Yowatam) begat (lʋla) Achaz (Akasɩ) and (na) Achaz (Akasɩ) begat (lʋla) Ezekias (Ɩsekiyasɩ) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ɩsekiyasɩ) begat (lʋlɩ) Manasses (Manasee) and (na) Manasses (Manasee) begat (lʋlɩ) Amon (Amoŋ) and (na) Amon (Amoŋ) begat (lʋlɩ) Josias (Yosiyasɩ) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yosiyasɩ) begat (lʋləna) Jechonias (Cekoniyasɩ) and (na) his (ɩ) brethren (newaa) about (NULL) the (ná) time (waatʋ) they (NULL) were (pá) carried (NULL) away (NULL) to (pona) Babylon (Papiloni) 
