context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (nye) the (eƒe) generation (dzidzime) of (nye) Jesus (Yesu) Christ (Kristo) the (eƒe) son (NULL) of (nye) David (David) the (eƒe) son (NULL) of (nye) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (dzi) Isaac (NULL) and (dzi) Isaac (NULL) begat (dzi) Jacob (Yakɔb) and (dzi) Jacob (Yakɔb) begat (dzi) Judas (Yuda) and (dzi) his (NULL) brethren (nɔviawo) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yuda) begat (dzi) Phares (Perez) and (kple) Zara (Zera) of (nye) Thamar (Temar) and (kple) Phares (Perez) begat (dzi) Esrom (Hezrɔn) and (kple) Esrom (Hezrɔn) begat (dzi) Aram (Ram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ram) begat (dzi) Aminadab (Aminadab) and (dzi) Aminadab (Aminadab) begat (dzi) Naasson (Nahesɔn) and (dzi) Naasson (Nahesɔn) begat (dzi) Salmon (Salmo) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmo) begat (dzi) Booz (Boaz) of (nye) Rachab (Rahab) and (dzi) Booz (Boaz) begat (dzi) Obed (Obed) of (nye) Ruth (Rut) and (dzi) Obed (Obed) begat (dzi) Jesse (Yese) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Yese) begat (dzi) David (David) the (NULL) king (Fia) and (NULL) David (David) the (NULL) king (Fia) begat (dzi) Solomon (Salomo) of (dzi) her (NULL) that (ame) had (kpɔ) been (NULL) the (NULL) wife (srɔ) of (dzi) Urias (Uria) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomo) begat (dzi) Roboam (Rehoboam) and (ha) Roboam (Rehoboam) begat (dzi) Abia (Abiya) and (ha) Abia (Abiya) begat (dzi) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (dzi) Josaphat (Yehosafat) and (dzi) Josaphat (Yehosafat) begat (dzi) Joram (Yoram) and (dzi) Joram (Yoram) begat (dzi) Ozias (Uzia) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzia) begat (dzi) Joatham (Yotam) and (dzi) Joatham (Yotam) begat (dzi) Achaz (Ahaz) and (dzi) Achaz (Ahaz) begat (dzi) Ezekias (Hezekia) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hezekia) begat (dzi) Manasses (Manase) and (dzi) Manasses (Manase) begat (dzi) Amon (Amɔn) and (dzi) Amon (Amɔn) begat (dzi) Josias (Yosia) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yosia) begat (dzi) Jechonias (Yekonia) and (kple) his (NULL) brethren (nɔviawo) about (Wodzi) the (le) time (NULL) they (NULL) were (NULL) carried (NULL) away (aboyo) to (yi) Babylon (Babilonia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (Esi) after (aboyomenɔlawo) they (NULL) were (NULL) brought (va) to (gbɔ) Babylon (NULL) Jechonias (Yekonia) begat (dzi) Salathiel (Sealtiel) and (NULL) Salathiel (Sealtiel) begat (dzi) Zorobabel (Zerubabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zerubabel) begat (dzi) Abiud (Abihud) and (NULL) Abiud (Abihud) begat (dzi) Eliakim (Eliakim) and (NULL) Eliakim (Eliakim) begat (dzi) Azor (Azɔ) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (Azɔ) Azor (NULL) begat (dzi) Sadoc (NULL) and (dzi) Sadoc (NULL) begat (dzi) Achim (Akim) and (dzi) Achim (Akim) begat (dzi) Eliud (Elihud) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Elihud) begat (dzi) Eleazar (Eleaza) and (NULL) Eleazar (Eleaza) begat (dzi) Matthan (Matan) and (NULL) Matthan (Matan) begat (dzi) Jacob (Yakɔb) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (eye) Jacob (Yakɔb) begat (dzi) Joseph (Yosef) the (NULL) husband (srɔ) of (NULL) Mary (Maria) of (NULL) whom (NULL) was (NULL) born (NULL) Jesus (Yesu) who (NULL) is (nye) called (NULL) Christ (Kristo) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Dzidzimeawo) all (kata) the (NULL) generations (NULL) from (tso) Abraham (Abraham) to (va) David (David) are (NULL) fourteen (wuiene) generations (NULL) and (eye) from (tso) David (David) until (se) the (NULL) carrying (aboyo) away (NULL) into (NULL) Babylon (NULL) are (NULL) fourteen (wuiene) generations (NULL) and (eye) from (tso) the (NULL) carrying (aboyo) away (NULL) into (NULL) Babylon (NULL) unto (NULL) Christ (Yesu) are (NULL) fourteen (wuiene) generations (NULL) 
