context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Yesus) Christ (Kristus) the (NULL) son (awi) of (NULL) David (Daud) the (NULL) son (awi) of (NULL) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (yanau) Isaac (Ishak) and (ngopa) Isaac (Ishak) begat (yanau) Jacob (Yakub) and (ngopa) Jacob (Yakub) begat (yanau) Judas (Yehuda) and (ngopa) his (awi) brethren (gianongoru) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (O) Judas (Yehuda) begat (yanau) Phares (Peres) and (NULL) Zara (Tamar) of (ena) Thamar (Zerah) and (NULL) Phares (Peres) begat (yanau) Esrom (Hezron) and (NULL) Esrom (Hezron) begat (yanau) Aram (Ram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ram) begat (yanau) Aminadab (Abinadab) and (ngopa) Aminadab (Abinadab) begat (yanau) Naasson (Nahason) and (ngopa) Naasson (Nahason) begat (yanau) Salmon (Salmon) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (O) Salmon (Salmon) begat (yanau) Booz (Boas) of (NULL) Rachab (ongo) and (NULL) Booz (Boas) begat (yanau) Obed (Obed) of (NULL) Ruth (Rut) and (NULL) Obed (Obed) begat (yanau) Jesse (Isai) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (So) Jesse (Isai) begat (yanau) David (NULL) the (NULL) king (Kolano) and (de) David (NULL) the (NULL) king (Kolano) begat (yanau) Solomon (Salomo) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (balo) of (NULL) Urias (Uria) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomo) begat (yanau) Roboam (gena) and (ngopa) Roboam (gena) begat (yanau) Abia (Abia) and (ngopa) Abia (Abia) begat (yanau) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (De) Asa (Asa) begat (yanau) Josaphat (Yosafat) and (ngopa) Josaphat (Yosafat) begat (yanau) Joram (Yoram) and (ngopa) Joram (Yoram) begat (yanau) Ozias (Uzia) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (De) Ozias (Uzia) begat (yanau) Joatham (Yotam) and (ngopa) Joatham (Yotam) begat (yanau) Achaz (Ahas) and (ngopa) Achaz (Ahas) begat (yanau) Ezekias (Hizkia) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hizkia) begat (yanau) Manasses (Manasye) and (NULL) Manasses (Manasye) begat (yanau) Amon (Amon) and (NULL) Amon (Amon) begat (yanau) Josias (Yosia) 
