context,targ
b.MAR.1.1 The beginning of the gospel of Jesus Christ the Son of God,b.MAR.1.1 (b.MAR.1.1) The (T) beginning (oiseachd) of (NULL) the (NULL) gospel (soisgeul) of (NULL) Jesus (Iosa) Christ (Criosda) the (NULL) Son (Mac) of (NULL) God (Dhe) 
b.MAR.1.2 As it is written in the prophets Behold I send my messenger before thy face which shall prepare thy way before thee,b.MAR.1.2 (b.MAR.1.2) As (Air) it (reir) is (tha) written (sgriobhte) in (san) the (NULL) prophets (fhaidh) Behold (Isaias) I (mi) send (seall) my (m) messenger (roimh) before (aingeal) thy (NULL) face (ghnuis) which (a) shall (NULL) prepare (reiticheas) thy (NULL) way (NULL) before (aingeal) thee (romhad) 
b.MAR.1.3 The voice of one crying in the wilderness Prepare ye the way of the Lord make his paths straight,b.MAR.1.3 (b.MAR.1.3) The (Guth) voice (ag) of (NULL) one (neach) crying (eigheach) in (san) the (NULL) wilderness (fhasach) Prepare (Reitichibh) ye (NULL) the (NULL) way (slighe) of (NULL) the (NULL) Lord (Tighearna) make (dianaibh) his (direach) paths (rathadain) straight (NULL) 
b.MAR.1.4 John did baptize in the wilderness and preach the baptism of repentance for the remission of sins,b.MAR.1.4 (b.MAR.1.4) John (Eoin) did (NULL) baptize (NULL) in (anns) the (an) wilderness (fhasach) and (sa) preach (searmonachadh) the (an) baptism (baisteadh) of (an) repentance (aithreachais) for (NULL) the (an) remission (mathanas) of (an) sins (pheacannan) 
b.MAR.1.5 And there went out unto him all the land of Judaea and they of Jerusalem and were all baptized of him in the river of Jordan confessing their sins,b.MAR.1.5 (b.MAR.1.5) And (Agus) there (duthaich) went (chaidh) out (mach) unto (ionnsuidh) him (ga) all (uile) the (NULL) land (NULL) of (leis) Judaea (Iudea) and (NULL) they (iad) of (leis) Jerusalem (Ierusalem) and (NULL) were (muinntir) all (uile) baptized (bhaisteadh) of (leis) him (ga) in (ann) the (NULL) river (abhuinn) of (leis) Jordan (Iordain) confessing (aideachadh) their (am) sins (peacannan) 
b.MAR.1.6 And John was clothed with camel s hair and with a girdle of a skin about his loins and he did eat locusts and wild honey,b.MAR.1.6 (b.MAR.1.6) And (Agus) John (Eoin) was (bha) clothed (eideadh) with (le) camel (fionnadh) s (NULL) hair (chamhal) and (is) with (le) a (air) girdle (crios) of (NULL) a (air) skin (mheadhon) about (mu) his (mil) loins (locuist) and (is) he (e) did (dh) eat (ith) locusts (fhiadhaich) and (is) wild (shearmonaich) honey (radh) 
b.MAR.1.7 And preached saying There cometh one mightier than I after me the latchet of whose shoes I am not worthy to stoop down and unloose,b.MAR.1.7 (b.MAR.1.7) And (NULL) preached (nas) saying (NULL) There (cumhachdaiche) cometh (tighinn) one (fear) mightier (mo) than (na) I (mise) after (NULL) me (NULL) the (NULL) latchet (dheigh) of (as) whose (NULL) shoes (airidh) I (mise) am (NULL) not (nach) worthy (cromadh) to (a) stoop (bhrogan) down (sios) and (is) unloose (fhuasgladh) 
b.MAR.1.8 I indeed have baptized you with water but he shall baptize you with the Holy Ghost,b.MAR.1.8 (b.MAR.1.8) I (mise) indeed (NULL) have (NULL) baptized (Bhaist) you (NULL) with (le) water (uisge) but (ach) he (esan) shall (NULL) baptize (baistidh) you (NULL) with (le) the (an) Holy (Spiorad) Ghost (Naomh) 
b.MAR.1.9 And it came to pass in those days that Jesus came from Nazareth of Galilee and was baptized of John in Jordan,b.MAR.1.9 (b.MAR.1.9) And (Is) it (NULL) came (thachair) to (le) pass (NULL) in (anns) those (NULL) days (laithean) that (gun) Jesus (Iosa) came (thachair) from (bho) Nazareth (Nasareth) of (NULL) Galilee (Ghalile) and (agus) was (Iordan) baptized (bhaisteadh) of (NULL) John (Eoin) in (anns) Jordan (abhuinn) 
b.MAR.1.10 And straightway coming up out of the water he saw the heavens opened and the Spirit like a dove descending upon him,b.MAR.1.10 (b.MAR.1.10) And (S) straightway (ball) coming (direadh) up (NULL) out (as) of (NULL) the (an) water (uisge) he (e) saw (chunnaic) the (an) heavens (neamh) opened (fosgailte) and (s) the (an) Spirit (Spiorad) like (chalman) a (mar) dove (tearnadh) descending (sa) upon (fantuinn) him (air) 
b.MAR.1.11 And there came a voice from heaven saying Thou art my beloved Son in whom I am well pleased,b.MAR.1.11 (b.MAR.1.11) And (Agus) there (NULL) came (thainig) a (NULL) voice (guth) from (bho) heaven (neamh) saying (NULL) Thou (Is) art (tusa) my (mo) beloved (Mhac) Son (NULL) in (NULL) whom (gaolach) I (NULL) am (is) well (thlachd) pleased (NULL) 
b.MAR.1.12 And immediately the Spirit driveth him into the wilderness,b.MAR.1.12 (b.MAR.1.12) And (Agus) immediately (ghrad) the (an) Spirit (Spiorad) driveth (ghreas) him (e) into (dhan) the (an) wilderness (fhasach) 
b.MAR.1.13 And he was there in the wilderness forty days tempted of Satan and was with the wild beasts and the angels ministered unto him,b.MAR.1.13 (b.MAR.1.13) And (Agus) he (e) was (bha) there (NULL) in (san) the (NULL) wilderness (fhasach) forty (fhichead) days (latha) tempted (bhuaireadh) of (NULL) Satan (Satan) and (NULL) was (bha) with (comhla) the (NULL) wild (ainmhidhean) beasts (h) and (NULL) the (NULL) angels (ainglean) ministered (frithealadh) unto (NULL) him (dha) 
b.MAR.1.14 Now after that John was put in prison Jesus came into Galilee preaching the gospel of the kingdom of God,b.MAR.1.14 (b.MAR.1.14) Now (S) after (deigh) that (do) John (Eoin) was (dh) put (chuir) in (air) prison (greim) Jesus (Iosa) came (thainig) into (do) Galilee (Ghalile) preaching (searmonachadh) the (NULL) gospel (soisgeul) of (NULL) the (NULL) kingdom (rioghachd) of (NULL) God (Dhe) 
b.MAR.1.15 And saying The time is fulfilled and the kingdom of God is at hand repent ye and believe the gospel,b.MAR.1.15 (b.MAR.1.15) And (S) saying (radh) The (Tha) time (t) is (n) fulfilled (choimhlionadh) and (s) the (NULL) kingdom (rioghachd) of (NULL) God (Dhe) is (n) at (aig) hand (laimh) repent (aithreachas) ye (deanaibh) and (s) believe (creidibh) the (NULL) gospel (soisgeul) 
b.MAR.1.16 Now as he walked by the sea of Galilee he saw Simon and Andrew his brother casting a net into the sea for they were fishers,b.MAR.1.16 (b.MAR.1.16) Now (Sa) as (NULL) he (gabhail) walked (taobh) by (NULL) the (NULL) sea (muir) of (NULL) Galilee (Ghalile) he (gabhail) saw (chunnaic) Simon (Simon) and (agus) Andrew (Anndra) his (a) brother (bhrathair) casting (lion) a (NULL) net (cur) into (NULL) the (NULL) sea (muir) for (oir) they (NULL) were (iad) fishers (iasgairean) 
b.MAR.1.17 And Jesus said unto them Come ye after me and I will make you to become fishers of men,b.MAR.1.17 (b.MAR.1.17) And (Agus) Jesus (Iosa) said (thuirt) unto (NULL) them (riutha) Come (Thigibh) ye (NULL) after (leanaibh) me (mise) and (agus) I (mi) will (ni) make (NULL) you (NULL) to (NULL) become (dhibh) fishers (iasgairean) of (NULL) men (dhaoine) 
b.MAR.1.18 And straightway they forsook their nets and followed him,b.MAR.1.18 (b.MAR.1.18) And (Agus) straightway (ghrad) they (iad) forsook (fhag) their (NULL) nets (lin) and (is) followed (lean) him (e) 
b.MAR.1.19 And when he had gone a little further thence he saw James the son of Zebedee and John his brother who also were in the ship mending their nets,b.MAR.1.19 (b.MAR.1.19) And (Sa) when (NULL) he (gabhail) had (NULL) gone (as) a (air) little (beag) further (adhart) thence (sin) he (gabhail) saw (chunnaic) James (Seumas) the (NULL) son (mac) of (NULL) Zebedee (Shebede) and (agus) John (Eoin) his (a) brother (bhrathair) who (NULL) also (NULL) were (iad) in (sa) the (NULL) ship (bhata) mending (caradh) their (nan) nets (lion) 
b.MAR.1.20 And straightway he called them and they left their father Zebedee in the ship with the hired servants and went after him,b.MAR.1.20 (b.MAR.1.20) And (Agus) straightway (uair) he (e) called (ghairm) them (iad) and (NULL) they (NULL) left (fagail) their (an) father (athar) Zebedee (Sebede) in (NULL) the (NULL) ship (bhata) with (maille) the (NULL) hired (luchd) servants (thuarasdail) and (NULL) went (NULL) after (NULL) him (ris) 
b.MAR.1.21 And they went into Capernaum and straightway on the sabbath day he entered into the synagogue and taught,b.MAR.1.21 (b.MAR.1.21) And (Agus) they (iad) went (chaidh) into (stigh) Capernaum (Chapharnaum) and (agus) straightway (dha) on (air) the (na) sabbath (sabaid) day (NULL) he (NULL) entered (NULL) into (stigh) the (na) synagogue (sinagog) and (agus) taught (theagaisg) 
