context,targ
b.EST.1.1 Now it came to pass in the days of Ahasuerus this is Ahasuerus which reigned from India even unto Ethiopia over an hundred and seven and twenty provinces,b.EST.1.1 (b.EST.1.1) Now (Nish) it (eh) came (haink) to (gy) pass (kione) in (ayns) the (NULL) days (lhing) of (NULL) Ahasuerus (Ahasuerus) this (shoh) is (yn) Ahasuerus (Ahasuerus) which (shen) reigned (reill) from (voish) India (India) even (eer) unto (gys) Ethiopia (Ethiopia) over (harrish) an (shey) hundred (feed) and (NULL) seven (shiaght) and (NULL) twenty (NULL) provinces (rheamyn) 
b.EST.1.2 That in those days when the king Ahasuerus sat on the throne of his kingdom which was in Shushan the palace,b.EST.1.2 (b.EST.1.2) That (Ayns) in (NULL) those (shen) days (laghyn) when (tra) the (NULL) king (ree) Ahasuerus (Ahasuerus) sat (hoie) on (er) the (NULL) throne (stoyl) of (reeoil) his (e) kingdom (reeriaght) which (NULL) was (va) in (NULL) Shushan (Shushan) the (NULL) palace (phlaase) 
b.EST.1.3 In the third year of his reign he made a feast unto all his princes and his servants the power of Persia and Media the nobles and princes of the provinces being before him,b.EST.1.3 (b.EST.1.3) In (Ayns) the (y) third (trass) year (vlein) of (jeh) his (e) reign (reill) he (eh) made (ren) a (NULL) feast (cuirraghyn) unto (da) all (ooilley) his (e) princes (phrinceyn) and (as) his (e) servants (harvaantyn) the (y) power (pooaraghyn) of (jeh) Persia (Phersia) and (as) Media (Media) the (y) nobles (gheiney) and (as) princes (phrinceyn) of (jeh) the (y) provinces (rheamyn) being (NULL) before (kionfenish) him (NULL) 
b.EST.1.4 When he shewed the riches of his glorious kingdom and the honour of his excellent majesty many days even an hundred and fourscore days,b.EST.1.4 (b.EST.1.4) When (Tra) he (eh) shewed (hoilshee) the (NULL) riches (berchys) of (NULL) his (e) glorious (ghloyroil) kingdom (reeriaght) and (as) the (NULL) honour (onnor) of (NULL) his (e) excellent (NULL) majesty (reeoil) many (ymmodee) days (laghyn) even (eer) an (nuy) hundred (NULL) and (as) fourscore (feed) days (laghyn) 
b.EST.1.5 And when these days were expired the king made a feast unto all the people that were present in Shushan the palace both unto great and small seven days in the court of the garden of the king s palace,b.EST.1.5 (b.EST.1.5) And (As) when (lurg) these (shoh) days (laghyn) were (ve) expired (harrish) the (y) king (ree) made (ren) a (NULL) feast (cuirraghyn) unto (da) all (ooilley) the (y) people (pobble) that (NULL) were (ve) present (ry) in (ayns) Shushan (Shushan) the (y) palace (phlaase) both (chammah) unto (da) great (ard) and (as) small (injil) seven (shiaght) days (laghyn) in (ayns) the (y) court (cooyrtyn) of (NULL) the (y) garden (garey) of (NULL) the (y) king (ree) s (NULL) palace (phlaase) 
b.EST.1.6 Where were white green and blue hangings fastened with cords of fine linen and purple to silver rings and pillars of marble the beds were of gold and silver upon a pavement of red and blue and white and black marble,b.EST.1.6 (b.EST.1.6) Where (Raad) were (va) white (geayney) green (baney) and (as) blue (gorrym) hangings (sheeynt) fastened (coyrdyn) with (lesh) cords (loopyn) of (dy) fine (heeidey) linen (purple) and (as) purple (NULL) to (NULL) silver (argid) rings (pillaryn) and (as) pillars (ynnydyn) of (dy) marble (soie) the (NULL) beds (marble) were (va) of (dy) gold (airh) and (as) silver (argid) upon (er) a (NULL) pavement (laare) of (dy) red (phurple) and (as) blue (gorrym) and (as) white (geayney) and (as) black (doo) marble (soie) 
b.EST.1.7 And they gave them drink in vessels of gold the vessels being diverse one from another and royal wine in abundance according to the state of the king,b.EST.1.7 (b.EST.1.7) And (As) they (ad) gave (hirveish) them (orroo) drink (jough) in (ayns) vessels (siyn) of (NULL) gold (airhey) the (ny) vessels (siyn) being (va) diverse (dagh) one (jeh) from (palchey) another (sorch) and (as) royal (reeoil) wine (feeyn) in (ayns) abundance (NULL) according (cooie) to (rish) the (ny) state (stayd) of (NULL) the (ny) king (ree) 
b.EST.1.8 And the drinking was according to the law none did compel for so the king had appointed to all the officers of his house that they should do according to every man s pleasure,b.EST.1.8 (b.EST.1.8) And (As) the (n) drinking (giu) was (NULL) according (cordail) to (rish) the (n) law (leigh) none (cha) did (NULL) compel (eginit) for (son) so (myr) the (n) king (ree) had (row) appointed (doardee) to (rish) all (ooilley) the (n) officers (fir) of (NULL) his (e) house (hie) that (row) they (NULL) should (dy) do (NULL) according (cordail) to (rish) every (chooilley) man (ghooinney) s (oik) pleasure (baillish) 
b.EST.1.9 Also Vashti the queen made a feast for the women in the royal house which belonged to king Ahasuerus,b.EST.1.9 (b.EST.1.9) Also (Ren) Vashti (Vashti) the (yn) queen (rein) made (myrgeddin) a (NULL) feast (cuirraghyn) for (son) the (yn) women (mraane) in (ayns) the (yn) royal (reeoil) house (thie) which (NULL) belonged (NULL) to (NULL) king (NULL) Ahasuerus (Ahasuerus) 
b.EST.1.10 On the seventh day when the heart of the king was merry with wine he commanded Mehuman Biztha Harbona Bigtha and Abagtha Zethar and Carcas the seven chamberlains that served in the presence of Ahasuerus the king,b.EST.1.10 (b.EST.1.10) On (Er) the (y) seventh (chiaghtoo) day (laa) when (tra) the (y) heart (cree) of (NULL) the (y) king (ree) was (NULL) merry (gennal) with (lesh) wine (feeyn) he (eh) commanded (doardee) Mehuman (Biztha) Biztha (Mehuman) Harbona (Harboua) Bigtha (Bigtha) and (as) Abagtha (Abagtha) Zethar (Zethar) and (as) Carcas (Carcas) the (y) seven (shiaght) chamberlains (fir) that (va) served (shirveish) in (NULL) the (y) presence (fenish) of (NULL) Ahasuerus (Ahasuerus) the (y) king (ree) 
