context,targ
b.MAT.5.15 Neither do men light a candle and put it under a bushel but on a candlestick and it giveth light unto all that are in the house,b.MAT.5.15 (b.MAT.5.15) Neither (NULL) do (NULL) men (NULL) light (NULL) a (NULL) candle (NULL) and (jah) put (NULL) it (NULL) under (NULL) a (NULL) bushel (NULL) but (ak) on (ana) a (NULL) candlestick (lukarnastaþin) and (jah) it (NULL) giveth (liuteiþ) light (NULL) unto (NULL) all (allaim) that (NULL) are (þaim) in (in) the (þamma) house (garda) 
b.MAT.5.16 Let your light so shine before men that they may see your good works and glorify your Father which is in heaven,b.MAT.5.16 (b.MAT.5.16) Let (NULL) your (izwar) light (liuhaþ) so (swa) shine (liuhtjai) before (andwairþja) men (manne) that (NULL) they (NULL) may (ei) see (gasaiƕaina) your (izwar) good (goda) works (waurstwa) and (jah) glorify (hauhjaina) your (izwar) Father (attan) which (þana) is (NULL) in (in) heaven (himinam) 
b.MAT.5.17 Think not that I am come to destroy the law or the prophets I am not come to destroy but to fulfil,b.MAT.5.17 (b.MAT.5.17) Think (hugjaiþ) not (ni) that (ei) I (NULL) am (qemjau) come (NULL) to (NULL) destroy (gatairan) the (NULL) law (witoþ) or (aiþþau) the (NULL) prophets (praufetuns) I (NULL) am (qemjau) not (ni) come (NULL) to (NULL) destroy (gatairan) but (ak) to (NULL) fulfil (usfulljan) 
b.MAT.5.18 For verily I say unto you Till heaven and earth pass one jot or one tittle shall in no wise pass from the law till all be fulfilled,b.MAT.5.18 (b.MAT.5.18) For (auk) verily (amen) I (NULL) say (qiþa) unto (und) you (izwis) Till (usleiþiþ) heaven (himins) and (jah) earth (airþa) pass (NULL) one (ains) jot (jota) or (aiþþau) one (ains) tittle (striks) shall (NULL) in (NULL) no (ni) wise (usleiþiþ) pass (NULL) from (af) the (NULL) law (witoda) till (unte) all (allata) be (NULL) fulfilled (wairþiþ) 
b.MAT.5.19 Whosoever therefore shall break one of these least commandments and shall teach men so he shall be called the least in the kingdom of heaven but whosoever shall do and teach them the same shall be called great in the kingdom of heaven,b.MAT.5.19 (b.MAT.5.19) Whosoever (saei) therefore (nu) shall (NULL) break (gatairiþ) one (aina) of (NULL) these (þizo) least (minnistono) commandments (anabusne) and (jah) shall (NULL) teach (laisjai) men (mans) so (swa) he (NULL) shall (NULL) be (NULL) called (haitada) the (NULL) least (minnistono) in (in) the (NULL) kingdom (þiudangardjai) of (NULL) heaven (himine) but (iþ) whosoever (saei) shall (NULL) do (taujiþ) and (jah) teach (laisjai) them (swa) the (NULL) same (sah) shall (NULL) be (NULL) called (haitada) great (mikils) in (in) the (NULL) kingdom (þiudangardjai) of (NULL) heaven (himine) 
b.MAT.5.20 For I say unto you That except your righteousness shall exceed the righteousness of the scribes and Pharisees ye shall in no case enter into the kingdom of heaven,b.MAT.5.20 (b.MAT.5.20) For (auk) I (NULL) say (qiþa) unto (NULL) you (izwis) That (þatei) except (nibai) your (izwaraizos) righteousness (NULL) shall (wairþiþ) exceed (managizo) the (NULL) righteousness (NULL) of (þize) the (NULL) scribes (bokarje) and (jah) Pharisees (Fareisaie) ye (NULL) shall (wairþiþ) in (NULL) no (ni) case (þau) enter (qimiþ) into (in) the (NULL) kingdom (þiudangardjai) of (þize) heaven (himine) 
b.MAT.5.21 Ye have heard that it was said by them of old time Thou shalt not kill and whosoever shall kill shall be in danger of the judgment,b.MAT.5.21 (b.MAT.5.21) Ye (NULL) have (NULL) heard (hausideduþ) that (þatei) it (qiþan) was (ist) said (NULL) by (NULL) them (þaim) of (NULL) old (airizam) time (NULL) Thou (NULL) shalt (maurþrjais) not (ni) kill (NULL) and (iþ) whosoever (saei) shall (NULL) kill (NULL) shall (NULL) be (NULL) in (NULL) danger (skula) of (NULL) the (NULL) judgment (stauai) 
b.MAT.5.22 But I say unto you That whosoever is angry with his brother without a cause shall be in danger of the judgment and whosoever shall say to his brother Raca shall be in danger of the council but whosoever shall say Thou fool shall be in danger of hell fire,b.MAT.5.22 (b.MAT.5.22) But (aþþan) I (ik) say (qiþa) unto (NULL) you (izwis) That (þatei) whosoever (ƕazuh) is (NULL) angry (modags) with (NULL) his (seinamma) brother (broþr) without (NULL) a (NULL) cause (NULL) shall (wairþiþ) be (NULL) in (NULL) danger (skula) of (NULL) the (NULL) judgment (stauai) and (iþ) whosoever (ƕazuh) shall (wairþiþ) say (qiþa) to (NULL) his (seinamma) brother (broþr) Raca (raka) shall (wairþiþ) be (NULL) in (NULL) danger (skula) of (NULL) the (NULL) council (gaqumþai) but (aþþan) whosoever (ƕazuh) shall (wairþiþ) say (qiþa) Thou (NULL) fool (dwala) shall (wairþiþ) be (NULL) in (NULL) danger (skula) of (NULL) hell (gaiainnan) fire (funins) 
b.MAT.5.23 Therefore if thou bring thy gift to the altar and there rememberest that thy brother hath ought against thee,b.MAT.5.23 (b.MAT.5.23) Therefore (nu) if (jabai) thou (NULL) bring (bairais) thy (þein) gift (aibr) to (du) the (NULL) altar (hunslastada) and (jah) there (jainar) rememberest (gamuneis) that (þatei) thy (þein) brother (broþar) hath (habaiþ) ought (ƕa) against (bi) thee (þuk) 
b.MAT.5.24 Leave there thy gift before the altar and go thy way first be reconciled to thy brother and then come and offer thy gift,b.MAT.5.24 (b.MAT.5.24) Leave (aflet) there (jainar) thy (þeina) gift (giba) before (andwairþja) the (NULL) altar (hunslastadis) and (jah) go (gagg) thy (þeina) way (NULL) first (faurþis) be (NULL) reconciled (gasibjon) to (NULL) thy (þeina) brother (broþr) and (jah) then (biþe) come (atgaggands) and (jah) offer (atbair) thy (þeina) gift (giba) 
