context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (Βίβλος) of (NULL) the (NULL) generation (γενέσεως) of (NULL) Jesus (Ἰησοῦ) Christ (Χριστοῦ) the (NULL) son (υἱοῦ) of (NULL) David (Δαυεὶδ) the (NULL) son (υἱοῦ) of (NULL) Abraham (Ἀβραάμ) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Ἀβραὰμ) begat (ἐγέννησεν) Isaac (Ἰσαάκ) and (δὲ) Isaac (Ἰσαάκ) begat (ἐγέννησεν) Jacob (Ἰακώβ) and (δὲ) Jacob (Ἰακώβ) begat (ἐγέννησεν) Judas (Ἰούδαν) and (δὲ) his (αὐτοῦ) brethren (ἀδελφοὺς) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (δὲ) Judas (Ἰούδας) begat (ἐγέννησεν) Phares (Φάρες) and (καὶ) Zara (Ζάρα) of (τῆς) Thamar (Θαμάρ) and (καὶ) Phares (Φάρες) begat (ἐγέννησεν) Esrom (Ἑσρώμ) and (καὶ) Esrom (Ἑσρώμ) begat (ἐγέννησεν) Aram (Ἀράμ) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (δὲ) Aram (Ἀρὰμ) begat (ἐγέννησεν) Aminadab (Ἀμιναδάβ) and (δὲ) Aminadab (Ἀμιναδάβ) begat (ἐγέννησεν) Naasson (Ναασσών) and (δὲ) Naasson (Ναασσών) begat (ἐγέννησεν) Salmon (Σαλμών) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (δὲ) Salmon (Σαλμὼν) begat (ἐγέννησεν) Booz (Βόες) of (τῆς) Rachab (Ῥαχάβ) and (δὲ) Booz (Βόες) begat (ἐγέννησεν) Obed (Ἰωβὴδ) of (τῆς) Ruth (Ῥούθ) and (δὲ) Obed (Ἰωβὴδ) begat (ἐγέννησεν) Jesse (Ἰεσσαί) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (δὲ) Jesse (Ἰεσσαὶ) begat (ἐγέννησεν) David (Δαυεὶδ) the (τὸν) king (βασιλέα) and (NULL) David (Δαυεὶδ) the (τὸν) king (βασιλέα) begat (ἐγέννησεν) Solomon (Σολομῶνα) of (ἐκ) her (NULL) that (NULL) had (NULL) been (NULL) the (τὸν) wife (NULL) of (ἐκ) Urias (Οὐρίου) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (δὲ) Solomon (Σολομὼν) begat (ἐγέννησεν) Roboam (Ῥοβοάμ) and (δὲ) Roboam (Ῥοβοάμ) begat (ἐγέννησεν) Abia (Ἀβιά) and (δὲ) Abia (Ἀβιά) begat (ἐγέννησεν) Asa (Ἀσάφ) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (δὲ) Asa (Ἀσὰφ) begat (ἐγέννησεν) Josaphat (Ἰωσαφάτ) and (δὲ) Josaphat (Ἰωσαφάτ) begat (ἐγέννησεν) Joram (Ἰωράμ) and (δὲ) Joram (Ἰωράμ) begat (ἐγέννησεν) Ozias (Ὀζείαν) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (δὲ) Ozias (Ὀζείας) begat (ἐγέννησεν) Joatham (Ἰωαθάμ) and (δὲ) Joatham (Ἰωαθάμ) begat (ἐγέννησεν) Achaz (Ἀχάζ) and (δὲ) Achaz (Ἀχάζ) begat (ἐγέννησεν) Ezekias (Ἑζεκίαν) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (δὲ) Ezekias (Ἑζεκίας) begat (ἐγέννησεν) Manasses (Μανασσῆ) and (NULL) Manasses (Μανασσῆ) begat (ἐγέννησεν) Amon (Ἀμώς) and (NULL) Amon (Ἀμώς) begat (ἐγέννησεν) Josias (Ἰωσείαν) 
