context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (ર) book (NULL) of (NULL) the (રમ) generation (NULL) of (NULL) Jesus (ઈસ) Christ (ખ) the (રમ) son (NULL) of (NULL) David (ઉદન) the (રમ) son (NULL) of (NULL) Abraham (ઈબ) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (ઈબ) begat (NULL) Isaac (ઈસહ) and (ત) Isaac (ઈસહ) begat (NULL) Jacob (NULL) and (ત) Jacob (NULL) begat (NULL) Judas (યહ) and (ત) his (ન) brethren (ઈઓન) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (ત) Judas (યહ) begat (NULL) Phares (NULL) and (અન) Zara (હન) of (નન) Thamar (ઓન) and (અન) Phares (NULL) begat (NULL) Esrom (NULL) and (અન) Esrom (NULL) begat (NULL) Aram (આર) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (ત) Aram (આર) begat (NULL) Aminadab (બન) and (હત) Aminadab (બન) begat (NULL) Naasson (હશ) and (હત) Naasson (હશ) begat (NULL) Salmon (સલ) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (ત) Salmon (સલ) begat (NULL) Booz (ઓબ) of (NULL) Rachab (આઝન) and (બ) Booz (ઓબ) begat (NULL) Obed (NULL) of (NULL) Ruth (ઈન) and (બ) Obed (NULL) begat (NULL) Jesse (યશ) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (યશ) begat (NULL) David (NULL) the (NULL) king (NULL) and (લ) David (NULL) the (NULL) king (NULL) begat (NULL) Solomon (નન) of (NULL) her (NULL) that (ત) had (હત) been (મ) the (NULL) wife (પત) of (NULL) Urias (NULL) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (ત) Solomon (NULL) begat (NULL) Roboam (NULL) and (પ) Roboam (NULL) begat (NULL) Abia (અબ) and (પ) Abia (અબ) begat (NULL) Asa (આસ) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (ત) Asa (આસ) begat (NULL) Josaphat (ટન) and (ફ) Josaphat (ટન) begat (NULL) Joram (NULL) and (ફ) Joram (NULL) begat (NULL) Ozias (NULL) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (ત) Ozias (ઉઝ) begat (NULL) Joatham (આહ) and (NULL) Joatham (આહ) begat (NULL) Achaz (NULL) and (NULL) Achaz (NULL) begat (NULL) Ezekias (ઝક) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (ત) Ezekias (ઝક) begat (NULL) Manasses (NULL) and (શ) Manasses (NULL) begat (NULL) Amon (આમ) and (શ) Amon (આમ) begat (NULL) Josias (NULL) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (ત) Josias (NULL) begat (NULL) Jechonias (યખ) and (અન) his (ન) brethren (ઈઓન) about (બ) the (બન) time (સમય) they (લ) were (હત) carried (NULL) away (NULL) to (વવ) Babylon (NULL) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (ત) after (પછ) they (ત) were (હત) brought (લઈ) to (NULL) Babylon (NULL) Jechonias (લન) begat (NULL) Salathiel (શલથ) and (બ) Salathiel (શલથ) begat (NULL) Zorobabel (ઝર) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (ત) Zorobabel (ઝર) begat (NULL) Abiud (અબ) and (હત) Abiud (અબ) begat (NULL) Eliakim (એલ) and (હત) Eliakim (એલ) begat (NULL) Azor (અઝ) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (ત) Azor (અઝ) begat (NULL) Sadoc (કન) and (હત) Sadoc (કન) begat (NULL) Achim (દન) and (હત) Achim (દન) begat (NULL) Eliud (હ) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (ત) Eliud (હ) begat (NULL) Eleazar (ઝરન) and (હત) Eleazar (ઝરન) begat (NULL) Matthan (ઝર) and (હત) Matthan (ઝર) begat (NULL) Jacob (બન) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (ત) Jacob (NULL) begat (NULL) Joseph (સફન) the (યમ) husband (પત) of (NULL) Mary (મર) of (NULL) whom (NULL) was (હત) born (NULL) Jesus (ઈસ) who (ય) is (NULL) called (ઓળખ) Christ (ખ) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (આમ) all (ક) the (NULL) generations (ઢ) from (મથ) Abraham (ઈબ) to (પ) David (ઉદ) are (NULL) fourteen (NULL) generations (ઢ) and (NULL) from (મથ) David (ઉદ) until (ધ) the (NULL) carrying (ઉદથ) away (લઈ) into (લમ) Babylon (NULL) are (NULL) fourteen (NULL) generations (ઢ) and (NULL) from (મથ) the (NULL) carrying (ઉદથ) away (લઈ) into (લમ) Babylon (NULL) unto (સ) Christ (ખ) are (NULL) fourteen (NULL) generations (ઢ) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (મ) the (ણ) birth (જન) of (યમ) Jesus (ઈસ) Christ (ખ) was (હત) on (NULL) this (છ) wise (NULL) When (NULL) as (NULL) his (ત) mother (મ) Mary (મર) was (હત) espoused (સગ) to (NULL) Joseph (સફ) before (પહ) they (NULL) came (ઈસ) together (થ) she (લગ) was (હત) found (NULL) with (NULL) child (ભવત) of (યમ) the (ણ) Holy (પવ) Ghost (આત) 
