context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (Weatrí) of (NULL) Jesus (NULL) Christ (Jesukrístu) the (NULL) son (NULL) of (NULL) David (Tawitcha) the (NULL) son (NULL) of (NULL) Abraham (Apraámsha) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Apraáma) begat (Uchirí) Isaac (Isak) and (NULL) Isaac (Isak) begat (Uchirí) Jacob (Jakup) and (NULL) Jacob (Jakup) begat (Uchirí) Judas (NULL) and (NULL) his (ni) brethren (yachijiai) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (Tura) Judas (NULL) begat (Uchirísha) Phares (NULL) and (NULL) Zara (Páresan) of (NULL) Thamar (NULL) and (NULL) Phares (NULL) begat (Uchirísha) Esrom (Páresa) and (NULL) Esrom (Páresa) begat (Uchirísha) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (NULL) begat (Uchirísha) Aminadab (Aminiatáp) and (NULL) Aminadab (Aminiatáp) begat (Uchirísha) Naasson (Nasun) and (NULL) Naasson (Nasun) begat (Uchirísha) Salmon (Sarmun) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Sarmunka) begat (jurermiayi) Booz (Puusa) of (NULL) Rachab (Púusan) and (NULL) Booz (Puusa) begat (jurermiayi) Obed (NULL) of (NULL) Ruth (Uwitia) and (NULL) Obed (NULL) begat (jurermiayi) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (NULL) begat (Uchirísha) David (Tawitia) the (NULL) king (akupin) and (NULL) David (Tawitia) the (NULL) king (akupin) begat (Uchirísha) Solomon (Sarumúnkan) of (NULL) her (NULL) that (NULL) had (nuweeyayi) been (NULL) the (NULL) wife (Uríasa) of (NULL) Urias (Patsepasha) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Sarumúnka) begat (Uchirí) Roboam (Rupuam) and (NULL) Roboam (Rupuam) begat (Uchirí) Abia (Apías) and (NULL) Abia (Apías) begat (Uchirí) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (Uchirísha) Josaphat (Jusapát) and (NULL) Josaphat (Jusapát) begat (Uchirísha) Joram (Juram) and (NULL) Joram (Juram) begat (Uchirísha) Ozias (Usías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Usíasa) begat (Uchirí) Joatham (Jutam) and (NULL) Joatham (Jutam) begat (Uchirí) Achaz (Akas) and (NULL) Achaz (Akas) begat (Uchirí) Ezekias (Esekías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Esekíasa) begat (Uchirí) Manasses (Manasés) and (NULL) Manasses (Manasés) begat (Uchirí) Amon (Amun) and (NULL) Amon (Amun) begat (Uchirí) Josias (Jusías) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Jusíasa) begat (Uchirí) Jechonias (Jekunías) and (NULL) his (ni) brethren (yachi) about (NULL) the (NULL) time (Papirúnianmaya) they (NULL) were (armia) carried (achirar) away (nupetkar) to (NULL) Babylon (Papirúnia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (Jekuníasa) Jechonias (NULL) begat (NULL) Salathiel (NULL) and (NULL) Salathiel (NULL) begat (NULL) Zorobabel (Surupapír) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Surupapíra) begat (Uchirí) Abiud (Awiut) and (NULL) Abiud (Awiut) begat (Uchirí) Eliakim (Iriakím) and (NULL) Eliakim (Iriakím) begat (Uchirí) Azor (Asur) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Asura) begat (Uchirí) Sadoc (Satuk) and (NULL) Sadoc (Satuk) begat (Uchirí) Achim (Akim) and (NULL) Achim (Akim) begat (Uchirí) Eliud (Eriut) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eriuta) begat (Uchirí) Eleazar (Ereasár) and (NULL) Eleazar (Ereasár) begat (Uchirí) Matthan (Matan) and (NULL) Matthan (Matan) begat (Uchirí) Jacob (Jakup) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Jakupa) begat (Uchirí) Joseph (Jusé) the (NULL) husband (NULL) of (NULL) Mary (Marí) of (NULL) whom (NULL) was (Nu) born (aishriya) Jesus (Jesusan) who (uwemtikiartin) is (NULL) called (anaikiamuiti) Christ (Kristu) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Tuma) all (NULL) the (NULL) generations (Krístunam) from (NULL) Abraham (Tawitnium) to (NULL) David (Apraámnumia) are (ainiawai) fourteen (katurse) generations (Krístunam) and (NULL) from (NULL) David (Apraámnumia) until (NULL) the (NULL) carrying (Papirúnianam) away (NULL) into (NULL) Babylon (NULL) are (ainiawai) fourteen (katurse) generations (Krístunam) and (NULL) from (NULL) the (NULL) carrying (Papirúnianam) away (NULL) into (NULL) Babylon (NULL) unto (NULL) Christ (jukimiunmayasha) are (ainiawai) fourteen (katurse) generations (Krístunam) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (akiiniamu) of (NULL) Jesus (NULL) Christ (Jesukrístu) was (ámiayi) on (NULL) this (NULL) wise (NULL) When (NULL) as (NULL) his (Ni) mother (Nukurí) Mary (Marí) was (ámiayi) espoused (Jusejai) to (NULL) Joseph (NULL) before (anajmanairuyayi) they (NULL) came (NULL) together (NULL) she (ajaprumtikiamiayi) was (ámiayi) found (Tsaníatsain) with (NULL) child (NULL) of (NULL) the (NULL) Holy (Yusa) Ghost (Wakaní) 
b.MAT.1.19 Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) Then (Ajaprukmataisha) Joseph (Jusé) her (NULL) husband (NULL) being (NULL) a (NULL) just (pénker) man (NULL) and (NULL) not (NULL) willing (NULL) to (NULL) make (iniaisatniun) her (NULL) a (NULL) publick (nékainiatsain) example (NULL) was (asa) minded (NULL) to (NULL) put (NULL) her (NULL) away (ajapatniun) privily (NULL) 
b.MAT.1.20 But while he thought on these things behold the angel of the Lord appeared unto him in a dream saying Joseph thou son of David fear not to take unto thee Mary thy wife for that which is conceived in her is of the Holy Ghost,b.MAT.1.20 (b.MAT.1.20) But (NULL) while (NULL) he (NULL) thought (Enentáimia) on (NULL) these (Juséá) things (Pujái) behold (Tarí) the (NULL) angel (suntari) of (NULL) the (NULL) Lord (mesekranam) appeared (NULL) unto (chicharuk) him (NULL) in (NULL) a (NULL) dream (NULL) saying (NULL) Joseph (Tawitchakait) thou (asam) son (NULL) of (NULL) David (NULL) fear (jurertatna) not (NULL) to (NULL) take (Uchin) unto (chicharuk) thee (NULL) Mary (Marijiai) thy (ame) wife (NULL) for (ashamkaip) that (NULL) which (NULL) is (NULL) conceived (Wakaníniuiti) in (NULL) her (NULL) is (NULL) of (NULL) the (NULL) Holy (Yusa) Ghost (Yusa) 
