context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Ɛisa) Christ (Lmasih) the (NULL) son (NULL) of (NULL) David (Dawed) the (NULL) son (NULL) of (NULL) Abraham (Ibr) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Ibr) begat (yeg) Isaac (Ish) and (g) Isaac (Ish) begat (yeg) Jacob (Yeɛqub) and (g) Jacob (Yeɛqub) begat (yeg) Judas (Yahuda) and (g) his (is) brethren (watmaten) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yahuda) begat (NULL) Phares (Fares) and (akk) Zara (Tamar) of (NULL) Thamar (Zirah) and (akk) Phares (Fares) begat (NULL) Esrom (esrun) and (akk) Esrom (esrun) begat (NULL) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (yeg) Aminadab (Ɛaminadab) and (g) Aminadab (Ɛaminadab) begat (yeg) Naasson (sun) and (g) Naasson (sun) begat (yeg) Salmon (Salmun) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmun) begat (NULL) Booz (NULL) of (NULL) Rachab (ab) and (an) Booz (NULL) begat (NULL) Obed (Ɛubed) of (NULL) Ruth (sɛan) and (an) Obed (Ɛubed) begat (NULL) Jesse (Yassa) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Sidna) Jesse (Yassa) begat (yeg) David (Dawed) the (NULL) king (NULL) and (g) David (Dawed) the (NULL) king (NULL) begat (yeg) Solomon (Sliman) of (NULL) her (tmet) that (NULL) had (NULL) been (NULL) the (NULL) wife (ut) of (NULL) Urias (Uryah) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Sidna) Solomon (Sliman) begat (yeg) Roboam (abɛam) and (g) Roboam (abɛam) begat (yeg) Abia (Abiya) and (g) Abia (Abiya) begat (yeg) Asa (Asaf) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asaf) begat (yeg) Josaphat (Yehucafat) and (g) Josaphat (Yehucafat) begat (yeg) Joram (Yihuram) and (g) Joram (Yihuram) begat (yeg) Ozias (Ɛuzya) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Ɛuzya) begat (yeg) Joatham (Yut) and (g) Joatham (Yut) begat (yeg) Achaz (Ah) and (g) Achaz (Ah) begat (yeg) Ezekias (izeqya) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (izeqya) begat (yeg) Manasses (Mennac) and (g) Manasses (Mennac) begat (yeg) Amon (Ɛamun) and (g) Amon (Ɛamun) begat (yeg) Josias (Yuciya) 
