context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (Quemënga) book (imnamna) of (NULL) the (NULL) generation (Jesucristna) of (NULL) Jesus (NULL) Christ (Jesucristbe) the (NULL) son (NULL) of (NULL) David (David) the (NULL) son (NULL) of (NULL) Abraham (Abrahámbents) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (Isaacbe) Isaac (Obedna) and (y) Isaac (Obedna) begat (Isaacbe) Jacob (Jacobëbe) and (y) Jacob (Jacobëbe) begat (Isaacbe) Judas (Fares) and (y) his (chabe) brethren (cats) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Chë) Solomon (Salomón) begat (Roboambe) Roboam (Roboam) and (y) Roboam (Roboam) begat (Roboambe) Abia (Acazbe) and (y) Abia (Acazbe) begat (Roboambe) Asa (Josías) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (Ya) after (NULL) they (Salatielbe) were (NULL) brought (ndutámenënga) to (NULL) Babylon (Zorobabelbe) Jechonias (Zorobabel) begat (Abiud) Salathiel (Eliaquimna) and (y) Salathiel (Eliaquimna) begat (Abiud) Zorobabel (Matán) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Chcasna) all (NULL) the (NULL) generations (Davidbentscoñe) from (ana) Abraham (Abrahámbents) to (NULL) David (Davídbents) are (NULL) fourteen (canta) generations (Davidbentscoñe) and (inÿe) from (ana) David (Davídbents) until (imojëftsemna) the (NULL) carrying (NULL) away (NULL) into (NULL) Babylon (NULL) are (NULL) fourteen (canta) generations (Davidbentscoñe) and (inÿe) from (ana) the (NULL) carrying (NULL) away (NULL) into (NULL) Babylon (NULL) unto (NULL) Christ (Cristo) are (NULL) fourteen (canta) generations (Davidbentscoñe) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (jónÿnanamna) of (NULL) Jesus (Jesucristo) Christ (NULL) was (tojanopasá) on (NULL) this (NULL) wise (NULL) When (NULL) as (NULL) his (NULL) mother (NULL) Mary (María) was (tojanopasá) espoused (Joséftaca) to (NULL) Joseph (NULL) before (cabá) they (NULL) came (NULL) together (cánÿiñe) she (yojoquéda) was (tojanopasá) found (pero) with (NULL) child (ibontsiyena) of (NULL) the (NULL) Holy (Uámana) Ghost (Espíritbe) 
b.MAT.1.19 Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (José) her (NULL) husband (boyá) being (Mariybe) a (canÿe) just (soyënguiñe) man (NULL) and (NULL) not (ndoñe) willing (yontsebos) to (jamama) make (NULL) her (NULL) a (canÿe) publick (chíyecna) example (NULL) was (NULL) minded (jtsojuánañana) to (jamama) put (NULL) her (NULL) away (NULL) privily (Maríybents) 
b.MAT.1.20 But while he thought on these things behold the angel of the Lord appeared unto him in a dream saying Joseph thou son of David fear not to take unto thee Mary thy wife for that which is conceived in her is of the Holy Ghost,b.MAT.1.20 (b.MAT.1.20) But (Y) while (NULL) he (NULL) thought (NULL) on (NULL) these (NULL) things (chca) behold (canÿe) the (NULL) angel (ángel) of (NULL) the (NULL) Lord (Bëngbe) appeared (NULL) unto (tbojaniyana) him (NULL) in (NULL) a (chana) dream (Josébioye) saying (á) Joseph (José) thou (NULL) son (bochántsebomna) of (NULL) David (Davídbents) fear (NULL) not (ndoñe) to (NULL) take (s) unto (tbojaniyana) thee (matenócochinÿenana) Mary (Maríaftaca) thy (NULL) wife (NULL) for (er) that (NULL) which (chë) is (NULL) conceived (bochántsebomna) in (NULL) her (NULL) is (NULL) of (NULL) the (NULL) Holy (Uámana) Ghost (Espíritbe) 
b.MAT.1.21 And she shall bring forth a son and thou shalt call his name JESUS for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) And (Chca) she (María) shall (NULL) bring (NULL) forth (NULL) a (canÿe) son (bochántsebomna) and (y) thou (NULL) shalt (ca) call (cochjuabaye) his (NULL) name (NULL) JESUS (echantsabaina) for (er) he (cha) shall (NULL) save (echanjátsebacaye) his (NULL) people (ents) from (ana) their (chëngbe) sins (bacna) 
b.MAT.1.22 Now all this was done that it might be fulfilled which was spoken of the Lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (NULL) this (chca) was (NULL) done (nts) that (NULL) it (NULL) might (NULL) be (NULL) fulfilled (NULL) which (chaotsemnama) was (NULL) spoken (tojanayancá) of (NULL) the (NULL) Lord (Bëngbe) by (NULL) the (NULL) prophet (oyebuambnayá) saying (mënts) 
