context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (grāmata) of (NULL) the (NULL) generation (cilts) of (NULL) Jesus (Jēzus) Christ (Kristus) the (NULL) son (dēla) of (NULL) David (Dāvida) the (NULL) son (dēla) of (NULL) Abraham (Ābrahama) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Ābrahams) begat (dzemdināja) Isaac (Īzāku) and (Un) Isaac (Īzāku) begat (dzemdināja) Jacob (Jēkabu) and (Un) Jacob (Jēkabu) begat (dzemdināja) Judas (Jūdu) and (Un) his (viņa) brethren (brāļus) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Jūda) begat (dzemdināja) Phares (Faresu) and (un) Zara (Zāru) of (no) Thamar (Tamāras) and (un) Phares (Faresu) begat (dzemdināja) Esrom (Esronu) and (un) Esrom (Esronu) begat (dzemdināja) Aram (Aramu) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Arams) begat (dzemdināja) Aminadab (Aminadabu) and (un) Aminadab (Aminadabu) begat (dzemdināja) Naasson (Nāsonu) and (un) Naasson (Nāsonu) begat (dzemdināja) Salmon (Salmonu) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmons) begat (dzemdināja) Booz (Boozu) of (no) Rachab (Rahabas) and (NULL) Booz (Boozu) begat (dzemdināja) Obed (Obedu) of (no) Ruth (Rutes) and (NULL) Obed (Obedu) begat (dzemdināja) Jesse (Jesi) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (NULL) begat (NULL) David (NULL) the (NULL) king (Ķēniņš) and (NULL) David (NULL) the (NULL) king (Ķēniņš) begat (NULL) Solomon (Salomonu) of (no) her (tās) that (kas) had (bija) been (NULL) the (NULL) wife (NULL) of (no) Urias (Ūrija) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomons) begat (dzemdināja) Roboam (Roboamu) and (NULL) Roboam (Roboamu) begat (dzemdināja) Abia (Abiju) and (NULL) Abia (Abiju) begat (dzemdināja) Asa (Azu) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Azs) begat (dzemdināja) Josaphat (Jozafatu) and (NULL) Josaphat (Jozafatu) begat (dzemdināja) Joram (Joramu) and (NULL) Joram (Joramu) begat (dzemdināja) Ozias (Oziju) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Ozijs) begat (dzemdināja) Joatham (Joatamu) and (NULL) Joatham (Joatamu) begat (dzemdināja) Achaz (Ahazu) and (NULL) Achaz (Ahazu) begat (dzemdināja) Ezekias (Ezehiju) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Un) Ezekias (Ezehijs) begat (dzemdināja) Manasses (Manasu) and (NULL) Manasses (Manasu) begat (dzemdināja) Amon (Amonu) and (NULL) Amon (Amonu) begat (dzemdināja) Josias (Josiju) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Josijs) begat (dzemdināja) Jechonias (Jehoniju) and (un) his (viņa) brethren (brāļus) about (NULL) the (NULL) time (NULL) they (NULL) were (NULL) carried (verdzībā) away (NULL) to (NULL) Babylon (Babilonas) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (Pēc) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (verdzības) Jechonias (Jehonijs) begat (dzemdināja) Salathiel (Salatiēlu) and (NULL) Salathiel (Salatiēlu) begat (dzemdināja) Zorobabel (Zorobabelu) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabels) begat (dzemdināja) Abiud (Abiudu) and (NULL) Abiud (Abiudu) begat (dzemdināja) Eliakim (Eliakimu) and (NULL) Eliakim (Eliakimu) begat (dzemdināja) Azor (Azoru) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azors) begat (dzemdināja) Sadoc (Sadoku) and (NULL) Sadoc (Sadoku) begat (dzemdināja) Achim (Ahimu) and (NULL) Achim (Ahimu) begat (dzemdināja) Eliud (Eliudu) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (Un) Eliud (Eliuds) begat (dzemdināja) Eleazar (Eleazaru) and (un) Eleazar (Eleazaru) begat (dzemdināja) Matthan (Matanu) and (un) Matthan (Matanu) begat (dzemdināja) Jacob (Jēkabu) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (Bet) Jacob (Jēkabs) begat (dzemdināja) Joseph (Jāzepu) the (NULL) husband (vīru) of (NULL) Mary (Marijas) of (NULL) whom (kuras) was (NULL) born (dzimis) Jesus (Jēzus) who (kas) is (top) called (saukts) Christ (Kristus) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (Visas) the (NULL) generations (paaudzes) from (no) Abraham (Ābrahama) to (līdz) David (Dāvidam) are (ir) fourteen (četrpadsmit) generations (paaudzes) and (un) from (no) David (Dāvidam) until (līdz) the (NULL) carrying (NULL) away (NULL) into (verdzībai) Babylon (Babilonas) are (ir) fourteen (četrpadsmit) generations (paaudzes) and (un) from (no) the (NULL) carrying (NULL) away (NULL) into (verdzībai) Babylon (Babilonas) unto (līdz) Christ (Kristum) are (ir) fourteen (četrpadsmit) generations (paaudzes) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (Bet) the (NULL) birth (dzimšanu) of (NULL) Jesus (NULL) Christ (Kristus) was (bija) on (NULL) this (tā) wise (NULL) When (NULL) as (kad) his (Viņa) mother (māte) Mary (Marija) was (bija) espoused (saderināta) to (ar) Joseph (Jāzepu) before (iekams) they (viņi) came (sagāja) together (kopā) she (viņa) was (bija) found (izrādījās) with (ar) child (ieņēmusi) of (NULL) the (NULL) Holy (Svētā) Ghost (Gara) 
b.MAT.1.19 Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) Then (Bet) Joseph (Jāzeps) her (viņas) husband (vīrs) being (būdams) a (NULL) just (taisnīgs) man (NULL) and (un) not (NULL) willing (negribēdams) to (NULL) make (NULL) her (viņas) a (NULL) publick (celt) example (neslavu) was (NULL) minded (NULL) to (NULL) put (atstāt) her (viņas) away (NULL) privily (slepeni) 
