context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (Atzin) book (NULL) of (te) the (NULL) generation (NULL) of (te) Jesus (NULL) Christ (Jesucrist) the (NULL) son (xeˈchil) of (te) David (David) the (NULL) son (xeˈchil) of (te) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (ttata) Isaac (Isaac) and (NULL) Isaac (Isaac) begat (ttata) Jacob (NULL) and (NULL) Jacob (NULL) begat (ttata) Judas (NULL) and (NULL) his (NULL) brethren (titzˈin) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (Tamar) Phares (Judá) and (NULL) Zara (kytata) of (NULL) Thamar (Zara) and (NULL) Phares (Judá) begat (Tamar) Esrom (NULL) and (NULL) Esrom (NULL) begat (Tamar) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (NULL) begat (ttata) Aminadab (NULL) and (NULL) Aminadab (NULL) begat (ttata) Naasson (NULL) and (NULL) Naasson (NULL) begat (ttata) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (ttata) Booz (NULL) of (NULL) Rachab (Booz) and (ex) Booz (NULL) begat (ttata) Obed (NULL) of (NULL) Ruth (Rut) and (ex) Obed (NULL) begat (ttata) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (ttata) David (David) the (NULL) king (nmaq) and (NULL) David (David) the (NULL) king (nmaq) begat (ttata) Solomon (Salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (Urías) the (NULL) wife (NULL) of (NULL) Urias (xuˈjlbˈin) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (ttata) Roboam (Roboam) and (NULL) Roboam (Roboam) begat (ttata) Abia (NULL) and (NULL) Abia (NULL) begat (ttata) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Josafat) begat (ttata) Josaphat (NULL) and (NULL) Josaphat (NULL) begat (ttata) Joram (NULL) and (NULL) Joram (NULL) begat (ttata) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Jotam) begat (ttata) Joatham (NULL) and (NULL) Joatham (NULL) begat (ttata) Achaz (NULL) and (NULL) Achaz (NULL) begat (ttata) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (NULL) begat (ttata) Manasses (NULL) and (NULL) Manasses (NULL) begat (ttata) Amon (NULL) and (NULL) Amon (NULL) begat (ttata) Josias (Josías) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (kyukˈa) begat (ttata) Jechonias (Jeconías) and (NULL) his (NULL) brethren (titzˈin) about (NULL) the (NULL) time (NULL) they (NULL) were (NULL) carried (NULL) away (NULL) to (kyxi) Babylon (Babilonia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (Babilonia) Jechonias (Jeconías) begat (ttata) Salathiel (NULL) and (NULL) Salathiel (NULL) begat (ttata) Zorobabel (Zorobabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (NULL) begat (ttata) Abiud (NULL) and (NULL) Abiud (NULL) begat (ttata) Eliakim (NULL) and (NULL) Eliakim (NULL) begat (ttata) Azor (Azor) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Sadoc) begat (ttata) Sadoc (NULL) and (NULL) Sadoc (NULL) begat (ttata) Achim (NULL) and (NULL) Achim (NULL) begat (ttata) Eliud (Eliud) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (NULL) begat (ttata) Eleazar (NULL) and (NULL) Eleazar (NULL) begat (ttata) Matthan (NULL) and (NULL) Matthan (NULL) begat (ttata) Jacob (Jacob) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (NULL) begat (ttata) Joseph (Jse) the (a) husband (tchmil) of (NULL) Mary (Mariy) of (NULL) whom (a) was (NULL) born (skˈoˈnxix) Jesus (Jesús) who (a) is (NULL) called (tbˈi) Christ (Crist) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Ikytziˈn) all (NULL) the (NULL) generations (kyajlajaj) from (tzajnin) Abraham (Abraham) to (kyxi) David (David) are (NULL) fourteen (kyajlajaj) generations (kyajlajaj) and (NULL) from (tzajnin) David (David) until (tzmaxiˈ) the (NULL) carrying (jtzˈoˈn) away (aj) into (tzmax) Babylon (Babilonia) are (NULL) fourteen (kyajlajaj) generations (kyajlajaj) and (NULL) from (tzajnin) the (NULL) carrying (jtzˈoˈn) away (aj) into (tzmax) Babylon (Babilonia) unto (NULL) Christ (Crist) are (NULL) fourteen (kyajlajaj) generations (kyajlajaj) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (Atzin) the (NULL) birth (titzˈjlin) of (NULL) Jesus (NULL) Christ (Jesucrist) was (NULL) on (NULL) this (NULL) wise (NULL) When (NULL) as (ikytziˈn) his (NULL) mother (tnana) Mary (Mariy) was (NULL) espoused (naˈmtaqx) to (tuˈn) Joseph (Jse) before (kẍe) they (NULL) came (NULL) together (junx) she (bˈeˈx) was (NULL) found (tej) with (kykubˈ) child (tal) of (NULL) the (NULL) Holy (Xewbˈaj) Ghost (Xjan) 
b.MAT.1.19 Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) Then (Me) Joseph (Jse) her (tal) husband (tchmil) being (toktaq) a (tzˈok) just (tzˈaqle) man (ichin) and (ex) not (mi) willing (NULL) to (tkubˈ) make (tkubˈ) her (tal) a (tzˈok) publick (skˈon) example (chebˈetaq) was (otaq) minded (NULL) to (tkubˈ) put (tpaˈn) her (tal) away (NULL) privily (ewajil) 
b.MAT.1.20 But while he thought on these things behold the angel of the Lord appeared unto him in a dream saying Joseph thou son of David fear not to take unto thee Mary thy wife for that which is conceived in her is of the Holy Ghost,b.MAT.1.20 (b.MAT.1.20) But (Ex) while (tzmataq) he (ok) thought (nximin) on (NULL) these (lo) things (NULL) behold (ichin) the (t) angel (angel) of (NULL) the (t) Lord (qAjaw) appeared (tibˈ) unto (tyekˈin) him (te) in (toj) a (jun) dream (wutzikyˈ) saying (xi) Joseph (Jse) thou (ay) son (tkˈwal) of (NULL) David (David) fear (xobˈa) not (Mi) to (tjaw) take (NULL) unto (tyekˈin) thee (NULL) Mary (Mariy) thy (NULL) wife (itzˈjil) for (quˈn) that (NULL) which (NULL) is (atzin) conceived (mejey) in (toj) her (tal) is (atzin) of (NULL) the (t) Holy (Xewbˈaj) Ghost (Xjan) 
b.MAT.1.21 And she shall bring forth a son and thou shalt call his name JESUS for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) And (NULL) she (itzˈjil) shall (k) bring (NULL) forth (tal) a (jun) son (qˈa) and (ex) thou (NULL) shalt (k) call (okil) his (NULL) name (tbˈi) JESUS (K) for (quˈn) he (Jesús) shall (k) save (NULL) his (NULL) people (xjal) from (toj) their (NULL) sins (il) 
b.MAT.1.22 Now all this was done that it might be fulfilled which was spoken of the Lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (tkyaqiljo) this (lo) was (NULL) done (NULL) that (bˈaj) it (NULL) might (noq) be (tuˈn) fulfilled (tjapiˈn) which (NULL) was (NULL) spoken (ojtxe) of (NULL) the (NULL) Lord (qAjaw) by (NULL) the (NULL) prophet (yolil) saying (tqˈma) 
b.MAT.1.23 Behold a virgin shall be with child and shall bring forth a son and they shall call his name Emmanuel which being interpreted is God with us,b.MAT.1.23 (b.MAT.1.23) Behold (NULL) a (tal) virgin (txin) shall (NULL) be (okil) with (NULL) child (qˈa) and (Ex) shall (NULL) bring (NULL) forth (NULL) a (tal) son (tal) and (Ex) they (NULL) shall (NULL) call (NULL) his (NULL) name (tbˈi) Emmanuel (Emanuel) which (NULL) being (NULL) interpreted (NULL) is (ntqˈmaˈn) God (Dios) with (NULL) us (qukˈa) 
b.MAT.1.24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) Then (NULL) Joseph (Jse) being (NULL) raised (sakˈpaj) from (toj) sleep (twatl) did (tbˈinchin) as (tzeˈnkuxjo) the (t) angel (angel) of (NULL) the (t) Lord (qAjaw) had (otaq) bidden (NULL) him (te) and (ex) took (tkˈleˈn) unto (NULL) him (te) his (t) wife (xuˈjil) 
b.MAT.1.25 And knew her not till she had brought forth her firstborn son and he called his name JESUS,b.MAT.1.25 (b.MAT.1.25) And (Me) knew (NULL) her (NULL) not (mix) till (tzmaxiˈ) she (NULL) had (NULL) brought (NULL) forth (tal) her (NULL) firstborn (NULL) son (qˈa) and (Ex) he (tqˈoˈn) called (NULL) his (NULL) name (tbˈi) JESUS (otaqxi) 
b.MAT.2.1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king behold there came wise men from the east to Jerusalem,b.MAT.2.1 (b.MAT.2.1) Now (NULL) when (NULL) Jesus (Jesús) was (NULL) born (itzˈje) in (tojjo) Bethlehem (Belén) of (NULL) Judaea (Judey) in (tojjo) the (txˈotxˈ) days (qˈij) of (NULL) Herod (Herodes) the (txˈotxˈ) king (nmaq) behold (anetziˈn) there (NULL) came (kanin) wise (nabˈlqe) men (ichin) from (toj) the (txˈotxˈ) east (tjawitz) to (NULL) Jerusalem (Jerusalén) 
b.MAT.2.2 Saying Where is he that is born King of the Jews for we have seen his star in the east and are come to worship him,b.MAT.2.2 (b.MAT.2.2) Saying (NULL) Where (Jaˈtzin) is (taˈ) he (xi) that (NULL) is (taˈ) born (tzˈitzˈje) King (nmaq) of (aj) the (NULL) Jews (Judiy) for (Quˈn) we (NULL) have (ma) seen (qliˈy) his (NULL) star (tcheˈw) in (toj) the (NULL) east (tjawitz) and (ex) are (qo) come (tzaja) to (tuˈn) worship (qkˈulin) him (kyqanin) 
b.MAT.2.3 When Herod the king had heard these things he was troubled and all Jerusalem with him,b.MAT.2.3 (b.MAT.2.3) When (Atzaj) Herod (Herodes) the (NULL) king (nmaq) had (NULL) heard (tbˈinte) these (NULL) things (NULL) he (NULL) was (teˈ) troubled (NULL) and (NULL) all (tkyaqilxjal) Jerusalem (Jerusalén) with (kyukˈa) him (bˈeˈx) 
b.MAT.2.4 And when he had gathered all the chief priests and scribes of the people together he demanded of them where Christ should be born,b.MAT.2.4 (b.MAT.2.4) And (Tuˈnpetziˈn) when (bˈeˈx) he (NULL) had (i) gathered (NULL) all (kykyaqil) the (NULL) chief (kynejil) priests (pale) and (exqetziˈn) scribes (xnaqˈtzil) of (aj) the (NULL) people (Judiy) together (NULL) he (NULL) demanded (NULL) of (aj) them (kye) where (NULL) Christ (Crist) should (NULL) be (NULL) born (titzˈjetaq) 
b.MAT.2.5 And they said unto him In Bethlehem of Judaea for thus it is written by the prophet,b.MAT.2.5 (b.MAT.2.5) And (NULL) they (NULL) said (chiˈ) unto (NULL) him (NULL) In (NULL) Bethlehem (Belén) of (NULL) Judaea (Judey) for (Quˈn) thus (NULL) it (NULL) is (ikytziˈn) written (Tyol) by (ojtxe) the (kyij) prophet (yolil) 
b.MAT.2.6 And thou Bethlehem in the land of Juda art not the least among the princes of Juda for out of thee shall come a Governor that shall rule my people Israel,b.MAT.2.6 (b.MAT.2.6) And (NULL) thou (NULL) Bethlehem (Belén) in (toj) the (NULL) land (ttxˈotxˈ) of (NULL) Juda (Judá) art (te) not (nya) the (NULL) least (tal) among (kyxol) the (NULL) princes (NULL) of (NULL) Juda (Judá) for (Quˈn) out (NULL) of (NULL) thee (NULL) shall (NULL) come (elitze) a (jun) Governor (toja) that (NULL) shall (NULL) rule (kaˈyinte) my (NULL) people (tnam) Israel (Israel) 
b.MAT.2.7 Then Herod when he had privily called the wise men inquired of them diligently what time the star appeared,b.MAT.2.7 (b.MAT.2.7) Then (NULL) Herod (Herodes) when (NULL) he (NULL) had (NULL) privily (ttxkoˈnte) called (NULL) the (aye) wise (nabˈl) men (NULL) inquired (NULL) of (NULL) them (i) diligently (NULL) what (NULL) time (qˈij) the (aye) star (cheˈw) appeared (NULL) 
b.MAT.2.8 And he sent them to Bethlehem and said Go and search diligently for the young child and when ye have found him bring me word again that I may come and worship him also,b.MAT.2.8 (b.MAT.2.8) And (Ex) he (bˈeˈxsin) sent (tchqˈoˈn) them (i) to (NULL) Bethlehem (Belén) and (ex) said (tqˈmaˈn) Go (Ku) and (ex) search (kyxjelinxa) diligently (NULL) for (NULL) the (NULL) young (tal) child (neˈẍ) and (ex) when (Ajtzin) ye (NULL) have (kyuˈn) found (knet) him (NULL) bring (kysmaˈntza) me (weˈy) word (NULL) again (NULL) that (tqanil) I (wejiˈy) may (tuˈntzin) come (nxiˈy) and (ex) worship (kˈulil) him (NULL) also (ikyx) 
b.MAT.2.9 When they had heard the king they departed and lo the star which they saw in the east went before them till it came and stood over where the young child was,b.MAT.2.9 (b.MAT.2.9) When (NULL) they (Tuˈntziˈn) had (tyol) heard (NULL) the (NULL) king (Herodes) they (Tuˈntziˈn) departed (xiˈ) and (NULL) lo (NULL) the (NULL) star (cheˈw) which (a) they (Tuˈntziˈn) saw (kyli) in (toj) the (NULL) east (tjawitz) went (NULL) before (kywutz) them (NULL) till (tzmaxi) it (NULL) came (tkanin) and (NULL) stood (weˈ) over (taˈtaqjo) where (jaˈ) the (NULL) young (tal) child (kˈwal) was (NULL) 
b.MAT.2.10 When they saw the star they rejoiced with exceeding great joy,b.MAT.2.10 (b.MAT.2.10) When (Tej) they (NULL) saw (kylonte) the (NULL) star (cheˈw) they (NULL) rejoiced (tzalaj) with (NULL) exceeding (nimxix) great (NULL) joy (NULL) 
b.MAT.2.11 And when they were come into the house they saw the young child with Mary his mother and fell down and worshipped him and when they had opened their treasures they presented unto him gifts gold and frankincense and myrrh,b.MAT.2.11 (b.MAT.2.11) And (Atzaj) when (NULL) they (NULL) were (NULL) come (NULL) into (kyokx) the (NULL) house (tuja) they (NULL) saw (kyli) the (NULL) young (tal) child (kˈwal) with (NULL) Mary (Mariy) his (NULL) mother (tnana) and (NULL) fell (kubˈ) down (meje) and (NULL) worshipped (kˈulil) him (NULL) and (NULL) when (NULL) they (NULL) had (i) opened (NULL) their (NULL) treasures (NULL) they (NULL) presented (NULL) unto (NULL) him (NULL) gifts (kyoyin) gold (qˈanpwaq) and (NULL) frankincense (kˈokˈjsbˈil) and (NULL) myrrh (mir) 
b.MAT.2.12 And being warned of God in a dream that they should not return to Herod they departed into their own country another way,b.MAT.2.12 (b.MAT.2.12) And (Tbˈajlinxiˈ) being (ikyjo) warned (tyekˈin) of (NULL) God (Dios) in (toj) a (NULL) dream (kywutzikyˈ) that (NULL) they (NULL) should (tuˈn) not (mi) return (taˈtaq) to (NULL) Herod (Herodes) they (NULL) departed (NULL) into (NULL) their (NULL) own (NULL) country (NULL) another (junxil) way (bˈe) 
b.MAT.2.13 And when they were departed behold the angel of the Lord appeareth to Joseph in a dream saying Arise and take the young child and his mother and flee into Egypt and be thou there until I bring thee word for Herod will seek the young child to destroy him,b.MAT.2.13 (b.MAT.2.13) And (Tej) when (NULL) they (NULL) were (NULL) departed (NULL) behold (NULL) the (t) angel (angel) of (NULL) the (t) Lord (qAjaw) appeareth (twutzikyˈ) to (NULL) Joseph (Jse) in (ex) a (jun) dream (kyajtz) saying (tqˈmaˈn) Arise (weˈksa) and (NULL) take (Chlentzjiy) the (t) young (NULL) child (qˈa) and (NULL) his (NULL) mother (tnana) and (NULL) flee (cheˈxa) into (txˈotxˈ) Egypt (Egipto) and (NULL) be (NULL) thou (NULL) there (antza) until (tzmaxiˈ) I (nqˈmaˈn) bring (NULL) thee (tey) word (NULL) for (Quˈn) Herod (Herodes) will (kjyol) seek (NULL) the (t) young (NULL) child (qˈa) to (NULL) destroy (tenkja) him (tkubˈ) 
