context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (tocayomej) of (NULL) Jesus (NULL) Christ (Jesucristo) the (NULL) son (NULL) of (NULL) David (David) the (NULL) son (NULL) of (NULL) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (tajtli) Isaac (Isaac) and (niman) Isaac (Isaac) begat (tajtli) Jacob (Jacob) and (niman) Jacob (Jacob) begat (tajtli) Judas (Judá) and (niman) his (NULL) brethren (icnihuan) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Judá) begat (tajtli) Phares (Fares) and (niman) Zara (Zara) of (itoca) Thamar (Tamar) and (niman) Phares (Fares) begat (tajtli) Esrom (Esrom) and (niman) Esrom (Esrom) begat (tajtli) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (tajtli) Aminadab (Aminadab) and (niman) Aminadab (Aminadab) begat (tajtli) Naasson (Naasón) and (niman) Naasson (Naasón) begat (tajtli) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (tajtli) Booz (Booz) of (itech) Rachab (catca) and (NULL) Booz (Booz) begat (tajtli) Obed (Obed) of (itech) Ruth (Rut) and (NULL) Obed (Obed) begat (tajtli) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (tajtli) David (David) the (NULL) king (rey) and (NULL) David (David) the (NULL) king (rey) begat (tajtli) Solomon (Salomón) of (itech) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (NULL) of (itech) Urias (Urías) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (tajtli) Roboam (Roboam) and (niman) Roboam (Roboam) begat (tajtli) Abia (Abías) and (niman) Abia (Abías) begat (tajtli) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (tajtli) Josaphat (Josafat) and (niman) Josaphat (Josafat) begat (tajtli) Joram (Joram) and (niman) Joram (Joram) begat (tajtli) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzías) begat (tajtli) Joatham (Jotam) and (niman) Joatham (Jotam) begat (tajtli) Achaz (Acaz) and (niman) Achaz (Acaz) begat (tajtli) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequías) begat (tajtli) Manasses (Manasés) and (niman) Manasses (Manasés) begat (tajtli) Amon (Amón) and (niman) Amon (Amón) begat (tajtli) Josias (Josías) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (Niman) Josias (Josías) begat (tajtli) Jechonias (Jeconías) and (niman) his (NULL) brethren (icnihuan) about (ipan) the (on) time (tonaltin) they (yejhuamej) were (nemiyaj) carried (NULL) away (NULL) to (NULL) Babylon (Babilonia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (Ijcuac) after (ipan) they (on) were (NULL) brought (yoquintzacuatoj) to (NULL) Babylon (Babilonia) Jechonias (Jeconías) begat (tajtli) Salathiel (Salatiel) and (niman) Salathiel (Salatiel) begat (tajtli) Zorobabel (Zorobabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (tajtli) Abiud (Abiud) and (niman) Abiud (Abiud) begat (tajtli) Eliakim (Eliaquim) and (niman) Eliakim (Eliaquim) begat (tajtli) Azor (Azor) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (tajtli) Sadoc (Sadoc) and (niman) Sadoc (Sadoc) begat (tajtli) Achim (Aquim) and (niman) Achim (Aquim) begat (tajtli) Eliud (Eliud) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliud) begat (tajtli) Eleazar (Eleazar) and (niman) Eleazar (Eleazar) begat (tajtli) Matthan (Matán) and (niman) Matthan (Matán) begat (tajtli) Jacob (Jacob) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Jacob) begat (tajtli) Joseph (José) the (NULL) husband (ihuehuentzin) of (NULL) Mary (María) of (NULL) whom (yejhuan) was (catca) born (nantli) Jesus (Jesús) who (Yejhua) is (quijtosnequi) called (itoca) Christ (Cristo) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (NULL) the (NULL) generations (NULL) from (NULL) Abraham (Abraham) to (hasta) David (David) are (tej) fourteen (majtlactli) generations (NULL) and (Niman) from (NULL) David (David) until (hasta) the (NULL) carrying (oquimajsiquej) away (on) into (ne) Babylon (Babilonia) are (tej) fourteen (majtlactli) generations (NULL) and (Niman) from (NULL) the (NULL) carrying (oquimajsiquej) away (on) into (ne) Babylon (Babilonia) unto (hasta) Christ (Cristo) are (tej) fourteen (majtlactli) generations (NULL) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (Pero) the (NULL) birth (otlacat) of (NULL) Jesus (NULL) Christ (Jesucristo) was (NULL) on (yoquitlalijca) this (NULL) wise (NULL) When (NULL) as (ijcuac) his (on) mother (inan) Mary (María) was (NULL) espoused (compromiso) to (para) Joseph (José) before (xe) they (NULL) came (NULL) together (secan) she (quitlacatilis) was (NULL) found (NULL) with (ihuan) child (conetzintli) of (NULL) the (NULL) Holy (Espíritu) Ghost (Santo) 
b.MAT.1.19 Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (José) her (María) husband (NULL) being (yejhua) a (se) just (NULL) man (tlacatl) and (NULL) not (NULL) willing (quipinajtis) to (cuajli) make (para) her (María) a (se) publick (xoquinec) example (quichtacatlalcahuis) was (NULL) minded (NULL) to (cuajli) put (NULL) her (María) away (on) privily (xquimatisquej) 
b.MAT.1.20 But while he thought on these things behold the angel of the Lord appeared unto him in a dream saying Joseph thou son of David fear not to take unto thee Mary thy wife for that which is conceived in her is of the Holy Ghost,b.MAT.1.20 (b.MAT.1.20) But (Niman) while (chica) he (yejhua) thought (quinemiliaya) on (NULL) these (NULL) things (NULL) behold (se) the (NULL) angel (ilhuicactequitquetl) of (yejhuan) the (NULL) Lord (toTeco) appeared (oquinotitij) unto (NULL) him (NULL) in (NULL) a (NULL) dream (itemicpan) saying (oquijlij) Joseph (José) thou (NULL) son (teixhuiu) of (yejhuan) David (David) fear (NULL) not (ca) to (NULL) take (NULL) unto (NULL) thee (para) Mary (María) thy (NULL) wife (mosihuau) for (pampa) that (on) which (yejhuan) is (NULL) conceived (ipampa) in (NULL) her (NULL) is (NULL) of (yejhuan) the (NULL) Holy (Espíritu) Ghost (Santo) 
b.MAT.1.21 And she shall bring forth a son and thou shalt call his name JESUS for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) And (NULL) she (quitlacatilis) shall (NULL) bring (NULL) forth (NULL) a (se) son (NULL) and (NULL) thou (NULL) shalt (NULL) call (NULL) his (NULL) name (NULL) JESUS (tictocayotis) for (pampa) he (Jesús) shall (NULL) save (quinmaquixtis) his (NULL) people (NULL) from (yejhuan) their (on) sins (intlajtlacolhuan) 
b.MAT.1.22 Now all this was done that it might be fulfilled which was spoken of the Lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (Nochi) this (in) was (NULL) done (onochiu) that (NULL) it (NULL) might (para) be (NULL) fulfilled (otenquisquej) which (tlen) was (NULL) spoken (NULL) of (NULL) the (on) Lord (toTeco) by (itechcopa) the (on) prophet (tiotlajtojquetl) saying (NULL) 
b.MAT.1.23 Behold a virgin shall be with child and shall bring forth a son and they shall call his name Emmanuel which being interpreted is God with us,b.MAT.1.23 (b.MAT.1.23) Behold (NULL) a (NULL) virgin (ichpochtli) shall (NULL) be (yes) with (NULL) child (iconetzin) and (NULL) shall (NULL) bring (NULL) forth (quinixmachtia) a (NULL) son (canas) and (NULL) they (on) shall (NULL) call (quitlacatilis) his (NULL) name (itoca) Emmanuel (NULL) which (yejhuan) being (Emanuel) interpreted (quijtosnequi) is (nemi) God (Dios) with (NULL) us (tohuan) 
b.MAT.1.24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) Then (Ijcuac) Joseph (José) being (NULL) raised (otlachix) from (NULL) sleep (NULL) did (NULL) as (quen) the (on) angel (ilhuicactequitquetl) of (yejhuan) the (on) Lord (toTeco) had (NULL) bidden (oquinahuatij) him (NULL) and (NULL) took (NULL) unto (NULL) him (NULL) his (NULL) wife (ononamictij) 
b.MAT.1.25 And knew her not till she had brought forth her firstborn son and he called his name JESUS,b.MAT.1.25 (b.MAT.1.25) And (Pero) knew (NULL) her (NULL) not (NULL) till (hasta) she (NULL) had (NULL) brought (xnemiyaj) forth (on) her (NULL) firstborn (yononamictijquej) son (NULL) and (Niman) he (ijcuac) called (NULL) his (on) name (NULL) JESUS (oquitocayotij) 
b.MAT.2.1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king behold there came wise men from the east to Jerusalem,b.MAT.2.1 (b.MAT.2.1) Now (Niman) when (Ijcuac) Jesus (Jesús) was (catca) born (otlacat) in (ipan) Bethlehem (Belén) of (yejhuan) Judaea (Judea) in (ipan) the (on) days (tonajli) of (yejhuan) Herod (Herodes) the (on) king (rey) behold (pueblo) there (oncaj) came (oyejcoquej) wise (magos) men (tlacamej) from (ipan) the (on) east (iquisayan) to (NULL) Jerusalem (Jerusalén) 
