context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (ᐋᓃᑎ) of (NULL) Jesus (ᒋᓴᔅ) Christ (X) the (NULL) son (ᑳᐅᑕᑳᓀᓯᒡ) of (NULL) David (ᑌᐱᑎᕽ) the (NULL) son (ᑳᐅᑕᑳᓀᓯᒡ) of (NULL) Abraham (ᐁᐸᕒᐊᐋᒥᕽ) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (ᐁᐸᕒᐊᐋᒻ) begat (ᑮᐅᑯᓯᓯ) Isaac (ᐋᐃᓯᑰᓐ) and (NULL) Isaac (ᐋᐃᓯᑰᓐ) begat (ᑮᐅᑯᓯᓯ) Jacob (ᒉᑲᐴᓐ) and (NULL) Jacob (ᒉᑲᐴᓐ) begat (ᑮᐅᑯᓯᓯ) Judas (NULL) and (NULL) his (NULL) brethren (ᐐᒋᑭᐌᔨᓂ) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (ᑮᐅᑯᓯᓯ) Phares (ᐲᕒᐃᓴᓐ) and (ᔑᑾ) Zara (ᒎᑕ) of (NULL) Thamar (ᑌᒫᕒ) and (ᔑᑾ) Phares (ᐲᕒᐃᓴᓐ) begat (ᑮᐅᑯᓯᓯ) Esrom (ᐁᔅᕒᐊᓇᓐ) and (ᔑᑾ) Esrom (ᐁᔅᕒᐊᓇᓐ) begat (ᑮᐅᑯᓯᓯ) Aram (ᐅᕒᐋᒪᓐ) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (ᐅᕒᐋᒻ) begat (ᐅᑯᓯᓯ) Aminadab (ᐊᒥᓇᑖᐸᓐ) and (ᑲᔦ) Aminadab (ᐊᒥᓇᑖᐸᓐ) begat (ᐅᑯᓯᓯ) Naasson (ᓈᔕᓇᓐ) and (ᑲᔦ) Naasson (ᓈᔕᓇᓐ) begat (ᐅᑯᓯᓯ) Salmon (ᓵᓬᒪᓇᓐ) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (ᓵᓬᒪᓐ) begat (ᐅᑯᓯᓯ) Booz (ᐴᐙᓴᓐ) of (NULL) Rachab (ᐅᕒᐁᐋᑉ) and (ᑲᔦ) Booz (ᐴᐙᓴᓐ) begat (ᐅᑯᓯᓯ) Obed (ᐆᐱᑕᓐ) of (NULL) Ruth (ᐅᕒᐆᑦ) and (ᑲᔦ) Obed (ᐆᐱᑕᓐ) begat (ᐅᑯᓯᓯ) Jesse (ᒉᓯᐗᓐ) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (ᒉᓯ) begat (ᑮᐅᑯᓯᓯ) David (ᑌᐱᑕᓐ) the (NULL) king (ᑭᒋᐅᑭᒫᐎᓂᒡ) and (ᑲᔦ) David (ᑌᐱᑕᓐ) the (NULL) king (ᑭᒋᐅᑭᒫᐎᓂᒡ) begat (ᑮᐅᑯᓯᓯ) Solomon (ᔂᓬᐊᒪᓐ) of (NULL) her (NULL) that (NULL) had (NULL) been (ᑳᑮ) the (NULL) wife (ᐐᐗᓐ) of (NULL) Urias (ᑮᐅᒫᒫ) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (ᔂᓬᐊᒪᓐ) begat (ᐅᑯᓯᓯ) Roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) and (NULL) Roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) begat (ᐅᑯᓯᓯ) Abia (ᐊᐹᐃᒐᐗᓐ) and (NULL) Abia (ᐊᐹᐃᒐᐗᓐ) begat (ᐅᑯᓯᓯ) Asa (ᐁᓴᐗᓐ) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (ᐁᓴ) begat (ᐅᑯᓯᓯ) Josaphat (ᒉᐆᔕᐹᑕᓐ) and (ᑲᔦ) Josaphat (ᒉᐆᔕᐹᑕᓐ) begat (ᐅᑯᓯᓯ) Joram (ᒎᕒᐊᒨᓐ) and (ᑲᔦ) Joram (ᒎᕒᐊᒨᓐ) begat (ᐅᑯᓯᓯ) Ozias (ᐊᓵᔭᐗᓐ) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (NULL) begat (NULL) Joatham (NULL) and (NULL) Joatham (NULL) begat (NULL) Achaz (ᒎᑕᒨᓐ) and (NULL) Achaz (ᒎᑕᒨᓐ) begat (NULL) Ezekias (ᐁᓯᑳᔭᐗᓐ) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (ᐁᓯᑳᔭ) begat (ᐅᑯᓯᓯ) Manasses (ᐃᓂ) and (NULL) Manasses (ᐃᓂ) begat (ᐅᑯᓯᓯ) Amon (ᐋᒪᓇᓐ) and (NULL) Amon (ᐋᒪᓇᓐ) begat (ᐅᑯᓯᓯ) Josias (ᒍᓵᔭᐗᓐ) 
