context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (OTISU) book (msInukIn) of (NULL) the (i) generation (pmatse) of (NULL) Jesus (Cisus) Christ (Knayst) the (i) son (kwIsmukot) of (NULL) David (pItun) the (i) son (kwIsmukot) of (NULL) Abraham (amun) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (m) begat (okiwosmukon) Isaac (AysIkIn) and (ipi) Isaac (AysIkIn) begat (okiwosmukon) Jacob (kapIn) and (ipi) Jacob (kapIn) begat (okiwosmukon) Judas (CotusIn) and (ipi) his (niw) brethren (wikane) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (IcI) Judas (Cotus) begat (kiwosmukon) Phares (nIsIn) and (ipi) Zara (Se) of (NULL) Thamar (me) and (ipi) Phares (nIsIn) begat (kiwosmukon) Esrom (NULL) and (ipi) Esrom (NULL) begat (kiwosmukon) Aram (E) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (Ipi) Aram (num) begat (kiwosmukon) Aminadab (mInite) and (ipi) Aminadab (mInite) begat (kiwosmukon) Naasson (Ne) and (ipi) Naasson (Ne) begat (kiwosmukon) Salmon (SanmunIn) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (Ipi) Salmon (Sanmun) begat (kiwosmukon) Booz (Poe) of (NULL) Rachab (niwcI) and (ipi) Booz (Poe) begat (kiwosmukon) Obed (OpItIn) of (NULL) Ruth (NwtIn) and (ipi) Obed (OpItIn) begat (kiwosmukon) Jesse (siIn) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Ipi) Jesse (Ce) begat (kiwosmukon) David (pItIn) the (NULL) king (kaokumawIt) and (ipi) David (pItIn) the (NULL) king (kaokumawIt) begat (kiwosmukon) Solomon (Sanumun) of (NULL) her (kaokie) that (NULL) had (NULL) been (kaowiwpninIn) the (NULL) wife (NULL) of (NULL) Urias (Ionaie) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Ipi) Solomon (Sanumun) begat (kiwosmukon) Roboam (NopoumIn) and (ipi) Roboam (NopoumIn) begat (kiwosmukon) Abia (In) and (ipi) Abia (In) begat (kiwosmukon) Asa (se) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (Ipi) Asa (se) begat (kiwosmukon) Josaphat (Cose) and (ipi) Josaphat (Cose) begat (kiwosmukon) Joram (Cone) and (ipi) Joram (Cone) begat (kiwosmukon) Ozias (Osaye) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (Ipi) Ozias (Osaye) begat (kiwosmukon) Joatham (Cote) and (ipi) Joatham (Cote) begat (kiwosmukon) Achaz (E) and (ipi) Achaz (E) begat (kiwosmukon) Ezekias (IsikayusIn) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Ipi) Ezekias (Isikayus) begat (kiwosmukon) Manasses (Me) and (ipi) Manasses (Me) begat (kiwosmukon) Amon (munIn) and (ipi) Amon (munIn) begat (kiwosmukon) Josias (CosayusIn) 
