context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (Magau) generation (duncu) of (NULL) Jesus (Yesus) Christ (Kristus) the (Magau) son (NULL) of (NULL) David (Daud) the (Magau) son (NULL) of (NULL) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (mpobubu) Isaac (Ishak) and (NULL) Isaac (Ishak) begat (mpobubu) Jacob (Yakub) and (NULL) Jacob (Yakub) begat (mpobubu) Judas (Yehuda) and (NULL) his (na) brethren (ompi) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yehuda) begat (mpobubu) Phares (Peres) and (pai) Zara (Zerah) of (hanga) Thamar (Tamar) and (pai) Phares (Peres) begat (mpobubu) Esrom (Hezron) and (pai) Esrom (Hezron) begat (mpobubu) Aram (Ram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ram) begat (mpobubu) Aminadab (Aminadab) and (NULL) Aminadab (Aminadab) begat (mpobubu) Naasson (Nahason) and (NULL) Naasson (Nahason) begat (mpobubu) Salmon (Salmon) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmon) begat (mpobubu) Booz (Boas) of (hanga) Rachab (Rahab) and (NULL) Booz (Boas) begat (mpobubu) Obed (Obed) of (hanga) Ruth (Rut) and (NULL) Obed (Obed) begat (mpobubu) Jesse (Isai) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isai) begat (mpobubu) David (Daud) the (NULL) king (NULL) and (NULL) David (Daud) the (NULL) king (NULL) begat (mpobubu) Solomon (Salomo) of (Magau) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (balu) of (Magau) Urias (Uria) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomo) begat (mpobubu) Roboam (Rehabeam) and (NULL) Roboam (Rehabeam) begat (mpobubu) Abia (Abia) and (NULL) Abia (Abia) begat (mpobubu) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (mpobubu) Josaphat (Yosafat) and (NULL) Josaphat (Yosafat) begat (mpobubu) Joram (Yoram) and (NULL) Joram (Yoram) begat (mpobubu) Ozias (Uzia) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzia) begat (mpobubu) Joatham (Yotam) and (NULL) Joatham (Yotam) begat (mpobubu) Achaz (Ahas) and (NULL) Achaz (Ahas) begat (mpobubu) Ezekias (Hizkia) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hizkia) begat (mpobubu) Manasses (Manasye) and (NULL) Manasses (Manasye) begat (mpobubu) Amon (Amon) and (NULL) Amon (Amon) begat (mpobubu) Josias (Yosia) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yosia) begat (mpobubu) Jechonias (Yekhonya) and (pai) his (NULL) brethren (ompi) about (NULL) the (na) time (NULL) they (NULL) were (NULL) carried (NULL) away (NULL) to (NULL) Babylon (NULL) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (Ngkai) after (NULL) they (ra) were (NULL) brought (hilou) to (hi) Babylon (Babel) Jechonias (Yekhonya) begat (mpobubu) Salathiel (Sealtiel) and (NULL) Salathiel (Sealtiel) begat (mpobubu) Zorobabel (Zerubabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zerubabel) begat (mpobubu) Abiud (Abihud) and (NULL) Abiud (Abihud) begat (mpobubu) Eliakim (Elyakim) and (NULL) Eliakim (Elyakim) begat (mpobubu) Azor (Azor) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (mpobubu) Sadoc (Zadok) and (NULL) Sadoc (Zadok) begat (mpobubu) Achim (Akhim) and (NULL) Achim (Akhim) begat (mpobubu) Eliud (Eliud) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliud) begat (mpobubu) Eleazar (Eleazar) and (NULL) Eleazar (Eleazar) begat (mpobubu) Matthan (Matan) and (NULL) Matthan (Matan) begat (mpobubu) Jacob (Yakub) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Yakub) begat (mpobubu) Joseph (Yusuf) the (NULL) husband (tomane) of (NULL) Mary (Maria) of (NULL) whom (NULL) was (na) born (NULL) Jesus (NULL) who (NULL) is (NULL) called (NULL) Christ (NULL) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Jadi) all (NULL) the (NULL) generations (hampulu) from (ngkai) Abraham (Abraham) to (ki) David (Daud) are (to) fourteen (opo) generations (hampulu) and (NULL) from (ngkai) David (Daud) until (rata) the (NULL) carrying (karatawani) away (NULL) into (hi) Babylon (Babel) are (to) fourteen (opo) generations (hampulu) and (NULL) from (ngkai) the (NULL) carrying (karatawani) away (NULL) into (hi) Babylon (Babel) unto (hi) Christ (Kristus) are (to) fourteen (opo) generations (hampulu) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (kaputu) of (na) Jesus (Yesus) Christ (Kristus) was (NULL) on (NULL) this (toi) wise (NULL) When (NULL) as (Hewa) his (na) mother (Tina) Mary (Maria) was (NULL) espoused (mokamae) to (NULL) Joseph (Yusuf) before (kako) they (ra) came (mule) together (Potina) she (NULL) was (NULL) found (imi) with (NULL) child (motina) of (na) the (NULL) Holy (NULL) Ghost (Inoha) 
b.MAT.1.19 Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (Yusuf) her (Maria) husband (NULL) being (NULL) a (NULL) just (NULL) man (tauna) and (pai) not (uma) willing (dota) to (NULL) make (hante) her (Maria) a (NULL) publick (pokamae) example (NULL) was (na) minded (Kupohu) to (NULL) put (napohu) her (Maria) away (lau) privily (bongo) 
b.MAT.1.20 But while he thought on these things behold the angel of the Lord appeared unto him in a dream saying Joseph thou son of David fear not to take unto thee Mary thy wife for that which is conceived in her is of the Holy Ghost,b.MAT.1.20 (b.MAT.1.20) But (NULL) while (NULL) he (NULL) thought (mpopekiri) on (NULL) these (NULL) things (NULL) behold (NULL) the (NULL) angel (mala) of (toe) the (NULL) Lord (Pue) appeared (Ompo) unto (NULL) him (i) in (NULL) a (hadua) dream (ompo) saying (uli) Joseph (Yusuf) thou (ko) son (ana) of (toe) David (Daud) fear (eka) not (Neo) to (NULL) take (mpo) unto (NULL) thee (NULL) Mary (Maria) thy (NULL) wife (mpotobine) for (Apa) that (NULL) which (NULL) is (to) conceived (napotina) in (NULL) her (ki) is (to) of (toe) the (NULL) Holy (NULL) Ghost (Inoha) 
b.MAT.1.21 And she shall bring forth a son and thou shalt call his name JESUS for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) And (NULL) she (NULL) shall (mpai) bring (NULL) forth (NULL) a (hadua) son (ana) and (NULL) thou (NULL) shalt (mpai) call (NULL) his (NULL) name (NULL) JESUS (nuhanga) for (apa) he (Hi) shall (mpai) save (mpohore) his (NULL) people (ntodea) from (ngkai) their (ra) sins (jeko) 
b.MAT.1.22 Now all this was done that it might be fulfilled which was spoken of the Lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (Hawe) this (NULL) was (toe) done (napa) that (bona) it (NULL) might (NULL) be (NULL) fulfilled (madupa) which (to) was (toe) spoken (NULL) of (NULL) the (hante) Lord (Pue) by (wiwi) the (hante) prophet (nabi) saying (uli) 
b.MAT.1.23 Behold a virgin shall be with child and shall bring forth a son and they shall call his name Emmanuel which being interpreted is God with us,b.MAT.1.23 (b.MAT.1.23) Behold (NULL) a (NULL) virgin (toronaa) shall (mpai) be (NULL) with (NULL) child (motina) and (NULL) shall (mpai) bring (NULL) forth (NULL) a (NULL) son (ana) and (NULL) they (NULL) shall (mpai) call (NULL) his (na) name (NULL) Emmanuel (Imanuel) which (NULL) being (NULL) interpreted (NULL) is (ala) God (Alata) with (NULL) us (ta) 
