context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (Are) book (NULL) of (mam) the (qui) generation (NULL) of (mam) Jesus (Jesús) Christ (NULL) the (qui) son (NULL) of (mam) David (David) the (qui) son (NULL) of (mam) Abraham (Abraham) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (are) Isaac (NULL) and (tat) Isaac (NULL) begat (are) Jacob (Jacob) and (tat) Jacob (Jacob) begat (are) Judas (NULL) and (tat) his (NULL) brethren (rachalal) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (Ri) Judas (NULL) begat (ka) Phares (Fares) and (xukujeˈ) Zara (Zara) of (mam) Thamar (Tamar) and (xukujeˈ) Phares (Fares) begat (ka) Esrom (Esrom) and (xukujeˈ) Esrom (Esrom) begat (ka) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (Ri) Aram (Aram) begat (mam) Aminadab (NULL) and (tat) Aminadab (NULL) begat (mam) Naasson (Naasón) and (tat) Naasson (Naasón) begat (mam) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (Ri) Salmon (Salmón) begat (mam) Booz (Booz) of (NULL) Rachab (Rahab) and (Ri) Booz (Booz) begat (mam) Obed (NULL) of (NULL) Ruth (Rut) and (Ri) Obed (NULL) begat (mam) Jesse (Isaí) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (Ri) Jesse (Isaí) begat (mam) David (NULL) the (ri) king (takanel) and (Ri) David (NULL) the (ri) king (takanel) begat (mam) Solomon (Salomón) of (areˈ) her (chichuˈ) that (ri) had (NULL) been (NULL) the (ri) wife (xrixokilaj) of (areˈ) Urias (Urías) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (Ri) Solomon (Salomón) begat (mam) Roboam (NULL) and (tat) Roboam (NULL) begat (mam) Abia (Abías) and (tat) Abia (Abías) begat (mam) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (Ri) Asa (Asa) begat (mam) Josaphat (NULL) and (tat) Josaphat (NULL) begat (mam) Joram (Joram) and (tat) Joram (Joram) begat (mam) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (Ri) Ozias (Uzías) begat (mam) Joatham (NULL) and (tat) Joatham (NULL) begat (mam) Achaz (Acaz) and (tat) Achaz (Acaz) begat (mam) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Ri) Ezekias (Ezequías) begat (mam) Manasses (NULL) and (tat) Manasses (NULL) begat (mam) Amon (Amón) and (tat) Amon (Amón) begat (mam) Josias (Josías) 
