context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (quillca) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (NULL) Christ (Jesucristo) the (NULL) son (mirai) of (NULL) David (David) the (NULL) son (mirai) of (NULL) Abraham (Abrahanmanda) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abrahamba) begat (aca) Isaac (Isac) and (NULL) Isaac (Isac) begat (aca) Jacob (NULL) and (NULL) Jacob (NULL) begat (aca) Judas (NULL) and (NULL) his (paihua) brethren (uquiunandi) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (aca) Phares (Fares) and (NULL) Zara (Zarandi) of (NULL) Thamar (Tamarmanda) and (NULL) Phares (Fares) begat (aca) Esrom (Esrom) and (NULL) Esrom (Esrom) begat (aca) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aramba) begat (churi) Aminadab (Aminadab) and (NULL) Aminadab (Aminadab) begat (churi) Naasson (Naason) and (NULL) Naasson (Naason) begat (churi) Salmon (Salmón) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmomba) begat (churi) Booz (Booz) of (NULL) Rachab (llucshij) and (NULL) Booz (Booz) begat (churi) Obed (Obed) of (NULL) Ruth (llucshij) and (NULL) Obed (Obed) begat (churi) Jesse (Isai) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaihua) begat (churi) David (David) the (NULL) king (rey) and (NULL) David (David) the (NULL) king (rey) begat (churi) Solomon (Salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (NULL) of (NULL) Urias (Uriaspa) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomomba) begat (churi) Roboam (Roboam) and (NULL) Roboam (Roboam) begat (churi) Abia (Abías) and (NULL) Abia (Abías) begat (churi) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asajpa) begat (churi) Josaphat (Josafat) and (NULL) Josaphat (Josafat) begat (churi) Joram (Joram) and (NULL) Joram (Joram) begat (churi) Ozias (Uzías) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzíaspa) begat (churi) Joatham (Jotam) and (NULL) Joatham (Jotam) begat (churi) Achaz (Acaz) and (NULL) Achaz (Acaz) begat (churi) Ezekias (Ezequías) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequíaspa) begat (churi) Manasses (Manases) and (NULL) Manasses (Manases) begat (churi) Amon (Amón) and (NULL) Amon (Amón) begat (churi) Josias (Josías) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Josíaspa) begat (aca) Jechonias (Jeconías) and (NULL) his (paihua) brethren (uquiunandi) about (NULL) the (NULL) time (NULL) they (NULL) were (horas) carried (apashca) away (NULL) to (llactama) Babylon (Babilonia) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (huasha) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (NULL) Jechonias (Jeconíaspa) begat (churi) Salathiel (Salatiel) and (NULL) Salathiel (Salatiel) begat (churi) Zorobabel (Zorobabel) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabelba) begat (aca) Abiud (NULL) and (NULL) Abiud (NULL) begat (aca) Eliakim (Eliaquindi) and (NULL) Eliakim (Eliaquindi) begat (aca) Azor (Azor) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azorba) begat (churi) Sadoc (Sadoc) and (NULL) Sadoc (Sadoc) begat (churi) Achim (Aquim) and (NULL) Achim (Aquim) begat (churi) Eliud (Eliud) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliudpa) begat (churi) Eleazar (Eleazar) and (NULL) Eleazar (Eleazar) begat (churi) Matthan (Matan) and (NULL) Matthan (Matan) begat (churi) Jacob (Jacob) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Jacobpa) begat (churi) Joseph (José) the (NULL) husband (Josega) of (NULL) Mary (María) of (NULL) whom (ajllashca) was (aca) born (pagarimuca) Jesus (Jesús) who (Maríamanda) is (NULL) called (nishca) Christ (Cristo) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Shinajpi) all (NULL) the (NULL) generations (Davidgama) from (NULL) Abraham (Abrahanmanda) to (NULL) David (NULL) are (chunga) fourteen (NULL) generations (Davidgama) and (NULL) from (NULL) David (NULL) until (apanagama) the (NULL) carrying (Babiloniama) away (NULL) into (NULL) Babylon (NULL) are (chunga) fourteen (NULL) generations (Davidgama) and (NULL) from (NULL) the (NULL) carrying (Babiloniama) away (NULL) into (NULL) Babylon (NULL) unto (NULL) Christ (NULL) are (chunga) fourteen (NULL) generations (Davidgama) 
b.MAT.1.18 Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost,b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (pagarina) of (NULL) Jesus (NULL) Christ (Jesucristo) was (aca) on (NULL) this (NULL) wise (casnami) When (NULL) as (NULL) his (Paihua) mother (mama) Mary (María) was (aca) espoused (pactachishca) to (NULL) Joseph (Josehua) before (NULL) they (NULL) came (NULL) together (NULL) she (llutarijllaira) was (aca) found (tupaca) with (NULL) child (huahuara) of (NULL) the (NULL) Holy (Santo) Ghost (NULL) 
