context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (ya) the (NULL) generation (NULL) of (ya) Jesus (Yesu) Christ (Kristo) the (NULL) son (mzawa) of (ya) David (Daudi) the (NULL) son (mzawa) of (ya) Abraham (Abrahamu) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abrahamu) begat (alimzaa) Isaac (Isaka) and (NULL) Isaac (Isaka) begat (alimzaa) Jacob (Yakobo) and (NULL) Jacob (Yakobo) begat (alimzaa) Judas (Yuda) and (NULL) his (zake) brethren (ndugu) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yuda) begat (alimzaa) Phares (Faresi) and (na) Zara (Zera) of (NULL) Thamar (Tamari) and (na) Phares (Faresi) begat (alimzaa) Esrom (Hesroni) and (na) Esrom (Hesroni) begat (alimzaa) Aram (Rami) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Rami) begat (alimzaa) Aminadab (Aminadabu) and (NULL) Aminadab (Aminadabu) begat (alimzaa) Naasson (Nashoni) and (NULL) Naasson (Nashoni) begat (alimzaa) Salmon (Salmoni) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmoni) begat (alimzaa) Booz (Boazi) of (NULL) Rachab (alikuwa) and (NULL) Booz (Boazi) begat (alimzaa) Obed (NULL) of (NULL) Ruth (Obedi) and (NULL) Obed (NULL) begat (alimzaa) Jesse (Yese) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Yese) begat (alimzaa) David (Daudi) the (NULL) king (Mfalme) and (NULL) David (Daudi) the (NULL) king (Mfalme) begat (alimzaa) Solomon (Solomoni) of (NULL) her (mama) that (NULL) had (alikuwa) been (NULL) the (NULL) wife (mke) of (NULL) Urias (Uria) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Solomoni) begat (alimzaa) Roboam (Rehoboamu) and (NULL) Roboam (Rehoboamu) begat (alimzaa) Abia (Abiya) and (NULL) Abia (Abiya) begat (alimzaa) Asa (Asa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (alimzaa) Josaphat (Yehoshafati) and (NULL) Josaphat (Yehoshafati) begat (alimzaa) Joram (Yoramu) and (NULL) Joram (Yoramu) begat (alimzaa) Ozias (Uzia) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzia) begat (alimzaa) Joatham (Yothamu) and (NULL) Joatham (Yothamu) begat (alimzaa) Achaz (Ahazi) and (NULL) Achaz (Ahazi) begat (alimzaa) Ezekias (Hezekia) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hezekia) begat (alimzaa) Manasses (Manase) and (NULL) Manasses (Manase) begat (alimzaa) Amon (Amoni) and (NULL) Amon (Amoni) begat (alimzaa) Josias (Yosia) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yosia) begat (alimzaa) Jechonias (Yekonia) and (na) his (zake) brethren (ndugu) about (Huo) the (NULL) time (wakati) they (NULL) were (walipopelekwa) carried (uhamishoni) away (NULL) to (NULL) Babylon (Babuloni) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (ya) they (NULL) were (uhamishomi) brought (kupelekwa) to (NULL) Babylon (Babuloni) Jechonias (Yekonia) begat (alimzaa) Salathiel (Shealtieli) and (NULL) Salathiel (Shealtieli) begat (alimzaa) Zorobabel (Zerobabeli) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zerobabeli) begat (alimzaa) Abiud (Abiudi) and (NULL) Abiud (Abiudi) begat (alimzaa) Eliakim (Eliakimu) and (NULL) Eliakim (Eliakimu) begat (alimzaa) Azor (Azori) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azori) begat (alimzaa) Sadoc (Zadoki) and (NULL) Sadoc (Zadoki) begat (alimzaa) Achim (Akimu) and (NULL) Achim (Akimu) begat (alimzaa) Eliud (Eliudi) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliudi) begat (alimzaa) Eleazar (Eleazeri) and (NULL) Eleazar (Eleazeri) begat (alimzaa) Matthan (Mathani) and (NULL) Matthan (Mathani) begat (alimzaa) Jacob (Yakobo) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Yakobo) begat (alimzaa) Joseph (Yosefu) the (NULL) husband (mume) of (NULL) Mary (Maria) of (NULL) whom (yake) was (aliyekuwa) born (NULL) Jesus (Yesu) who (NULL) is (NULL) called (aitwaye) Christ (Kristo) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (Basi) all (NULL) the (na) generations (vizazi) from (na) Abraham (Abrahamu) to (mpaka) David (Daudi) are (NULL) fourteen (kumi) generations (vizazi) and (na) from (na) David (Daudi) until (mpaka) the (na) carrying (walipochukuliwa) away (na) into (NULL) Babylon (Babuloni) are (NULL) fourteen (kumi) generations (vizazi) and (na) from (na) the (na) carrying (walipochukuliwa) away (na) into (NULL) Babylon (Babuloni) unto (mpaka) Christ (Kristo) are (NULL) fourteen (kumi) generations (vizazi) 
