context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (ܟܬܒܐ) of (NULL) the (NULL) generation (ܕܝܠܝܕܘܬܗ) of (NULL) Jesus (ܕܝܫܘܥ) Christ (ܡܫܝܚܐ) the (NULL) son (ܒܪܗ) of (NULL) David (ܕܕܘܝܕ) the (NULL) son (ܒܪܗ) of (NULL) Abraham (ܕܐܒܪܗܡ) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (ܐܒܪܗܡ) begat (ܐܘܠܕ) Isaac (ܠܐܝܤܚܩ) and (NULL) Isaac (ܠܐܝܤܚܩ) begat (ܐܘܠܕ) Jacob (ܠܝܥܩܘܒ) and (NULL) Jacob (ܠܝܥܩܘܒ) begat (ܐܘܠܕ) Judas (ܠܝܗܘܕܐ) and (NULL) his (NULL) brethren (ܘܠܐܚܘܗܝ) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (ܝܗܘܕܐ) begat (ܐܘܠܕ) Phares (ܠܦܪܨ) and (NULL) Zara (ܘܠܙܪܚ) of (ܡܢ) Thamar (ܬܡܪ) and (NULL) Phares (ܠܦܪܨ) begat (ܐܘܠܕ) Esrom (ܠܚܨܪܘܢ) and (NULL) Esrom (ܠܚܨܪܘܢ) begat (ܐܘܠܕ) Aram (ܠܐܪܡ) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (ܐܪܡ) begat (ܐܘܠܕ) Aminadab (ܠܥܡܝܢܕܒ) and (NULL) Aminadab (ܠܥܡܝܢܕܒ) begat (ܐܘܠܕ) Naasson (ܠܢܚܫܘܢ) and (NULL) Naasson (ܠܢܚܫܘܢ) begat (ܐܘܠܕ) Salmon (ܠܤܠܡܘܢ) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (ܤܠܡܘܢ) begat (ܐܘܠܕ) Booz (ܠܒܥܙ) of (ܡܢ) Rachab (ܪܚܒ) and (NULL) Booz (ܠܒܥܙ) begat (ܐܘܠܕ) Obed (ܠܥܘܒܝܕ) of (ܡܢ) Ruth (ܪܥܘܬ) and (NULL) Obed (ܠܥܘܒܝܕ) begat (ܐܘܠܕ) Jesse (ܠܐܝܫܝ) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (ܐܝܫܝ) begat (ܐܘܠܕ) David (ܠܕܘܝܕ) the (NULL) king (ܡܠܟܐ) and (NULL) David (ܠܕܘܝܕ) the (NULL) king (ܡܠܟܐ) begat (ܐܘܠܕ) Solomon (ܠܫܠܝܡܘܢ) of (ܡܢ) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (ܐܢܬܬܗ) of (ܡܢ) Urias (ܕܐܘܪܝܐ) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (ܫܠܝܡܘܢ) begat (ܐܘܠܕ) Roboam (ܠܪܚܒܥܡ) and (NULL) Roboam (ܠܪܚܒܥܡ) begat (ܐܘܠܕ) Abia (ܠܐܒܝܐ) and (NULL) Abia (ܠܐܒܝܐ) begat (ܐܘܠܕ) Asa (ܠܐܤܐ) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (ܐܤܐ) begat (ܐܘܠܕ) Josaphat (ܠܝܗܘܫܦܛ) and (NULL) Josaphat (ܠܝܗܘܫܦܛ) begat (ܐܘܠܕ) Joram (ܠܝܘܪܡ) and (NULL) Joram (ܠܝܘܪܡ) begat (ܐܘܠܕ) Ozias (ܠܥܘܙܝܐ) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (ܥܘܙܝܐ) begat (ܐܘܠܕ) Joatham (ܠܝܘܬܡ) and (NULL) Joatham (ܠܝܘܬܡ) begat (ܐܘܠܕ) Achaz (ܠܐܚܙ) and (NULL) Achaz (ܠܐܚܙ) begat (ܐܘܠܕ) Ezekias (ܠܚܙܩܝܐ) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (ܚܙܩܝܐ) begat (ܐܘܠܕ) Manasses (ܠܡܢܫܐ) and (NULL) Manasses (ܠܡܢܫܐ) begat (ܐܘܠܕ) Amon (ܠܐܡܘܢ) and (NULL) Amon (ܠܐܡܘܢ) begat (ܐܘܠܕ) Josias (ܠܝܘܫܝܐ) 
