context,targ
b.GEN.1.2 And the earth was without form and void and darkness was upon the face of the deep And the Spirit of God moved upon the face of the waters,b.GEN.1.2 (b.GEN.1.2) And (NULL) the (NULL) earth (adal) was (iga) without (tu) form (əknanen) and (NULL) void (waliyyat) and (NULL) darkness (šiyyay) was (iga) upon (NULL) the (NULL) face (am) of (n) the (NULL) deep (NULL) And (NULL) the (NULL) Spirit (fas) of (n) God (Məššina) moved (ollay) upon (NULL) the (NULL) face (am) of (n) the (NULL) waters (am) 
b.GEN.1.3 And God said Let there be light and there was light,b.GEN.1.3 (b.GEN.1.3) And (NULL) God (Məššina) said (In) Let (NULL) there (NULL) be (a) light (ur) and (NULL) there (NULL) was (ən) light (ur) 
b.GEN.1.4 And God saw the light that it was good and God divided the light from the darkness,b.GEN.1.4 (b.GEN.1.4) And (NULL) God (Məššina) saw (Inay) the (n) light (ur) that (NULL) it (NULL) was (təzzar) good (olaɣan) and (əd) God (Məššina) divided (izammazzay) the (n) light (ur) from (NULL) the (n) darkness (šiyyay) 
b.GEN.1.5 And God called the light Day and the darkness he called Night And the evening and the morning were the first day,b.GEN.1.5 (b.GEN.1.5) And (Iga) God (Məššina) called (es) the (n) light (ur) Day (ezal) and (amaran) the (n) darkness (šiyyay) he (ig) called (es) Night (asnat) And (Iga) the (n) evening (ahad) and (amaran) the (n) morning (w) were (tifawt) the (n) first (azzaran) day (əzəl) 
b.GEN.1.6 And God said Let there be a firmament in the midst of the waters and let it divide the waters from the waters,b.GEN.1.6 (b.GEN.1.6) And (NULL) God (Məššina) said (In) Let (Iməlet) there (tu) be (az) a (NULL) firmament (aɣarɣar) in (NULL) the (NULL) midst (NULL) of (NULL) the (NULL) waters (NULL) and (NULL) let (NULL) it (NULL) divide (izəmməzzəyan) the (NULL) waters (NULL) from (NULL) the (NULL) waters (NULL) 
b.GEN.1.7 And God made the firmament and divided the waters which were under the firmament from the waters which were above the firmament and it was so,b.GEN.1.7 (b.GEN.1.7) And (Təzzar) God (Məššina) made (ddu) the (NULL) firmament (aɣarɣar) and (NULL) divided (izammazzay) the (NULL) waters (am) which (win) were (əllanen) under (daw) the (NULL) firmament (aɣarɣar) from (NULL) the (NULL) waters (am) which (win) were (əllanen) above (afalla) the (NULL) firmament (aɣarɣar) and (NULL) it (NULL) was (wen) so (NULL) 
b.GEN.1.8 And God called the firmament Heaven And the evening and the morning were the second day,b.GEN.1.8 (b.GEN.1.8) And (Iga) God (Məššina) called (es) the (NULL) firmament (aɣarɣar) Heaven (ijənnawan) And (Iga) the (NULL) evening (ahad) and (NULL) the (NULL) morning (ig) were (tifawt) the (NULL) second (əššin) day (əzəl) 
b.GEN.1.9 And God said Let the waters under the heaven be gathered together unto one place and let the dry land appear and it was so,b.GEN.1.9 (b.GEN.1.9) And (Iga) God (Məššina) said (In) Let (NULL) the (NULL) waters (an) under (daw) the (NULL) heaven (jənnawan) be (NULL) gathered (iddawanet) together (NULL) unto (NULL) one (iyyanda) place (edagg) and (NULL) let (ad) the (NULL) dry (iqquran) land (wa) appear (inəfiləl) and (NULL) it (Am) was (wen) so (da) 
b.GEN.1.10 And God called the dry land Earth and the gathering together of the waters called he Seas and God saw that it was good,b.GEN.1.10 (b.GEN.1.10) And (Iga) God (Məššina) called (es) the (NULL) dry (iqquran) land (adal) Earth (adag) and (NULL) the (NULL) gathering (adag) together (əddewan) of (NULL) the (NULL) waters (am) called (es) he (iga) Seas (igərwan) and (NULL) God (Məššina) saw (Inay) that (NULL) it (as) was (wa) good (olaɣ) 
b.GEN.1.11 And God said Let the earth bring forth grass the herb yielding seed and the fruit tree yielding fruit after his kind whose seed is in itself upon the earth and it was so,b.GEN.1.11 (b.GEN.1.11) And (Təzzar) God (NULL) said (n) Let (NULL) the (NULL) earth (adal) bring (NULL) forth (daɣ) grass (taddalət) the (NULL) herb (yel) yielding (ilan) seed (asa) and (NULL) the (NULL) fruit (eškan) tree (rawan) yielding (ilan) fruit (eškan) after (əd) his (NULL) kind (NULL) whose (təgat) seed (asa) is (NULL) in (NULL) itself (əlanen) upon (NULL) the (NULL) earth (adal) and (NULL) it (NULL) was (wen) so (da) 
