context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (Книга) of (NULL) the (NULL) generation (родоводу) of (NULL) Jesus (Ісуса) Christ (Христа) the (NULL) son (сина) of (NULL) David (Давидового) the (NULL) son (сина) of (NULL) Abraham (Авраамового) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Авраам) begat (породив) Isaac (Ісаака) and (а) Isaac (Ісаака) begat (породив) Jacob (Якова) and (а) Jacob (Якова) begat (породив) Judas (Юду) and (а) his (його) brethren (братів) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (а) Judas (Юда) begat (породив) Phares (Фареса) and (та) Zara (Зару) of (від) Thamar (Тамари) and (та) Phares (Фареса) begat (породив) Esrom (Єсрома) and (та) Esrom (Єсрома) begat (породив) Aram (Арама) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (а) Aram (Арам) begat (породив) Aminadab (Аминадава) and (а) Aminadab (Аминадава) begat (породив) Naasson (Насона) and (а) Naasson (Насона) begat (породив) Salmon (Салмона) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (а) Salmon (Салмон) begat (породив) Booz (Вооза) of (від) Rachab (Рахави) and (а) Booz (Вооза) begat (породив) Obed (Овида) of (від) Ruth (Рути) and (а) Obed (Овида) begat (породив) Jesse (Єссея) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (а) Jesse (Єссей) begat (породив) David (Давида) the (NULL) king (царя) and (а) David (Давида) the (NULL) king (царя) begat (породив) Solomon (Соломона) of (від) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (NULL) of (від) Urias (Урієвої) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (а) Solomon (Соломон) begat (породив) Roboam (Ровоама) and (а) Roboam (Ровоама) begat (породив) Abia (Авію) and (а) Abia (Авію) begat (породив) Asa (Асу) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (а) Asa (Аса) begat (породив) Josaphat (Йосафата) and (а) Josaphat (Йосафата) begat (породив) Joram (Йорама) and (а) Joram (Йорама) begat (породив) Ozias (Озію) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (а) Ozias (Озія) begat (породив) Joatham (Йоатама) and (а) Joatham (Йоатама) begat (породив) Achaz (Ахаза) and (а) Achaz (Ахаза) begat (породив) Ezekias (Єзекію) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (а) Ezekias (Єзекія) begat (породив) Manasses (Манассію) and (а) Manasses (Манассію) begat (породив) Amon (Амона) and (а) Amon (Амона) begat (породив) Josias (Йосію) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (а) Josias (Йосія) begat (породив) Jechonias (Єхонїю) and (та) his (його) brethren (братів) about (під) the (NULL) time (час) they (NULL) were (NULL) carried (переселення) away (NULL) to (у) Babylon (Вавилон) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (а) after (після) they (NULL) were (того) brought (переселено) to (NULL) Babylon (NULL) Jechonias (Єхонїя) begat (породив) Salathiel (Салатиїла) and (а) Salathiel (Салатиїла) begat (породив) Zorobabel (Зоровавеля) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (а) Zorobabel (Заровавель) begat (породив) Abiud (Авіюда) and (а) Abiud (Авіюда) begat (породив) Eliakim (Єліякима) and (а) Eliakim (Єліякима) begat (породив) Azor (Азора) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (а) Azor (Азор) begat (породив) Sadoc (Садока) and (а) Sadoc (Садока) begat (породив) Achim (Ахима) and (а) Achim (Ахима) begat (породив) Eliud (Єліюда) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (а) Eliud (Єліюд) begat (породив) Eleazar (Єліазара) and (а) Eleazar (Єліазара) begat (породив) Matthan (Маттана) and (а) Matthan (Маттана) begat (породив) Jacob (Якова) 
b.MAT.1.16 And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ,b.MAT.1.16 (b.MAT.1.16) And (а) Jacob (Яков) begat (породив) Joseph (ЙосиФа) the (NULL) husband (чоловіка) of (NULL) Mary (Мариїного) of (NULL) whom (неї) was (NULL) born (родивсь) Jesus (Ісус) who (NULL) is (на) called (прізвище) Christ (Христос) 
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (всїх) the (NULL) generations (родів) from (од) Abraham (Авраама) to (до) David (Давида) are (NULL) fourteen (чотирнайцять) generations (родів) and (а) from (од) David (Давида) until (до) the (NULL) carrying (переселення) away (NULL) into (у) Babylon (Вавилон) are (NULL) fourteen (чотирнайцять) generations (родів) and (а) from (од) the (NULL) carrying (переселення) away (NULL) into (у) Babylon (Вавилон) unto (до) Christ (Христа) are (NULL) fourteen (чотирнайцять) generations (родів) 
