context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (maxaafaa) of (NULL) the (NULL) generation (yeletaa) of (NULL) Jesus (Yesuus) Christ (Kiristtoosa) the (NULL) son (NULL) of (NULL) David (Daawita) the (NULL) son (NULL) of (NULL) Abraham (Abrahaama) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abrahaami) begat (yeliis) Isaac (Yisaaqa) and (NULL) Isaac (Yisaaqa) begat (yeliis) Jacob (Yaaqooba) and (NULL) Jacob (Yaaqooba) begat (yeliis) Judas (Yihudaanne) and (NULL) his (a) brethren (ishantta) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yihudai) begat (yeliis) Phares (Ti7imaaro) and (NULL) Zara (maccaaseeppe) of (NULL) Thamar (giyo) and (NULL) Phares (Ti7imaaro) begat (yeliis) Esrom (Hexiroona) and (NULL) Esrom (Hexiroona) begat (yeliis) Aram (Raama) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Raami) begat (yeliis) Aminadab (Aminadaaba) and (NULL) Aminadab (Aminadaaba) begat (yeliis) Naasson (NULL) and (NULL) Naasson (NULL) begat (yeliis) Salmon (Na7asooni) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Ra7aabo) begat (NULL) Booz (NULL) of (NULL) Rachab (maccaaseeppe) and (NULL) Booz (NULL) begat (NULL) Obed (NULL) of (NULL) Ruth (Uruto) and (NULL) Obed (NULL) begat (NULL) Jesse (Isseya) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isseyi) begat (yeliis) David (Daawita) the (NULL) king (Kawuwaa) and (NULL) David (Daawita) the (NULL) king (Kawuwaa) begat (yeliis) Solomon (Solomona) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (machchiyo) of (NULL) Urias (Ooriyoona) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Solomoni) begat (yeliis) Roboam (Robi7aama) and (NULL) Roboam (Robi7aama) begat (yeliis) Abia (Abiiya) and (NULL) Abia (Abiiya) begat (yeliis) Asa (Asaafa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (Asaafi) Asa (NULL) begat (yeliis) Josaphat (Yoosaafixa) and (NULL) Josaphat (Yoosaafixa) begat (yeliis) Joram (NULL) and (NULL) Joram (NULL) begat (yeliis) Ozias (Ooziyaana) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (Ooziyaani) Ozias (Yo7aataama) begat (yeliis) Joatham (NULL) and (NULL) Joatham (NULL) begat (yeliis) Achaz (Akaaza) and (NULL) Achaz (Akaaza) begat (yeliis) Ezekias (Hizqqiyaasa) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (Hizqqiyaasi) Ezekias (Minaasa) begat (yeliis) Manasses (NULL) and (NULL) Manasses (NULL) begat (yeliis) Amon (NULL) and (NULL) Amon (NULL) begat (yeliis) Josias (Yoosiyaasa) 
b.MAT.1.11 And Josias begat Jechonias and his brethren about the time they were carried away to Babylon,b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (omoodettidi) begat (yeliis) Jechonias (Yo7aakiinanne) and (NULL) his (a) brethren (ishantta) about (NULL) the (NULL) time (wode) they (NULL) were (NULL) carried (Yoosiyaasi) away (NULL) to (NULL) Babylon (Baabiloone) 
b.MAT.1.12 And after they were brought to Babylon Jechonias begat Salathiel and Salathiel begat Zorobabel,b.MAT.1.12 (b.MAT.1.12) And (NULL) after (guyyiyan) they (Asai) were (biidoogaappe) brought (omoodetti) to (NULL) Babylon (Baabiloone) Jechonias (Yo7aakiini) begat (yeliis) Salathiel (Salaatiyaala) and (NULL) Salathiel (Salaatiyaala) begat (yeliis) Zorobabel (Zarubaabeela) 
b.MAT.1.13 And Zorobabel begat Abiud and Abiud begat Eliakim and Eliakim begat Azor,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zarubaabeeli) begat (NULL) Abiud (Abiyuuda) and (NULL) Abiud (Abiyuuda) begat (NULL) Eliakim (Abiyuudi) and (NULL) Eliakim (Abiyuudi) begat (NULL) Azor (Azoora) 
b.MAT.1.14 And Azor begat Sadoc and Sadoc begat Achim and Achim begat Eliud,b.MAT.1.14 (b.MAT.1.14) And (Azoori) Azor (Xaadooqa) begat (yeliis) Sadoc (NULL) and (NULL) Sadoc (NULL) begat (yeliis) Achim (NULL) and (NULL) Achim (NULL) begat (yeliis) Eliud (Eliyuuda) 
b.MAT.1.15 And Eliud begat Eleazar and Eleazar begat Matthan and Matthan begat Jacob,b.MAT.1.15 (b.MAT.1.15) And (Eliyuudi) Eliud (NULL) begat (yeliis) Eleazar (NULL) and (NULL) Eleazar (NULL) begat (yeliis) Matthan (Maataana) and (NULL) Matthan (Maataana) begat (yeliis) Jacob (Yaaqooba) 
