context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (cosaanu) of (NULL) Jesus (Yeesu) Christ (Kirist) the (NULL) son (sëtu) of (NULL) David (Daawuda) the (NULL) son (sëtu) of (NULL) Abraham (Ibraayma) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Ibraayma) begat (jur) Isaac (Isaaxa) and (NULL) Isaac (Isaaxa) begat (jur) Jacob (Yanqóoba) and (NULL) Jacob (Yanqóoba) begat (jur) Judas (Yuda) and (NULL) his (i) brethren (doomi) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yuda) begat (NULL) Phares (Fares) and (ak) Zara (Sara) of (ci) Thamar (Tamar) and (ak) Phares (Fares) begat (NULL) Esrom (Esrom) and (ak) Esrom (Esrom) begat (NULL) Aram (Aram) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (Aminadab) Aminadab (NULL) and (NULL) Aminadab (NULL) begat (Aminadab) Naasson (Naason) and (NULL) Naasson (Naason) begat (Aminadab) Salmon (Salmon) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmon) begat (jur) Booz (Bowas) of (ci) Rachab (Raxab) and (NULL) Booz (Bowas) begat (jur) Obed (Obedd) of (ci) Ruth (Ruut) and (NULL) Obed (Obedd) begat (jur) Jesse (Yese) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (NULL) begat (baayu) David (Daawuda) the (bi) king (buur) and (NULL) David (Daawuda) the (bi) king (buur) begat (baayu) Solomon (Suleymaan) of (ci) her (NULL) that (ki) had (NULL) been (NULL) the (bi) wife (jabari) of (ci) Urias (Uri) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Suleymaan) begat (jur) Roboam (Robowam) and (NULL) Roboam (Robowam) begat (jur) Abia (Abiya) and (NULL) Abia (Abiya) begat (jur) Asa (Asaf) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asaf) begat (NULL) Josaphat (Yosafat) and (NULL) Josaphat (Yosafat) begat (NULL) Joram (Yoram) and (NULL) Joram (Yoram) begat (NULL) Ozias (Osiyas) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Osiyas) begat (jur) Joatham (Yowatam) and (NULL) Joatham (Yowatam) begat (jur) Achaz (Akas) and (NULL) Achaz (Akas) begat (jur) Ezekias (Esekiyas) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Esekiyas) begat (NULL) Manasses (Manase) and (NULL) Manasses (Manase) begat (NULL) Amon (Amon) and (NULL) Amon (Amon) begat (NULL) Josias (Yosiyas) 
