context,targ
b.MAT.1.1 The book of the generation of Jesus Christ the son of David the son of Abraham,b.MAT.1.1 (b.MAT.1.1) The (Incwadi) book (NULL) of (NULL) the (NULL) generation (yokuzalwa) of (NULL) Jesus (kukaJesu) Christ (Kristu) the (NULL) son (indodana) of (NULL) David (kaDavide) the (NULL) son (indodana) of (NULL) Abraham (Abrahama) 
b.MAT.1.2 Abraham begat Isaac and Isaac begat Jacob and Jacob begat Judas and his brethren,b.MAT.1.2 (b.MAT.1.2) Abraham (Abrahama) begat (wazala) Isaac (Isaka) and (NULL) Isaac (Isaka) begat (wazala) Jacob (uJakobe) and (NULL) Jacob (uJakobe) begat (wazala) Judas (uJuda) and (NULL) his (NULL) brethren (nabafowabo) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar and Phares begat Esrom and Esrom begat Aram,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (uJuda) begat (wazala) Phares (oFaresi) and (NULL) Zara (noZara) of (NULL) Thamar (kuTamari) and (NULL) Phares (oFaresi) begat (wazala) Esrom (Esiromu) and (NULL) Esrom (Esiromu) begat (wazala) Aram (Aramu) 
b.MAT.1.4 And Aram begat Aminadab and Aminadab begat Naasson and Naasson begat Salmon,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aramu) begat (wazala) Aminadab (Aminadaba) and (NULL) Aminadab (Aminadaba) begat (wazala) Naasson (uNasoni) and (NULL) Naasson (uNasoni) begat (wazala) Salmon (uSalimoni) 
b.MAT.1.5 And Salmon begat Booz of Rachab and Booz begat Obed of Ruth and Obed begat Jesse,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (uSalimoni) begat (wazala) Booz (uBowasi) of (NULL) Rachab (kuRakhabi) and (NULL) Booz (uBowasi) begat (wazala) Obed (Obede) of (NULL) Ruth (kuRuthe) and (NULL) Obed (Obede) begat (wazala) Jesse (uJesayi) 
b.MAT.1.6 And Jesse begat David the king and David the king begat Solomon of her that had been the wife of Urias,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (uJesayi) begat (wazala) David (uDavide) the (NULL) king (inkosi) and (NULL) David (uDavide) the (NULL) king (inkosi) begat (wazala) Solomon (uSolomoni) of (NULL) her (kumka) that (NULL) had (NULL) been (NULL) the (NULL) wife (NULL) of (NULL) Urias (Uriya) 
b.MAT.1.7 And Solomon begat Roboam and Roboam begat Abia and Abia begat Asa,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (uSolomoni) begat (wazala) Roboam (uRobowamu) and (NULL) Roboam (uRobowamu) begat (wazala) Abia (Abiya) and (NULL) Abia (Abiya) begat (wazala) Asa (Asafa) 
b.MAT.1.8 And Asa begat Josaphat and Josaphat begat Joram and Joram begat Ozias,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asafa) begat (wazala) Josaphat (uJosafati) and (NULL) Josaphat (uJosafati) begat (wazala) Joram (uJoramu) and (NULL) Joram (uJoramu) begat (wazala) Ozias (Oziya) 
b.MAT.1.9 And Ozias begat Joatham and Joatham begat Achaz and Achaz begat Ezekias,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Oziya) begat (wazala) Joatham (uJothamu) and (NULL) Joatham (uJothamu) begat (wazala) Achaz (Akazi) and (NULL) Achaz (Akazi) begat (wazala) Ezekias (uHezekiya) 
b.MAT.1.10 And Ezekias begat Manasses and Manasses begat Amon and Amon begat Josias,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (uHezekiya) begat (wazala) Manasses (uManase) and (NULL) Manasses (uManase) begat (wazala) Amon (Amoni) and (NULL) Amon (Amoni) begat (wazala) Josias (uJosiya) 
