sent_id,context,eng,acu,afr,ake,alb,amh,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,gla,glv,got,grc,gre,guj,heb,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.GEN.2.4,"these are the generations of the heavens and of the earth when they were created , in the day that the lord god made the earth and the heavens ,",when,NA,toe,NA,kur,ጊዜ,NA,حين,երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,",",mikor,ketika,er,quando,NA,NULL,NA,NA,NA,때에,quando,NA,kai,NA,",",NA,toen,da,NA,lai,حین,fony,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,musi,kolkii,cuando,kad,NA,när,NA,nang,NULL,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.3.6,"and when the woman saw that the tree was good for food , and that it was pleasant to the eyes , and a tree to be desired to make one wise , she took of the fruit thereof , and did eat , and gave also unto her husband with her ; and he did eat .",when,NA,toe,NA,NULL,NULL,NA,NULL,NULL,NA,NA,като,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,tedy,NULL,und,NA,waato,NA,NULL,NULL,NA,ja,NULL,NA,NA,NA,NA,NA,ως,NA,NULL,जब,NULL,NULL,NULL,er,allora,NA,女がその木を見ると,NA,NA,NA,NULL,NULL,NA,kai,NA,",",NA,NULL,og,NA,",",چون,NULL,NULL,vendo,NA,NA,NA,NA,NA,NULL,NULL,NA,NULL,NULL,zvino,markii,entonces,NULL,NA,och,NA,nang,่,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.4.8,"and cain talked with abel his brother : and it came to pass , when they were in the field , that cain rose up against abel his brother , and slew him .",when,NA,toe,NA,kur,NULL,NA,اذ,երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,antan,když,NULL,da,NA,kaŋ,NA,kiam,kui,NA,menkäämme,comme,NA,NA,NA,NA,NA,ενω,NA,NULL,NULL,našavši,mikor,ketika,er,mentre,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,i,NA,toen,da,NA,lai,چون,nony,gdy,estando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,vakati,markii,estando,kad,NA,när,NA,nang,ื,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.4.12,"when thou tillest the ground , it shall not henceforth yield unto thee her strength ; a fugitive and a vagabond shalt thou be in the earth .",when,NA,as,NA,kur,ጊዜ,NA,متى,NULL,NA,NA,когато,NA,diha,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,når,wenn,NA,NULL,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,οταν,NA,NULL,NULL,NULL,mikor,jika,þegar,quando,NA,NULL,NA,NA,NA,NULL,cum,NA,kai,NA,ka,NA,NULL,når,NA,NULL,NULL,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,kana,kolkii,cuando,kad,NA,när,NA,NULL,เม,NULL,NULL,NA,NA,NA,NA,xenikweni,NA
b.GEN.5.2,"male and female created he them ; and blessed them , and called their name adam , in the day when they were created .",when,NA,toe,NA,që,ስማቸውንም,NA,NULL,երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,da,da,NA,kaŋ,NA,NULL,NULL,NA,kun,lorsqu,NA,NA,NA,NA,NA,ην,NA,NULL,NULL,kad,NULL,NULL,er,quando,NA,NULL,NA,NA,NA,창조되던,NULL,NA,kai,NA,NULL,NA,NULL,NULL,NA,un,NULL,NULL,",",em,NA,NA,NA,NA,NA,cînd,NULL,NA,ktorý,ko,NULL,NULL,que,kad,NA,när,NA,NULL,่,NA,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.6.1,"and it came to pass , when men began to multiply on the face of the earth , and daughters were born unto them ,",when,NA,toe,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,като,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,nu,da,NA,saaya,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,כי,जब,kad,NULL,setelah,er,quando,NA,NULL,NA,NA,NA,때에,cumque,NA,kai,NA,NULL,NA,NULL,da,NA,",",چون,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,vakati,markii,cuando,kad,NA,då,NA,nang,ื,ənayan,NULL,NA,NA,NA,NA,ukwanda,NA
b.GEN.6.4,"there were giants in the earth in those days ; and also after that , when the sons of god came in unto the daughters of men , and they bare children to them , the same became mighty men which were of old , men of renown .",when,NA,toe,NA,kur,ጊዜ,NA,اذ,երբ,NA,NA,като,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,d,NA,kiam,kui,NA,kun,NULL,NA,NA,NA,NA,NA,αφου,NA,NULL,जब,kad,mikor,NULL,er,quando,NA,地にネピリムがいた,NA,NA,NA,NULL,NULL,NA,kai,NA,haerenga,NA,NULL,da,NA,NULL,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,NULL,как,NA,keď,ko,kana,kolkii,cuando,kad,NA,sedan,NA,NULL,ื,NULL,NULL,NA,NA,NA,NA,xeshikweni,NA
b.GEN.7.6,and noah was six hundred years old when the flood of waters was upon the earth .,when,NA,toe,NA,kur,ጊዜ,NA,ولما,երբ,NA,NA,когато,NA,NULL,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,NULL,NULL,kad,mikor,ketika,þegar,quando,NA,NULL,NA,NA,NA,때에,quando,NA,kai,NA,putanga,NA,toen,da,NA,hongtun,چون,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,",",NA,keď,ko,panguva,markii,cuando,kad,NA,när,NA,nang,เม,as,koptuğunda,NA,NA,NA,NA,eminyaka,NA
b.GEN.9.14,"and it shall come to pass , when i bring a cloud over the earth , that the bow shall be seen in the cloud :",when,NA,as,NA,kur,ጊዜ,NA,متى,երբ,NA,NA,когато,NA,diha,NA,候,NA,NA,NA,NA,NA,NA,fwa,když,når,daß,NA,saaya,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,kad,mikor,jika,þegar,quando,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,wa,NA,als,når,NA,NULL,هنگامی,NULL,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,kana,markii,cuando,kad,NA,när,NA,pagka,ื,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.12.4,"so abram departed , as the lord had spoken unto him ; and lot went with him : and abram was seventy and five years old when he departed out of haran .",when,NA,by,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,когато,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,saaya,NA,kiam,kui,NA,NULL,lorsqu,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,mikor,ketika,er,quando,NA,NULL,NA,NA,NA,때에,cum,NA,kai,NA,i,NA,toen,da,NA,laiin,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,kwake,markuu,cuando,kad,NA,när,NA,nang,NULL,as,zaman,NA,NA,NA,NA,",",NA
b.GEN.12.11,"and it came to pass , when he was come near to enter into egypt , that he said unto sarai his wife , behold now , i know that thou art a fair woman to look upon :",when,NA,toe,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,когато,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,da,da,NA,waato,NA,kiam,kui,NA,kun,comme,NA,NA,NA,NA,NA,οτε,NA,כאשר,NULL,kad,mikor,waktu,er,quando,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,NULL,NA,NULL,da,NA,",",چون,rehefa,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,wakati,markii,cuando,kad,NA,när,NA,nang,่,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.12.12,"therefore it shall come to pass , when the egyptians shall see thee , that they shall say , this is his wife : and they will kill me , but they will save thee alive .",when,NA,as,NA,kur,ያዩሽ,NA,اذا,եւ,NA,NA,като,NA,kong,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,når,wenn,NA,NULL,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,καθως,NA,כי,जब,kad,mikor,kalau,þegar,quando,NA,NULL,NA,NA,NA,때에,cum,NA,pamatę,NA,kitenga,NA,NA,når,NA,NULL,چون,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,markii,NULL,kad,NA,när,NA,pag,่,as,‹,NA,NA,NA,NA,ke,NA
b.GEN.12.14,"and it came to pass , that , when abram was come into egypt , the egyptians beheld the woman that she was very fair .",when,NA,toe,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,като,NA,pagsulod,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,da,nun,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,כבוא,जब,kad,mikor,setelah,er,quando,NA,、,NA,NA,NA,때에,cum,NA,kai,NA,taenga,NA,zagen,da,NA,",",ورود,rehefa,gdy,entrando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,zvino,markii,cuando,kad,NA,nu,NA,nang,NULL,ənayan,NULL,NA,NA,NA,NA,akufika,NA
b.GEN.14.14,"and when abram heard that his brother was taken captive , he armed his trained servants , born in his own house , three hundred and eighteen , and pursued them unto dan .",when,NA,toe,NA,kur,ጊዜ,NA,فلما,երբ,NA,NA,като,NA,pagkadungog,NA,NULL,NA,NA,NA,NA,NA,NA,lè,NULL,da,nun,NA,waato,NA,kaj,kui,NA,kun,dès,NA,NA,NA,NA,NA,NULL,NA,NULL,NULL,kad,mint,ketika,er,quando,NA,NULL,NA,NA,NA,NULL,cum,NA,NULL,NA,",",NA,toen,nu,NA,huan,چون,raha,NULL,",",NA,NA,NA,NA,NA,cum,NULL,NA,keď,ko,wakati,markuu,cuando,kad,NA,nu,NA,NULL,เม,NULL,NULL,NA,NA,NA,NA,ke,NA
