context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (ainau) book (papinum) of (pachisar) the (ainau) generation (NULL) of (pachisar) jesus (jesucristo) christ (jesucristo) , (.) the (ainau) son (ayayi) of (pachisar) david (davidta) , (.) the (ainau) son (ayayi) of (pachisar) abraham (abrahama) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (yajutmarmiayi) isaac (isaacan) ; (.) and (tura) isaac (isaacan) begat (yajutmarmiayi) jacob (jacobon) ; (.) and (tura) jacob (jacobon) begat (yajutmarmiayi) judas (judán) and (tura) his (NULL) brethren (yachí) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (tura) judas (tamaran) begat (NULL) phares (judá) and (tura) zara (nuwatak) of (NULL) thamar (faresan) ; (NULL) and (tura) phares (judá) begat (NULL) esrom (zara) ; (NULL) and (tura) esrom (zara) begat (NULL) aram (esroman) ; (NULL) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (tura) aram (esrom) begat (yajutmarmiayi) aminadab (araman) ; (.) and (tura) aminadab (araman) begat (yajutmarmiayi) naasson (NULL) ; (.) and (tura) naasson (NULL) begat (yajutmarmiayi) salmon (salmónkan) ; (.) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (tura) salmon (salmón) begat (yajutmarmiayi) booz (rahaban) of (NULL) rachab (boozan) ; (.) and (tura) booz (rahaban) begat (yajutmarmiayi) obed (NULL) of (NULL) ruth (obedan) ; (.) and (tura) obed (NULL) begat (yajutmarmiayi) jesse (isaín) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (tura) jesse (isaí) begat (yajutmarmiayi) david (davidtan) the (NULL) king (apu) ; (.) and (tura) david (davidtan) the (NULL) king (apu) begat (yajutmarmiayi) solomon (salomónkan) of (.) her (ni) that (NULL) had (NULL) been (NULL) the (NULL) wife (nuwarin) of (.) urias (uríasa) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (tura) solomon (salomón) begat (yajutmarmiayi) roboam (roboaman) ; (.) and (tura) roboam (roboaman) begat (yajutmarmiayi) abia (abías) ; (.) and (tura) abia (abías) begat (yajutmarmiayi) asa (asan) ; (.) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (tura) asa (josafat) begat (yajutmarmiayi) josaphat (josafatan) ; (.) and (tura) josaphat (josafatan) begat (yajutmarmiayi) joram (joraman) ; (.) and (tura) joram (joraman) begat (yajutmarmiayi) ozias (oseasan) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (tura) ozias (oseas) begat (yajutmarmiayi) joatham (jotaman) ; (.) and (tura) joatham (jotaman) begat (yajutmarmiayi) achaz (acazan) ; (.) and (tura) achaz (acazan) begat (yajutmarmiayi) ezekias (ezequíasan) ; (.) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (tura) ezekias (ezequías) begat (yajutmarmiayi) manasses (manasésan) ; (.) and (tura) manasses (manasésan) begat (yajutmarmiayi) amon (amónkan) ; (.) and (tura) amon (amónkan) begat (yajutmarmiayi) josias (josíasan) ; (.) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (tura) josias (josías) begat (yajutmarmiayi) jechonias (jeconíasa) and (tura) his (NULL) brethren (yachí) , (.) about (jeconíasan) the (apuri) time (NULL) they (NULL) were (NULL) carried (NULL) away (NULL) to (NULL) babylon (babilonianam) : (NULL) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (tura) after (jeconías) they (NULL) were (NULL) brought (salatielan) to (NULL) babylon (NULL) , (NULL) jechonias (NULL) begat (yajutmarmiayi) salathiel (NULL) ; (.) and (tura) salathiel (NULL) begat (yajutmarmiayi) zorobabel (zorobabelan) ; (.) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (tura) zorobabel (zorobabel) begat (yajutmarmiayi) abiud (abiudan) ; (.) and (tura) abiud (abiudan) begat (yajutmarmiayi) eliakim (eliaquiman) ; (.) and (tura) eliakim (eliaquiman) begat (yajutmarmiayi) azor (azoran) ; (.) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (tura) azor (azor) begat (yajutmarmiayi) sadoc (sadócan) ; (.) and (tura) sadoc (sadócan) begat (yajutmarmiayi) achim (aquiman) ; (.) and (tura) achim (aquiman) begat (yajutmarmiayi) eliud (eliudan) ; (.) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (tura) eliud (eliud) begat (yajutmarmiayi) eleazar (eleazaran) ; (.) and (tura) eleazar (eleazaran) begat (yajutmarmiayi) matthan (matánan) ; (.) and (tura) matthan (matánan) begat (yajutmarmiayi) jacob (jacobon) ; (.) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (tura) jacob (jacob) begat (yajutmarmiayi) joseph (josén) the (NULL) husband (aishrin) of (.) mary (marí) , (NULL) of (.) whom (tura) was (.) born (NULL) jesus (jesúska) , (NULL) who (NULL) is (asamtai) called (inaikiamuitai) christ (mesías) . (NULL) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (NULL) all (mash) the (NULL) generations (nángkamas) from (.) abraham (davidnum) to (NULL) david (NULL) are (NULL) fourteen (catorce) generations (nángkamas) ; (.) and (tura) from (.) david (NULL) until (abrahamnumia) the (NULL) carrying (davidnumia) away (NULL) into (nuni) babylon (babilonianam) are (NULL) fourteen (catorce) generations (nángkamas) ; (.) and (tura) from (.) the (NULL) carrying (davidnumia) away (NULL) into (nuni) babylon (babilonianam) unto (NULL) christ (mesíasjai) are (NULL) fourteen (catorce) generations (nángkamas) . (NULL) 
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (akiinamiayi) of (.) jesus (NULL) christ (jesucristo) was (NULL) on (NULL) this (NULL) wise (nuwatkataj) : (NULL) when (NULL) as (,) his (jesúsa) mother (nukuri) mary (marín) was (NULL) espoused (japrukmiayi) to (NULL) joseph (josé) , (NULL) before (NULL) they (NULL) came (pujuinai) together (chichasar) , (NULL) she (NULL) was (NULL) found (NULL) with (kakarmarijai) child (NULL) of (.) the (NULL) holy (yuse) ghost (wakani) . (NULL) "
