context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (liburuä) of (NULL) the (NULL) generation (-) of (NULL) jesus (iesvs) christ (christ) , (NULL) the (NULL) son (semearen) of (NULL) david (dauid) , (NULL) the (NULL) son (semearen) of (NULL) abraham (abrahamen) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abrahamec) begat (engendra) isaac (isaac) ; (.) and (eta) isaac (isaac) begat (engendra) jacob (iacob) ; (.) and (eta) jacob (iacob) begat (engendra) judas (iuda) and (eta) his (haren) brethren (anayeac) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (eta) judas (iudac) begat (engendra) phares (phares) and (eta) zara (zara) of (NULL) thamar (thamarganic) ; (.) and (eta) phares (phares) begat (engendra) esrom (esrom) ; (.) and (eta) esrom (esrom) begat (engendra) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (eta) aram (aramec) begat (engendra) aminadab (aminadab) ; (.) and (eta) aminadab (aminadab) begat (engendra) naasson (naasson) ; (.) and (eta) naasson (naasson) begat (engendra) salmon (salmon) ; (.) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (eta) salmon (salmonec) begat (engendra) booz (booz) of (NULL) rachab (rachabganic) ; (.) and (eta) booz (booz) begat (engendra) obed (obed) of (NULL) ruth (ruthganic) ; (.) and (eta) obed (obed) begat (engendra) jesse (iesse) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (eta) jesse (iessec) begat (engendra) david (dauid) the (NULL) king (reguea) ; (.) and (eta) david (dauid) the (NULL) king (reguea) begat (engendra) solomon (salomon) of (NULL) her (ceçan) that (NULL) had (vriasen) been (NULL) the (NULL) wife (emazte) of (NULL) urias (içanaganic) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (eta) solomon (salomonec) begat (engendra) roboam (roboam) ; (.) and (eta) roboam (roboam) begat (engendra) abia (abia) ; (.) and (eta) abia (abia) begat (engendra) asa (asa) ; (.) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (eta) asa (asac) begat (engendra) josaphat (iosaphat) ; (.) and (eta) josaphat (iosaphat) begat (engendra) joram (ioram) ; (.) and (eta) joram (ioram) begat (engendra) ozias (ozias) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (eta) ozias (oziasec) begat (engendra) joatham (ioatham) ; (.) and (eta) joatham (ioatham) begat (engendra) achaz (achaz) ; (.) and (eta) achaz (achaz) begat (engendra) ezekias (ezechias) ; (.) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (eta) ezekias (ezechiasec) begat (engendra) manasses (manasse) ; (.) and (eta) manasses (manasse) begat (engendra) amon (amon) ; (.) and (eta) amon (amon) begat (engendra) josias (iosias) ; (.) 
