context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (̶) the (NULL) generation (NULL) of (̶) jesus (jesús) christ (cõar) , (,) the (NULL) son (jãnami) of (̶) david (david) , (,) the (NULL) son (jãnami) of (̶) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (ñamasiñuju) isaac (isaac) ; (.) and (̃) isaac (isaac) begat (ñamasiñuju) jacob (jacob) ; (.) and (̃) jacob (jacob) begat (ñamasiñuju) judas (NULL) and (̃) his (i) brethren (bederã) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (tamar) begat (NULL) phares (fares) and (NULL) zara (jaco) of (ñamasiñuju) thamar (zara) ; (.) and (NULL) phares (fares) begat (NULL) esrom (NULL) ; (.) and (NULL) esrom (NULL) begat (NULL) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (macu) aminadab (aminadab) ; (̶) and (NULL) aminadab (aminadab) begat (macu) naasson (naasón) ; (̶) and (NULL) naasson (naasón) begat (macu) salmon (salmón) ; (̶) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmón) begat (macu) booz (booz) of (̶) rachab (rahab) ; (.) and (NULL) booz (booz) begat (macu) obed (obed) of (̶) ruth (jaco) ; (.) and (NULL) obed (obed) begat (macu) jesse (isa) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isa) begat (macu) david (david) the (NULL) king (u) ; (.) and (NULL) david (david) the (NULL) king (u) begat (macu) solomon (salomón) of (̶) her (NULL) that (NULL) had (̃) been (NULL) the (NULL) wife (manajo) of (̶) urias (ur) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (macu) roboam (roboam) ; (̶) and (NULL) roboam (roboam) begat (macu) abia (ab) ; (̶) and (NULL) abia (ab) begat (macu) asa (asa) ; (̶) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (macu) josaphat (josafat) ; (.) and (NULL) josaphat (josafat) begat (macu) joram (joram) ; (.) and (NULL) joram (joram) begat (macu) ozias (uz) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uz) begat (macu) joatham (jotam) ; (̶) and (NULL) joatham (jotam) begat (macu) achaz (acaz) ; (̶) and (NULL) achaz (acaz) begat (macu) ezekias (ezequ) ; (̶) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequ) begat (macu) manasses (manasés) ; (̶) and (NULL) manasses (manasés) begat (macu) amon (amón) ; (̶) and (NULL) amon (amón) begat (macu) josias (jos) ; (̶) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (̶) josias (jos) begat (macu) jechonias (jecon) and (̶) his (i) brethren (bederã) , (NULL) about (̶) the (') time (bajiñariju) they (NULL) were (̃) carried (juamasiñujarã) away (i) to (nare) babylon (NULL) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (NULL) they (na) were (NULL) brought (NULL) to (NULL) babylon (NULL) , (NULL) jechonias (jecon) begat (macu) salathiel (salatiel) ; (̶) and (NULL) salathiel (salatiel) begat (macu) zorobabel (zorobabel) ; (̶) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zorobabel) begat (macu) abiud (abiud) ; (.) and (NULL) abiud (abiud) begat (macu) eliakim (eliaquim) ; (.) and (NULL) eliakim (eliaquim) begat (macu) azor (azor) ; (.) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azor) begat (macu) sadoc (sadoc) ; (.) and (NULL) sadoc (sadoc) begat (macu) achim (aquim) ; (.) and (NULL) achim (aquim) begat (macu) eliud (eliud) ; (.) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliud) begat (macu) eleazar (eleazar) ; (.) and (NULL) eleazar (eleazar) begat (macu) matthan (matán) ; (.) and (NULL) matthan (matán) begat (macu) jacob (jacob) ; (.) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jacob) begat (macu) joseph (josé) the (') husband (manaju) of (NULL) mary (mar) , (,) of (NULL) whom (̶) was (ñañuju) born (NULL) jesus (jesús) , (,) who (̃) is (mi) called (̶) christ (rotimu) . (NULL) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) so (̃) all (NULL) the (je) generations (omasiñujarã) from (̶) abraham (abraham) to (i) david (david) are (NULL) fourteen (babari) generations (omasiñujarã) ; (.) and (,) from (̶) david (david) until (ri) the (je) carrying (NULL) away (̶) into (̶) babylon (NULL) are (NULL) fourteen (babari) generations (omasiñujarã) ; (.) and (,) from (̶) the (je) carrying (NULL) away (̶) into (̶) babylon (NULL) unto (bajiro) christ (mani) are (NULL) fourteen (babari) generations (omasiñujarã) . (.) "
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (̶) the (NULL) birth (ñarocu) of (̶) jesus (jesús) christ (cõar) was (i) on (̶) this (i) wise (NULL) : (NULL) when (NULL) as (̃) his (i) mother (jaco) mary (mar) was (i) espoused (ñaroco) to (NULL) joseph (josé) , (NULL) before (joro) they (NULL) came (ejacõari) together (̃) , (NULL) she (so) was (i) found (i) with (rãca) child (macu) of (̶) the (NULL) holy (santo) ghost (esp) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (̃) joseph (josé) her (so) husband (manaju) , (.) being (NULL) a (̶) just (NULL) man (ñañuju) , (.) and (NULL) not (NULL) willing (aboayuju) to (,) make (̶) her (so) a (̶) publick (bojabesuju) example (NULL) , (.) was (i) minded (bojoneoro) to (,) put (̃) her (so) away (̶) privily (ajibeto) . (NULL) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (̃) while (NULL) he (i) thought (NULL) on (cãniatone) these (NULL) things (NULL) , (NULL) behold (̶) , (NULL) the (tu) angel (ángel) of (NULL) the (tu) lord (NULL) appeared (ruyuai) unto (gotiyuju) him (re) in (diore) a (̶) dream (cãjiriaroju) , (NULL) saying (—) , (NULL) joseph (josé) , (NULL) thou (NULL) son (jãnami) of (NULL) david (david) , (NULL) fear (güibesa) not (a) to (NULL) take (̶) unto (gotiyuju) thee (NULL) mary (mar) thy (NULL) wife (manajo) : (NULL) for (NULL) that (oi) which (̃) is (̶) conceived (sãñagõ) in (diore) her (sore) is (̶) of (NULL) the (tu) holy (santo) ghost (esp) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (̃) she (so) shall (̶) bring (̶) forth (NULL) a (̶) son (macu) , (NULL) and (̃) thou (mu) shalt (ja) call (ocomo) his (i) name (vãme) jesus (jesús) : (.) for (̃) he (i) shall (̶) save (yire) his (i) people (i) from (̶) their (na) sins (masiriose) . (NULL) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (̃) this (NULL) was (NULL) done (NULL) , (NULL) that (NULL) it (NULL) might (“) be (NULL) fulfilled (bajiru) which (̶) was (NULL) spoken (bajiro) of (NULL) the (diore) lord (NULL) by (yimasire) the (diore) prophet (tobosamasir) , (NULL) saying (ado) , (NULL) "
"b.MAT.1.23 behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name emmanuel , which being interpreted is , god with us .","b.MAT.1.23 (b.MAT.1.23) behold (NULL) , (,) a (̶) virgin (ñabeco) shall (̶) be (ñaru) with (rãca) child (macu) , (,) and (NULL) shall (̶) bring (̶) forth (NULL) a (̶) son (̶) , (,) and (NULL) they (NULL) shall (̶) call (ocomo) his (i) name (re) emmanuel (emanuel) , (,) which (yire) being (NULL) interpreted (() is (ñaja) , (,) god (NULL) with (rãca) us (mani) . (.) "
"b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) then (̃) joseph (josé) being (NULL) raised (NULL) from (̶) sleep (sãñaamo) did (NULL) as (i) the (') angel (ángel) of (yire) the (') lord (NULL) had (NULL) bidden (ãmicoasuju) him (̃) , (.) and (,) took (NULL) unto (yiyuju) him (̃) his (ya) wife (so) : (.) "
"b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king , behold , there came wise men from the east to jerusalem ,","b.MAT.2.1 (b.MAT.2.1) now (̶) when (bero) jesus (jesús) was (ti) born (NULL) in (NULL) bethlehem (belén) of (vãme) judaea (judea) in (NULL) the (NULL) days (̶) of (vãme) herod (herodes) the (NULL) king (u) , (,) behold (ruyuayuju) , (,) there (ñañuju) came (ejayujarã) wise (ruyuarirodore) men (̃) from (NULL) the (NULL) east (jiadoju) to (macaju) jerusalem (jerusalén) , (,) "
"b.MAT.2.2 saying , where is he that is born king of the jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) saying (—) , (se) where (̶) is (NULL) he (NULL) that (”) is (NULL) born (ruyuar) king (u) of (NULL) the (masa) jews (jud) ? (¿) for (̃) we (yiyujarã) have (̶) seen (i) his (i) star (ñocore) in (NULL) the (masa) east (jiadoju) , (se) and (̃) are (NULL) come (̶) to (NULL) worship (ru) him (i) . (.) "
"b.MAT.2.3 when herod the king had heard these things , he was troubled , and all jerusalem with him .","b.MAT.2.3 (b.MAT.2.3) when (̃) herod (herodes) the (ti) king (u) had (̃) heard (NULL) these (̶) things (̶) , (,) he (i) was (NULL) troubled (agüiyuju) , (,) and (bu) all (NULL) jerusalem (jerusalén) with (̃) him (re) . (.) "
"b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together , he demanded of them where christ should be born .","b.MAT.2.4 (b.MAT.2.4) and (,) when (̃) he (ma) had (añuju) gathered (jire) all (̃) the (u) chief (jarãre) priests (paia) and (,) scribes (gotimasiorimasare) of (̶) the (u) people (na) together (̃) , (se) he (ma) demanded (cõarocu) of (̶) them (̃) where (noju) christ (rotimu) should (̶) be (̶) born (NULL) . (.) "
