context,targ
"b.PSA.1.1 blessed is the man that walketh not in the counsel of the ungodly , nor standeth in the way of sinners , nor sitteth in the seat of the scornful .","b.PSA.1.1 (b.PSA.1.1) blessed (dichoso) is (NULL) the (y) man (taotao) that (ni) walketh (mamomocat) not (ti) in (gui) the (y) counsel (pinagat) of (NULL) the (y) ungodly (manaelaye) , (,) nor (ni) standeth (sumasaga) in (gui) the (y) way (chalan) of (NULL) sinners (manisao) , (,) nor (ni) sitteth (matatachong) in (gui) the (y) seat (siyan) of (NULL) the (y) scornful (manmanmofefea) . (.) "
b.PSA.1.2 but his delight is in the law of the lord ; and in his law doth he meditate day and night .,"b.PSA.1.2 (b.PSA.1.2) but (lao) his (NULL) delight (NULL) is (NULL) in (guiya) the (NULL) law (lay) of (NULL) the (NULL) lord (jeova) ; (,) and (ya) in (guiya) his (NULL) law (lay) doth (NULL) he (NULL) meditate (layña) day (jaane) and (ya) night (puenge) . (.) "
"b.PSA.1.3 and he shall be like a tree planted by the rivers of water , that bringeth forth his fruit in his season ; his leaf also shall not wither ; and whatsoever he doeth shall prosper .","b.PSA.1.3 (b.PSA.1.3) and (ya) he (NULL) shall (NULL) be (NULL) like (taegüijeja) a (y) tree (trongcon) planted (matanme) by (oriyan) the (NULL) rivers (sadog) of (NULL) water (NULL) , (,) that (NULL) bringeth (guaja) forth (ni) his (y) fruit (tinegchaña) in (gui) his (y) season (tiempoña) ; (,) his (y) leaf (jagonña) also (NULL) shall (NULL) not (ti) wither (umalayo) ; (,) and (ya) whatsoever (todo) he (NULL) doeth (finatinasña) shall (NULL) prosper (mumemegae) . (.) "
b.PSA.1.4 the ungodly are not so : but are like the chaff which the wind driveth away .,b.PSA.1.4 (b.PSA.1.4) the (y) ungodly (manaelaye) are (NULL) not (ti) so (taegüine) : (;) but (lao) are (NULL) like (parejo) the (y) chaff (paja) which (y) the (y) wind (manglo) driveth (güinaefe) away (NULL) . (.) 
"b.PSA.1.5 therefore the ungodly shall not stand in the judgment , nor sinners in the congregation of the righteous .","b.PSA.1.5 (b.PSA.1.5) therefore (enao) the (y) ungodly (manaelaye) shall (NULL) not (ti) stand (mangajujulo) in (gui) the (y) judgment (sentensia) , (;) nor (ni) sinners (manisao) in (gui) the (y) congregation (inetnon) of (NULL) the (y) righteous (manunas) . (.) "
b.PSA.1.6 for the lord knoweth the way of the righteous : but the way of the ungodly shall perish .,b.PSA.1.6 (b.PSA.1.6) for (sa) the (si) lord (jeova) knoweth (jatungo) the (si) way (chalan) of (NULL) the (si) righteous (manunas) : (:) but (lao) the (si) way (chalan) of (NULL) the (si) ungodly (manaelaye) shall (NULL) perish (ufanmalingo) . (.) 
"b.PSA.2.1 why do the heathen rage , and the people imagine a vain thing ?","b.PSA.2.1 (b.PSA.2.1) why (jafa) do (NULL) the (y) heathen (nasion) rage (manlalalo) , (,) and (ya) the (y) people (taotao) imagine (manmanjaso) a (y) vain (banida) thing (NULL) ? (?) "
"b.PSA.2.2 the kings of the earth set themselves , and the rulers take counsel together , against the lord , and against his anointed , saying ,","b.PSA.2.2 (b.PSA.2.2) the (y) kings (ray) of (NULL) the (y) earth (tano) set (gui) themselves (sija) , (,) and (ya) the (y) rulers (prinsipe) take (NULL) counsel (manafaesen) together (NULL) , (,) against (contra) the (y) lord (jeova) , (,) and (ya) against (contra) his (y) anointed (pinalaeña) , (,) saying (ilegñija) , (,) "
"b.PSA.2.3 let us break their bands asunder , and cast away their cords from us .","b.PSA.2.3 (b.PSA.2.3) let (NULL) us (nita) break (yulang) their (y) bands (NULL) asunder (guinideña) , (,) and (ya) cast (NULL) away (nasuja) their (y) cords (godeña) from (guiya) us (nita) . (.) "
b.PSA.2.4 he that sitteth in the heavens shall laugh : the lord shall have them in derision .,b.PSA.2.4 (b.PSA.2.4) he (ya) that (y) sitteth (sumasaga) in (gui) the (NULL) heavens (langet) shall (NULL) laugh (uchumachaleg) : (:) the (NULL) lord (señot) shall (NULL) have (NULL) them (sija) in (gui) derision (jamofefea) . (.) 
"b.PSA.2.5 then shall he speak unto them in his wrath , and vex them in his sore displeasure .","b.PSA.2.5 (b.PSA.2.5) then (ayo) shall (nae) he (NULL) speak (cumuentos) unto (yan) them (sija) in (yan) his (y) wrath (linalaloña) , (:) and (ya) vex (binibuña) them (sija) in (yan) his (y) sore (NULL) displeasure (ninafañatsaga) . (.) "
b.PSA.2.6 yet have i set my king upon my holy hill of zion .,b.PSA.2.6 (b.PSA.2.6) yet (lao) have (NULL) i (guajo) set (japolo) my (y) king (rayjo) upon (jilo) my (y) holy (santos) hill (egsojo) of (NULL) zion (sion) . (.) 
