context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (˜) book (NULL) of (NULL) the (˜) generation (NULL) of (NULL) jesus (̱) christ (jmáangˉ) , (ˈ) the (˜) son (sɨju) of (NULL) david (davíˈˆ) , (ˈ) the (˜) son (sɨju) of (NULL) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (calɨsíˋ) isaac (isáaˊ) ; (̱) and (jo) isaac (isáaˊ) begat (calɨsíˋ) jacob (jacóoˆ) ; (̱) and (jo) jacob (jacóoˆ) begat (calɨsíˋ) judas (NULL) and (jo) his (rúiñˈˋ) brethren (NULL) ; (̱) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (̱) judas (NULL) begat (calɨsíˋ) phares (fares) and (̱) zara (zara) of (NULL) thamar (tamar) ; (.) and (̱) phares (fares) begat (calɨsíˋ) esrom (esrom) ; (.) and (̱) esrom (esrom) begat (calɨsíˋ) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (̱) aram (aram) begat (calɨsíˋ) aminadab (aminadab) ; (NULL) and (̱) aminadab (aminadab) begat (calɨsíˋ) naasson (naasón) ; (NULL) and (̱) naasson (naasón) begat (calɨsíˋ) salmon (salmón) ; (NULL) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (guɨ) salmon (salmón) begat (calɨsíˋ) booz (booz) of (NULL) rachab (rahab) ; (.) and (guɨ) booz (booz) begat (calɨsíˋ) obed (obed) of (NULL) ruth (rut) ; (.) and (guɨ) obed (obed) begat (calɨsíˋ) jesse (isaí) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (guɨ) jesse (isaí) begat (calɨsíˋ) david (davíˈˆ) the (NULL) king (NULL) ; (̱) and (guɨ) david (davíˈˆ) the (NULL) king (NULL) begat (calɨsíˋ) solomon (salomón) of (˜) her (dseamɨ) that (i) had (ngˉ) been (NULL) the (NULL) wife (ˋ) of (˜) urias (urías) ; (̱) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (̱) solomon (salomón) begat (calɨsíˋ) roboam (roboam) ; (NULL) and (̱) roboam (roboam) begat (calɨsíˋ) abia (abías) ; (NULL) and (̱) abia (abías) begat (calɨsíˋ) asa (asa) ; (NULL) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (̱) asa (asa) begat (calɨsíˋ) josaphat (josafat) ; (NULL) and (̱) josaphat (josafat) begat (calɨsíˋ) joram (joram) ; (NULL) and (̱) joram (joram) begat (calɨsíˋ) ozias (uzías) ; (NULL) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (̱) ozias (uzías) begat (calɨsíˋ) joatham (jotam) ; (NULL) and (̱) joatham (jotam) begat (calɨsíˋ) achaz (acaz) ; (NULL) and (̱) achaz (acaz) begat (calɨsíˋ) ezekias (ezequías) ; (NULL) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (̱) ezekias (ezequías) begat (calɨsíˋ) manasses (manasés) ; (NULL) and (̱) manasses (manasés) begat (calɨsíˋ) amon (amón) ; (NULL) and (̱) amon (amón) begat (calɨsíˋ) josias (josías) ; (NULL) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (̱) josias (josías) begat (calɨsíˋ) jechonias (jeconías) and (̱) his (rúiñˈˋ) brethren (NULL) , (ˈ) about (NULL) the (ɨngˊ) time (ie) they (i) were (NULL) carried (ˈñúuiñˈ) away (catǿˉ) to (˜) babylon (babilonia) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (̱) after (mɨ) they (cangɨ) were (NULL) brought (NULL) to (NULL) babylon (NULL) , (,) jechonias (jeconías) begat (calɨsíˋ) salathiel (salatiel) ; (̱) and (̱) salathiel (salatiel) begat (calɨsíˋ) zorobabel (zorobabel) ; (̱) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (̱) zorobabel (zorobabel) begat (calɨsíˋ) abiud (abiud) ; (NULL) and (̱) abiud (abiud) begat (calɨsíˋ) eliakim (eliaquim) ; (NULL) and (̱) eliakim (eliaquim) begat (calɨsíˋ) azor (azor) ; (NULL) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (̱) azor (azor) begat (calɨsíˋ) sadoc (sadoc) ; (NULL) and (̱) sadoc (sadoc) begat (calɨsíˋ) achim (aquim) ; (NULL) and (̱) achim (aquim) begat (calɨsíˋ) eliud (eliud) ; (NULL) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (̱) eliud (eliud) begat (calɨsíˋ) eleazar (eleazar) ; (NULL) and (̱) eleazar (eleazar) begat (calɨsíˋ) matthan (matán) ; (NULL) and (̱) matthan (matán) begat (calɨsíˋ) jacob (jacóoˆ) ; (NULL) 
