context,targ
"b.MAT.5.24 leave there thy gift before the altar , and go thy way ; first be reconciled to thy brother , and then come and offer thy gift .","b.MAT.5.24 (b.MAT.5.24) leave (остави) there (тоу) thy (твои) gift (даръ) before (прѣдъ) the (NULL) altar (олътаремъ) , (NULL) and (ꙇ) go (шедъ) thy (твои) way (NULL) ; (NULL) first (прѣжде) be (сѧ) reconciled (съмири) to (NULL) thy (твои) brother (братромъ) , (NULL) and (ꙇ) then (тогда) come (пришедъ) and (ꙇ) offer (принеси) thy (твои) gift (даръ) . (NULL) "
"b.MAT.5.25 agree with thine adversary quickly , whiles thou art in the way with him ; lest at any time the adversary deliver thee to the judge , and the judge deliver thee to the officer , and thou be cast into prison .","b.MAT.5.25 (b.MAT.5.25) agree (бѫди) with (съ) thine (NULL) adversary (NULL) quickly (скоро) , (NULL) whiles (доньдеже) thou (NULL) art (еси) in (на) the (NULL) way (пѫти) with (съ) him (нимь) ; (NULL) lest (да) at (NULL) any (не) time (NULL) the (NULL) adversary (NULL) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) judge (сѫдии) , (NULL) and (ꙇ) the (NULL) judge (сѫдии) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) officer (слоуѕѣ) , (NULL) and (ꙇ) thou (NULL) be (NULL) cast (въвръжетъ) into (въ) prison (темьницѫ) . (NULL) "
"b.MAT.5.26 verily i say unto thee , thou shalt by no means come out thence , till thou hast paid the uttermost farthing .","b.MAT.5.26 (b.MAT.5.26) verily (аминь) i (NULL) say (лѭ) unto (҃) thee (тебѣ) , (NULL) thou (NULL) shalt (въздаси) by (NULL) no (не) means (изидеши) come (NULL) out (отъ) thence (тѫдѣ) , (NULL) till (доньдеже) thou (NULL) hast (NULL) paid (NULL) the (NULL) uttermost (NULL) farthing (кодрантъ) . (NULL) "
"b.MAT.5.27 ye have heard that it was said by them of old time , thou shalt not commit adultery :","b.MAT.5.27 (b.MAT.5.27) ye (NULL) have (NULL) heard (слꙑшасте) that (ѣко) it (бꙑ) was (NULL) said (NULL) by (NULL) them (NULL) of (҇) old (древънимъ) time (NULL) , (NULL) thou (NULL) shalt (сътвориши) not (не) commit (NULL) adultery (прѣлюбꙑ) : (NULL) "
"b.MAT.5.28 but i say unto you , that whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart .","b.MAT.5.28 (b.MAT.5.28) but (же) i (азъ) say (лѭ) unto (҃) you (вамъ) , (NULL) that (ѣко) whosoever (вьсѣкъ) looketh (вьзьритъ) on (на) a (NULL) woman (женѫ) to (NULL) lust (NULL) after (NULL) her (NULL) hath (сътвори) committed (любꙑ) adultery (похотиѭ) with (съ) her (NULL) already (юже) in (въ) his (своемь) heart (рдци) . (NULL) "
"b.MAT.5.29 and if thy right eye offend thee , pluck it out , and cast it from thee : for it is profitable for thee that one of thy members should perish , and not that thy whole body should be cast into hell .","b.MAT.5.29 (b.MAT.5.29) and (же) if (аще) thy (твое) right (десное) eye (око) offend (съблажнаатъ) thee (тѧ) , (NULL) pluck (ꙇзьми) it (е) out (NULL) , (NULL) and (же) cast (връзи) it (е) from (отъ) thee (тѧ) : (NULL) for (бо) it (е) is (естъ) profitable (оунѣе) for (бо) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твое) members (оудъ) should (да) perish (погꙑблетъ) , (NULL) and (же) not (не) that (NULL) thy (твое) whole (вьсе) body (тѣло) should (да) be (бѫдетъ) cast (връзи) into (въ) hell (ꙉеонѫ) . (NULL) "
"b.MAT.5.30 and if thy right hand offend thee , cut if off , and cast it from thee : for it is profitable for thee that one of thy members should perish , and not that thy whole body should be cast into hell .","b.MAT.5.30 (b.MAT.5.30) and (ꙇ) if (аште) thy (твоѣ) right (десна) hand (рѫка) offend (съблажнаатъ) thee (тѧ) , (NULL) cut (оусѣци) if (аште) off (ѭ) , (NULL) and (ꙇ) cast (връзи) it (NULL) from (отъ) thee (тѧ) : (NULL) for (бо) it (NULL) is (естъ) profitable (оунѣе) for (бо) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твоѣ) members (оудъ) should (да) perish (погꙑблетъ) , (NULL) and (ꙇ) not (не) that (NULL) thy (твоѣ) whole (вьсе) body (тѣло) should (да) be (NULL) cast (връзи) into (въ) hell (ꙉеонѫ) . (NULL) "
"b.MAT.5.31 it hath been said , whosoever shall put away his wife , let him give her a writing of divorcement :","b.MAT.5.31 (b.MAT.5.31) it (бꙑстъ) hath (NULL) been (речено) said (NULL) , (NULL) whosoever (ꙇже) shall (аште) put (поуститъ) away (NULL) his (своѭ) wife (женѫ) , (NULL) let (да) him (NULL) give (дастъ) her (еи) a (NULL) writing (кънигꙑ) of (NULL) divorcement (распоустънꙑѩ) : (NULL) "
"b.MAT.5.32 but i say unto you , that whosoever shall put away his wife , saving for the cause of fornication , causeth her to commit adultery : and whosoever shall marry her that is divorced committeth adultery .","b.MAT.5.32 (b.MAT.5.32) but (же) i (азъ) say (лѭ) unto (҃) you (вамъ) , (NULL) that (ѣко) whosoever (вьсѣкъ) shall (NULL) put (поуштаѩи) away (NULL) his (своѭ) wife (женѫ) , (NULL) saving (развѣ) for (NULL) the (NULL) cause (NULL) of (NULL) fornication (словесе) , (NULL) causeth (любодѣинааго) her (ѭ) to (NULL) commit (дѣати) adultery (прѣлюбꙑ) : (NULL) and (ꙇ) whosoever (вьсѣкъ) shall (NULL) marry (подъпѣгѫ) her (ѭ) that (ѣко) is (NULL) divorced (поемлетъ) committeth (прѣлюбꙑ) adultery (прѣлюбꙑ) . (NULL) "
"b.MAT.5.33 again , ye have heard that it hath been said by them of old time , thou shalt not forswear thyself , but shalt perform unto the lord thine oaths :","b.MAT.5.33 (b.MAT.5.33) again (пакꙑ) , (NULL) ye (NULL) have (NULL) heard (слꙑшасте) that (ѣко) it (бꙑ) hath (ⷭ) been (речено) said (NULL) by (NULL) them (древьниимъ) of (҇) old (NULL) time (NULL) , (NULL) thou (NULL) shalt (NULL) not (не) forswear (NULL) thyself (клънеши) , (NULL) but (же) shalt (NULL) perform (въздаси) unto (҃) the (NULL) lord (ви) thine (твоѩ) oaths (клѧтвꙑ) : (NULL) "
