context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (äyëí) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (jesucristo) christ (NULL) , (,) the (NULL) son (yäbei) of (NULL) david (david) , (,) the (NULL) son (yäbei) of (NULL) abraham (abraham) . (NULL) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (wätsikiwa) isaac (isaac) ; (,) and (te) isaac (isaac) begat (wätsikiwa) jacob (jacob) ; (,) and (te) jacob (jacob) begat (wätsikiwa) judas (NULL) and (te) his (NULL) brethren (iel) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (NULL) begat (wätsikiwa) phares (fares) and (NULL) zara (da) of (̱) thamar (zara) ; (.) and (NULL) phares (fares) begat (wätsikiwa) esrom (esrom) ; (.) and (NULL) esrom (esrom) begat (wätsikiwa) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (wätsikiwa) aminadab (aminadab) ; (,) and (NULL) aminadab (aminadab) begat (wätsikiwa) naasson (naasón) ; (,) and (NULL) naasson (naasón) begat (wätsikiwa) salmon (salmón) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (te) salmon (salmón) begat (wätsikiwa) booz (booz) of (NULL) rachab (rahab) ; (.) and (te) booz (booz) begat (wätsikiwa) obed (obed) of (NULL) ruth (rut) ; (.) and (te) obed (obed) begat (wätsikiwa) jesse (isaí) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaí) begat (wätsikiwa) david (david) the (NULL) king (tsa) ; (.) and (NULL) david (david) the (NULL) king (tsa) begat (wätsikiwa) solomon (salomón) of (̱) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (alaklä) of (̱) urias (urías) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (te) solomon (salomón) begat (wätsikiwa) roboam (roboam) ; (,) and (te) roboam (roboam) begat (wätsikiwa) abia (abías) ; (,) and (te) abia (abías) begat (wätsikiwa) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (te) asa (asa) begat (wätsikiwa) josaphat (josafat) ; (,) and (te) josaphat (josafat) begat (wätsikiwa) joram (joram) ; (,) and (te) joram (joram) begat (wätsikiwa) ozias (uzías) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (te) ozias (uzías) begat (wätsikiwa) joatham (jotam) ; (,) and (te) joatham (jotam) begat (wätsikiwa) achaz (acaz) ; (,) and (te) achaz (acaz) begat (wätsikiwa) ezekias (ezequías) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (te) ezekias (ezequías) begat (wätsikiwa) manasses (manasés) ; (,) and (te) manasses (manasés) begat (wätsikiwa) amon (amón) ; (,) and (te) amon (amón) begat (wätsikiwa) josias (josías) ; (,) "
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (te) josias (josías) begat (wätsikiwa) jechonias (jeconías) and (te) his (NULL) brethren (iel) , (,) about (NULL) the (wa) time (ke) they (NULL) were (NULL) carried (jalemi) away (NULL) to (̱) babylon (babilonia) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (ukä) they (NULL) were (NULL) brought (NULL) to (ska) babylon (babilonia) , (te) jechonias (jeconías) begat (wätsikiwa) salathiel (salatiel) ; (.) and (NULL) salathiel (salatiel) begat (wätsikiwa) zorobabel (zorobabel) ; (.) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,"b.MAT.1.13 (b.MAT.1.13) and (te) zorobabel (zorobabel) begat (wätsikiwa) abiud (abiud) ; (,) and (te) abiud (abiud) begat (wätsikiwa) eliakim (eliaquim) ; (,) and (te) eliakim (eliaquim) begat (wätsikiwa) azor (azor) ; (,) "
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,"b.MAT.1.14 (b.MAT.1.14) and (te) azor (azor) begat (wätsikiwa) sadoc (sadoc) ; (,) and (te) sadoc (sadoc) begat (wätsikiwa) achim (aquim) ; (,) and (te) achim (aquim) begat (wätsikiwa) eliud (eliud) ; (,) "
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,"b.MAT.1.15 (b.MAT.1.15) and (te) eliud (eliud) begat (wätsikiwa) eleazar (eleazar) ; (,) and (te) eleazar (eleazar) begat (wätsikiwa) matthan (matán) ; (,) and (te) matthan (matán) begat (wätsikiwa) jacob (jacob) ; (,) "
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (te) jacob (jacob) begat (wätsikiwa) joseph (josé) the (NULL) husband (naklä) of (NULL) mary (maría) , (,) of (NULL) whom (ne) was (NULL) born (NULL) jesus (jesús) , (,) who (̱) is (rä) called (kinak) christ (säbäkäkksa) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (jekäi) all (NULL) the (i) generations (wätsikinaté) from (ska) abraham (abraham) to (ska) david (david) are (̱) fourteen (catorce) generations (wätsikinaté) ; (.) and (NULL) from (ska) david (david) until (kje) the (i) carrying (NULL) away (NULL) into (NULL) babylon (NULL) are (̱) fourteen (catorce) generations (wätsikinaté) ; (.) and (NULL) from (ska) the (i) carrying (NULL) away (NULL) into (NULL) babylon (NULL) unto (NULL) christ (säbäkäkksa) are (̱) fourteen (catorce) generations (wätsikinaté) . (.) 
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (ata) the (NULL) birth (:) of (le) jesus (jesucristo) christ (NULL) was (ko) on (jula) this (jikäi) wise (NULL) : (.) when (ra) as (̱) his (̱) mother (mi) mary (maría) was (ko) espoused (kablele) to (NULL) joseph (josé) , (NULL) before (̱) they (ijewa) came (NULL) together (̱) , (NULL) she (NULL) was (ko) found (ibitewa) with (̱) child (yaba) of (le) the (NULL) holy (sikina) ghost (wikblu) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (josé) her (ije) husband (naklä) , (r) being (NULL) a (NULL) just (wämo) man (NULL) , (r) and (NULL) not (ka) willing (iäinewa) to (NULL) make (̱) her (ije) a (NULL) publick (wäna) example (NULL) , (r) was (NULL) minded (ijaklewa) to (NULL) put (̱) her (ije) away (NULL) privily (ñelewa) . (.) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (NULL) while (ra) he (ije) thought (NULL) on (NULL) these (je) things (ji) , (,) behold (abä) , (,) the (NULL) angel (ángel) of (NULL) the (NULL) lord (säkekewa) appeared (kjasha) unto (NULL) him (iia) in (̱) a (ekla) dream (kausu) , (,) saying (isha) , (,) joseph (josé) , (,) thou (NULL) son (yäbei) of (NULL) david (david) , (,) fear (suana) not (ke) to (NULL) take (kukäkwa) unto (NULL) thee (ba) mary (maría) thy (ma) wife (naklä) : (,) for (ki) that (̱) which (yaba) is (NULL) conceived (bitewa) in (̱) her (ije) is (NULL) of (NULL) the (NULL) holy (sikina) ghost (wikblu) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (te) she (ije) shall (NULL) bring (emi) forth (NULL) a (NULL) son (yaba) , (,) and (te) thou (ba) shalt (NULL) call (kiemi) his (̱) name (NULL) jesus (jesús) : (.) for (jiye) he (ite) shall (NULL) save (tkemiksa) his (̱) people (cha) from (yika) their (NULL) sins (NULL) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (biköle) this (je) was (NULL) done (o) , (NULL) that (̱) it (io) might (naklä) be (NULL) fulfilled (jishtä) which (NULL) was (NULL) spoken (NULL) of (̱) the (wa) lord (säkekewa) by (ja) the (wa) prophet (shäk) , (NULL) saying (NULL) , (NULL) "
"b.MAT.1.23 behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name emmanuel , which being interpreted is , god with us .","b.MAT.1.23 (b.MAT.1.23) behold (issö) , (NULL) a (NULL) virgin (busi) shall (NULL) be (NULL) with (̱) child (yaba) , (NULL) and (NULL) shall (NULL) bring (bitämiwa) forth (NULL) a (NULL) son (yaba) , (NULL) and (NULL) they (NULL) shall (NULL) call (ni) his (NULL) name (NULL) emmanuel (emanuel) , (NULL) which (je) being (”) interpreted (() is (kaldu) , (NULL) god (säkeklä) with (̱) us (sa) . (.) "
"b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) then (ñerä) joseph (josé) being (NULL) raised (shki) from (̱) sleep (NULL) did (iwá) as (jishtä) the (naka) angel (ángel) of (NULL) the (naka) lord (säkekewa) had (ipaka) bidden (NULL) him (NULL) , (.) and (jekäi) took (ikukawa) unto (̱) him (NULL) his (iwa) wife (naklä) : (.) "
b.MAT.1.25 and knew her not till she had brought forth her firstborn son : and he called his name jesus .,"b.MAT.1.25 (b.MAT.1.25) and (ata) knew (NULL) her (NULL) not (ka) till (kje) she (NULL) had (NULL) brought (NULL) forth (NULL) her (NULL) firstborn (idenewa) son (yaba) : (,) and (ata) he (ite) called (kia) his (ije) name (NULL) jesus (jesús) . (.) "
"b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king , behold , there came wise men from the east to jerusalem ,","b.MAT.2.1 (b.MAT.2.1) now (NULL) when (NULL) jesus (jesús) was (NULL) born (ko) in (na) bethlehem (belén) of (̱) judaea (judea) in (na) the (i) days (ke) of (̱) herod (herodes) the (i) king (tsa) , (.) behold (ñerä) , (.) there (̱) came (dejulu) wise (chakäk) men (NULL) from (dar) the (i) east (däkläka) to (ska) jerusalem (jerusalén) , (.) "
"b.MAT.2.2 saying , where is he that is born king of the jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) saying (:) , (—) where (mai) is (¿) he (NULL) that (̱) is (¿) born (ko) king (tsa) of (wa) the (i) jews (judío) ? (?) for (iwa) we (sá) have (te) seen (su) his (NULL) star (ibekwäí) in (wà) the (i) east (däkläka) , (—) and (NULL) are (NULL) come (NULL) to (NULL) worship (tsäk) him (̱) . (.) "
