context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (ivajiropee) of (NULL) the (NULL) generation (icharinepeeni) of (NULL) jesus (NULL) christ (jesoquirishito) , (.) the (NULL) son (NULL) of (NULL) david (iravirini) , (.) the (NULL) son (NULL) of (NULL) abraham (avaramani) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (avarama) begat (iri) isaac (isaca) ; (.) and (NULL) isaac (isaca) begat (iri) jacob (jacovo) ; (.) and (NULL) jacob (jacovo) begat (iri) judas (jora) and (NULL) his (NULL) brethren (irirentipee) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (jora) begat (iri) phares (jareshi) and (NULL) zara (NULL) of (NULL) thamar (iro) ; (.) and (NULL) phares (jareshi) begat (iri) esrom (tamara) ; (.) and (NULL) esrom (tamara) begat (iri) aram (arama) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (arama) begat (iri) aminadab (aminarava) ; (.) and (NULL) aminadab (aminarava) begat (iri) naasson (naso) ; (.) and (NULL) naasson (naso) begat (iri) salmon (saramo) ; (.) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (saramo) begat (iri) booz (voso) of (NULL) rachab (arava) ; (.) and (NULL) booz (voso) begat (iri) obed (NULL) of (NULL) ruth (iro) ; (.) and (NULL) obed (NULL) begat (iri) jesse (jese) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (,) jesse (jese) begat (iri) david (iraviri) the (yora) king (iraviri) ; (.) and (,) david (iraviri) the (yora) king (iraviri) begat (iri) solomon (saromo) of (NULL) her (oriashi) that (NULL) had (impoiji) been (NULL) the (yora) wife (shirampari) of (NULL) urias (yaaveitaniri) ; (.) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (saromo) begat (iri) roboam (orovoama) ; (.) and (NULL) roboam (orovoama) begat (iri) abia (aviashi) ; (.) and (NULL) abia (aviashi) begat (iri) asa (asa) ; (.) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (iri) josaphat (josavata) ; (.) and (NULL) josaphat (josavata) begat (iri) joram (jorama) ; (.) and (NULL) joram (jorama) begat (iri) ozias (oshiashi) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (oshiashi) begat (iri) joatham (joatama) ; (.) and (NULL) joatham (joatama) begat (iri) achaz (acasa) ; (.) and (NULL) achaz (acasa) begat (iri) ezekias (eshequiashi) ; (.) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (eshequiashi) begat (iri) manasses (manasheshi) ; (.) and (NULL) manasses (manasheshi) begat (iri) amon (amo) ; (.) and (NULL) amon (amo) begat (iri) josias (joshiashi) ; (.) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (joshiashi) begat (iri) jechonias (jeconiashi) and (NULL) his (NULL) brethren (irirentipee) , (NULL) about (NULL) the (yora) time (NULL) they (.) were (,) carried (jeconiashi) away (itimantari) to (NULL) babylon (vavironiaqui) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (impoiji) they (NULL) were (NULL) brought (NULL) to (NULL) babylon (NULL) , (:) jechonias (jeconiashi) begat (itomi) salathiel (saratiyeri) ; (.) and (NULL) salathiel (saratiyeri) begat (itomi) zorobabel (sorovaveri) ; (.) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (sorovaveri) begat (iri) abiud (aviori) ; (.) and (NULL) abiud (aviori) begat (iri) eliakim (eriaquimi) ; (.) and (NULL) eliakim (eriaquimi) begat (iri) azor (asoro) ; (.) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (asoro) begat (iri) sadoc (saroco) ; (.) and (NULL) sadoc (saroco) begat (iri) achim (aquimi) ; (.) and (NULL) achim (aquimi) begat (iri) eliud (erioro) ; (.) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (erioro) begat (iri) eleazar (erisara) ; (.) and (NULL) eleazar (erisara) begat (iri) matthan (mata) ; (.) and (NULL) matthan (mata) begat (iri) jacob (jacovo) ; (.) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jacovo) begat (iri) joseph (jose) the (NULL) husband (ojimetsori) of (NULL) mary (maria) , (,) of (NULL) whom (NULL) was (.) born (NULL) jesus (jesoshi) , (,) who (.) is (NULL) called (ipajitiri) christ (quirishito) . (.) "
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (meeca) the (yora) birth (ocantari) of (NULL) jesus (jesoshi) christ (NULL) was (.) on (NULL) this (NULL) wise (isareacaro) : (NULL) when (NULL) as (NULL) his (NULL) mother (opajita) mary (maria) was (.) espoused (ijinatsori) to (NULL) joseph (jose) , (:) before (irayero) they (NULL) came (,) together (NULL) , (:) she (NULL) was (.) found (otasoncaquero) with (NULL) child (otsomontetaque) of (NULL) the (yora) holy (tasorentsi) ghost (ishire) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (iotantacari) joseph (jose) her (NULL) husband (tsinane) , (:) being (timatsiata) a (.) just (iquenqueshireaca) man (NULL) , (:) and (NULL) not (eiro) willing (nairotsi) to (icoaque) make ("") her (NULL) a (.) publick (irointi) example (naimpitsi) , (:) was (.) minded (nocamantajeitiritsi) to (icoaque) put (eiro) her (NULL) away (,) privily (ishirontimentarocari) . (.) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (NULL) while (irosati) he (NULL) thought (iquenqueshiretanaqueri) on (NULL) these (NULL) things (NULL) , (,) behold (NULL) , (,) the (NULL) angel (inampire) of (NULL) the (NULL) lord (NULL) appeared (imapocantacari) unto (NULL) him (icantapaaqueri) in (NULL) a (NULL) dream (ineamainetaqueri) , (,) saying (-) , (,) joseph (jose) , (,) thou (aviro) son (NULL) of (NULL) david (iravirini) , (,) fear (NULL) not (eiro) to (NULL) take (piquenqueshireatsi) unto (NULL) thee (pijinatsori) mary (onee) thy (.) wife (shirampari) : (NULL) for (NULL) that (NULL) which (NULL) is (NULL) conceived (otasoncaquero) in (NULL) her (,) is (NULL) of (NULL) the (NULL) holy (tasorentsi) ghost (ishire) . (NULL) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (NULL) she (NULL) shall (NULL) bring (ontimeri) forth (NULL) a (NULL) son (otomi) , (NULL) and (NULL) thou (NULL) shalt (NULL) call (pimpajiteri) his (,) name (NULL) jesus (jesoshi) : (.) for (NULL) he (NULL) shall (NULL) save (NULL) his (,) people (jesoshi) from (NULL) their (NULL) sins (cameetsatatsi) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (NULL) this (intimanteari) was (.) done (NULL) , (NULL) that (NULL) it (NULL) might (NULL) be (sanquenatacaaqueriri) fulfilled (isanquenatiniri) which (NULL) was (.) spoken (icantiniri) of (NULL) the (NULL) lord (avincatsarite) by (.) the (NULL) prophet (isayashini) , (NULL) saying (:) , (NULL) "
"b.MAT.1.23 behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name emmanuel , which being interpreted is , god with us .","b.MAT.1.23 (b.MAT.1.23) behold (NULL) , (NULL) a (NULL) virgin (neiri) shall (coajica) be (NULL) with (NULL) child (NULL) , (NULL) and (NULL) shall (coajica) bring (ontimeri) forth (NULL) a (NULL) son (otomi) , (NULL) and (NULL) they (NULL) shall (coajica) call (emanoere) his (NULL) name ("") emmanuel (impajiyeeteri) , (NULL) which (.) being (NULL) interpreted (aneanequi) is (NULL) , (NULL) god (tasorentsi) with (NULL) us (itsipajeitaquee) . (.) "
"b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (jose) being (itinaanaca) raised (iquemisantaquero) from (NULL) sleep (NULL) did (NULL) as (,) the (NULL) angel (ijatashitaquero) of (NULL) the (NULL) lord (NULL) had (.) bidden (naasanotempi) him (NULL) , (NULL) and (NULL) took (NULL) unto (NULL) him (NULL) his (NULL) wife (NULL) : (.) "
b.MAT.1.25 and knew her not till she had brought forth her firstborn son : and he called his name jesus .,"b.MAT.1.25 (b.MAT.1.25) and (NULL) knew (NULL) her (NULL) not (NULL) till (NULL) she (NULL) had (NULL) brought (NULL) forth (,) her (NULL) firstborn (ineantaro) son (otomi) : (.) and (NULL) he (NULL) called (:) his (NULL) name (yaasanotaquero) jesus (jesoshi) . (.) "
"b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king , behold , there came wise men from the east to jerusalem ,","b.MAT.2.1 (b.MAT.2.1) now (,) when (,) jesus (jesoshi) was (.) born (itimapaaque) in (anta) bethlehem (verequi) of (NULL) judaea (joreaqui) in (anta) the (NULL) days (itimantacari) of (NULL) herod (eroreshi) the (NULL) king (NULL) , (NULL) behold (pincatsariventantatsiri) , (NULL) there (anta) came (yareetapaaca) wise (poneajeitachari) men (NULL) from (,) the (NULL) east (iquenapainta) to (NULL) jerusalem (jerosarequi) , (NULL) "
