context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (awarek) of (de) the (NULL) generation (dhienh) of (de) jesus (yecu) christ (kritho) , (,) the (NULL) son (wen) of (de) david (dabid) , (,) the (NULL) son (wen) of (de) abraham (abraɣam) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraɣam) begat (dhieeth) isaac (yithak) ; (NULL) and (NULL) isaac (yithak) begat (dhieeth) jacob (jakop) ; (NULL) and (NULL) jacob (jakop) begat (dhieeth) judas (juda) and (NULL) his (NULL) brethren (wɛɛtwuun) ; (NULL) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (ku) judas (juda) begat (dhieth) phares (peredh) and (ku) zara (dhera) of (e) thamar (tamar) ; (;) and (ku) phares (peredh) begat (dhieth) esrom (kedhron) ; (;) and (ku) esrom (kedhron) begat (dhieth) aram (aram) ; (;) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (ku) aram (aram) begat (dhieth) aminadab (aminadab) ; (;) and (ku) aminadab (aminadab) begat (dhieth) naasson (nacon) ; (;) and (ku) naasson (nacon) begat (dhieth) salmon (thalmon) ; (;) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (ku) salmon (thalmon) begat (dhieth) booz (boadh) of (e) rachab (rakab) ; (;) and (ku) booz (boadh) begat (dhieth) obed (obed) of (e) ruth (ruth) ; (;) and (ku) obed (obed) begat (dhieth) jesse (jethe) ; (;) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (ku) jesse (jethe) begat (dhieth) david (dabid) the (NULL) king (malik) ; (.) and (ku) david (dabid) the (NULL) king (malik) begat (dhieth) solomon (tholomon) of (ne) her (tiiŋ) that (waan) had (kɔn) been (ci) the (NULL) wife (tiiŋ) of (ne) urias (uria) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (ku) solomon (tholomon) begat (dhieth) roboam (rekoboam) ; (;) and (ku) roboam (rekoboam) begat (dhieth) abia (abija) ; (;) and (ku) abia (abija) begat (dhieth) asa (atha) ; (;) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (ku) asa (atha) begat (dhieth) josaphat (jekocapat) ; (;) and (ku) josaphat (jekocapat) begat (dhieth) joram (joram) ; (;) and (ku) joram (joram) begat (dhieth) ozias (udhia) ; (;) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (ku) ozias (udhia) begat (dhieth) joatham (jotham) ; (;) and (ku) joatham (jotham) begat (dhieth) achaz (akadh) ; (;) and (ku) achaz (akadh) begat (dhieth) ezekias (kedhekia) ; (;) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (ku) ezekias (kedhekia) begat (dhieth) manasses (manathe) ; (;) and (ku) manasses (manathe) begat (dhieth) amon (amon) ; (;) and (ku) amon (amon) begat (dhieth) josias (jothia) ; (;) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (ku) josias (jothia) begat (dhieth) jechonias (jekonia) and (ku) his (NULL) brethren (wɛɛtwuun) , (,) about (cit) the (e) time (run) they (NULL) were (NULL) carried (jɔte) away (leereke) to (NULL) babylon (babulon) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (na) after (aci) they (kɔc) were (NULL) brought (NULL) to (NULL) babylon (babulon) , (,) jechonias (jekonia) begat (dhieth) salathiel (calathiel) ; (;) and (na) salathiel (calathiel) begat (dhieth) zorobabel (dhorobabel) ; (;) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (ku) zorobabel (dhorobabel) begat (dhieth) abiud (abiud) ; (;) and (ku) abiud (abiud) begat (dhieth) eliakim (eliakim) ; (;) and (ku) eliakim (eliakim) begat (dhieth) azor (adhor) ; (;) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (ku) azor (adhor) begat (dhieth) sadoc (thadok) ; (;) and (ku) sadoc (thadok) begat (dhieth) achim (acim) ; (;) and (ku) achim (acim) begat (dhieth) eliud (eliud) ; (;) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (ku) eliud (eliud) begat (dhieth) eleazar (eleadhar) ; (;) and (ku) eleazar (eleadhar) begat (dhieth) matthan (mathan) ; (;) and (ku) matthan (mathan) begat (dhieth) jacob (jakop) ; (;) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (ku) jacob (jakop) begat (dhieth) joseph (jothep) the (NULL) husband (mony) of (e) mary (mari) , (,) of (e) whom (waan) was (NULL) born (dhieth) jesus (yecu) , (,) who (NULL) is (NULL) called (cɔl) christ (kritho) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (yen) all (ebɛn) the (guop) generations (kuen) from (e) abraham (abraɣam) to (NULL) david (dabid) are (acik) fourteen (ŋuan) generations (kuen) ; (;) and (ku) from (e) david (dabid) until (aɣet) the (guop) carrying (jon) away (leereke) into (NULL) babylon (babulon) are (acik) fourteen (ŋuan) generations (kuen) ; (;) and (ku) from (e) the (guop) carrying (jon) away (leereke) into (NULL) babylon (babulon) unto (aɣet) christ (kritho) are (acik) fourteen (ŋuan) generations (kuen) . (.) 
