context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (yesu) christ (kilisiti) , (cənɛ) the (NULL) son (NULL) of (NULL) david (tafiiti) , (cənɛ) the (NULL) son (NULL) of (NULL) abraham (apəlaham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (apəlaham) begat (lʋla) isaac (ɩsaaka) ; (,) and (na) isaac (ɩsaaka) begat (lʋla) jacob (yakɔpʋ) ; (,) and (na) jacob (yakɔpʋ) begat (lʋla) judas (NULL) and (na) his (ɩ) brethren (newaa) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (NULL) begat (lʋla) phares (falɛsɩ) and (NULL) zara (sela) of (na) thamar (tamaa) ; (.) and (NULL) phares (falɛsɩ) begat (lʋla) esrom (hɛsəlɔŋ) ; (.) and (NULL) esrom (hɛsəlɔŋ) begat (lʋla) aram (alam) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (na) aram (alam) begat (lʋlɩ) aminadab (aminatapɩ) ; (,) and (na) aminadab (aminatapɩ) begat (lʋlɩ) naasson (naasɔŋ) ; (,) and (na) naasson (naasɔŋ) begat (lʋlɩ) salmon (saləma) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (saləma) begat (lʋla) booz (poosi) of (NULL) rachab (poosi) ; (.) and (NULL) booz (poosi) begat (lʋla) obed (opɛtɩ) of (NULL) ruth (luuti) ; (.) and (NULL) obed (opɛtɩ) begat (lʋla) jesse (sesee) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (na) jesse (sesee) begat (lʋləna) david (tafiiti) the (NULL) king (wulaʋ) ; (.) and (na) david (tafiiti) the (NULL) king (wulaʋ) begat (lʋləna) solomon (salʋmɔŋ) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (alʋ) of (NULL) urias (yulii) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salʋmɔŋ) begat (lʋla) roboam (lʋpʋwam) ; (,) and (NULL) roboam (lʋpʋwam) begat (lʋla) abia (apiya) ; (,) and (NULL) abia (apiya) begat (lʋla) asa (asafɩ) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (na) asa (asafɩ) begat (lʋlɩ) josaphat (yosafatɩ) ; (,) and (na) josaphat (yosafatɩ) begat (lʋlɩ) joram (yolam) ; (,) and (na) joram (yolam) begat (lʋlɩ) ozias (osiyasɩ) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (osiyasɩ) begat (lʋla) joatham (yowatam) ; (,) and (NULL) joatham (yowatam) begat (lʋla) achaz (akasɩ) ; (,) and (NULL) achaz (akasɩ) begat (lʋla) ezekias (ɩsekiyasɩ) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (na) ezekias (ɩsekiyasɩ) begat (lʋlɩ) manasses (manasee) ; (,) and (na) manasses (manasee) begat (lʋlɩ) amon (amoŋ) ; (,) and (na) amon (amoŋ) begat (lʋlɩ) josias (yosiyasɩ) ; (,) "
