context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (sihino) the (NULL) generation (manena) of (sihino) jesus (yesus) christ (kristus) , (NULL) the (NULL) son (NULL) of (sihino) david (daud) , (NULL) the (NULL) son (NULL) of (sihino) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (yanau) isaac (ishak) ; (NULL) and (o) isaac (ishak) begat (yanau) jacob (NULL) ; (NULL) and (o) jacob (NULL) begat (yanau) judas (yehuda) and (o) his (awi) brethren (gianongoru) ; (NULL) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (o) judas (yehuda) begat (yanau) phares (peres) and (o) zara (tamar) of (NULL) thamar (ena) ; (yanau) and (o) phares (peres) begat (yanau) esrom (hezron) ; (yanau) and (o) esrom (hezron) begat (yanau) aram (ram) ; (yanau) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (o) aram (ram) begat (yanau) aminadab (abinadab) ; (yanau) and (o) aminadab (abinadab) begat (yanau) naasson (nahason) ; (yanau) and (o) naasson (nahason) begat (yanau) salmon (salmon) ; (yanau) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (o) salmon (salmon) begat (yanau) booz (boas) of (o) rachab (rut) ; (NULL) and (o) booz (boas) begat (yanau) obed (obed) of (o) ruth (obed) ; (NULL) and (o) obed (obed) begat (yanau) jesse (isai) ; (NULL) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (o) jesse (isai) begat (yanau) david (daud) the (NULL) king (kolano) ; (.) and (o) david (daud) the (NULL) king (kolano) begat (yanau) solomon (salomo) of (o) her (awa) that (ena) had (NULL) been (NULL) the (NULL) wife (balo) of (o) urias (uria) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (o) solomon (salomo) begat (yanau) roboam (rehabeam) ; (NULL) and (o) roboam (rehabeam) begat (yanau) abia (NULL) ; (NULL) and (o) abia (NULL) begat (yanau) asa (asa) ; (NULL) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (de) asa (asa) begat (yanau) josaphat (NULL) ; (,) and (de) josaphat (NULL) begat (yanau) joram (yoram) ; (,) and (de) joram (yoram) begat (yanau) ozias (uzia) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (o) ozias (uzia) begat (yanau) joatham (yotam) ; (,) and (o) joatham (yotam) begat (yanau) achaz (ahas) ; (,) and (o) achaz (ahas) begat (yanau) ezekias (hizkia) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (o) ezekias (hizkia) begat (yanau) manasses (manasye) ; (,) and (o) manasses (manasye) begat (yanau) amon (amon) ; (,) and (o) amon (amon) begat (yanau) josias (yosia) ; (,) "
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (de) josias (yosia) begat (yanau) jechonias (yekhonya) and (de) his (awi) brethren (gianongoru) , (naga) about (NULL) the (NULL) time (orasi) they (nyawa) were (NULL) carried (NULL) away (NULL) to (o) babylon (babel) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (so) after (o) they (NULL) were (NULL) brought (NULL) to (NULL) babylon (babel) , (,) jechonias (yekhonya) begat (yanau) salathiel (sealtiel) ; (,) and (so) salathiel (sealtiel) begat (yanau) zorobabel (zerubabel) ; (,) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (o) zorobabel (zerubabel) begat (yanau) abiud (abihud) ; (yanau) and (o) abiud (abihud) begat (yanau) eliakim (elyakim) ; (yanau) and (o) eliakim (elyakim) begat (yanau) azor (azor) ; (yanau) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (o) azor (azor) begat (NULL) sadoc (NULL) ; (NULL) and (o) sadoc (NULL) begat (NULL) achim (akhim) ; (NULL) and (o) achim (akhim) begat (NULL) eliud (eliud) ; (NULL) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (o) eliud (eliud) begat (NULL) eleazar (NULL) ; (NULL) and (o) eleazar (NULL) begat (NULL) matthan (matan) ; (NULL) and (o) matthan (matan) begat (NULL) jacob (yakub) ; (NULL) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (kagena) jacob (yakub) begat (yanau) joseph (yusuf) the (NULL) husband (roka) of (ma) mary (maria) , (NULL) of (ma) whom (NULL) was (o) born (mowisibubuo) jesus (yesus) , (NULL) who (una) is (NULL) called (o) christ (salamati) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) so (komagena) all (NULL) the (NULL) generations (paeto) from (o) abraham (abrahamka) to (o) david (daudka) are (gena) fourteen (yaruha) generations (paeto) ; (.) and (NULL) from (o) david (daudka) until (sidago) the (NULL) carrying (ete) away (de) into (tonaka) babylon (babel) are (gena) fourteen (yaruha) generations (paeto) ; (.) and (NULL) from (o) the (NULL) carrying (ete) away (de) into (tonaka) babylon (babel) unto (,) christ (salamati) are (gena) fourteen (yaruha) generations (paeto) . (.) "
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (awi) birth (sibuo) of (o) jesus (yesus) christ (kristus) was (NULL) on (NULL) this (komanena) wise (NULL) : (.) when (ongo) as (ma) his (NULL) mother (awa) mary (maria) was (NULL) espoused (moroheka) to (o) joseph (yusuf) , (,) before (waasi) they (ona) came (ongo) together (NULL) , (,) she (muna) was (NULL) found (NULL) with (kuasa) child (imakiidu) of (o) the (awi) holy (qatetebi) ghost (gurumi) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (yusuf) her (NULL) husband (bobai) , (NULL) being (NULL) a (NULL) just (itiai) man (nyawa) , (NULL) and (so) not (upa) willing (womisimaqe) to (ngale) make (gena) her (NULL) a (NULL) publick (bobai) example (yanako) , (NULL) was (o) minded (NULL) to (ngale) put (gena) her (NULL) away (NULL) privily (kawasa) . (.) "
