context,targ
"b.MAR.1.1 the beginning of the gospel of jesus christ , the son of god ;","b.MAR.1.1 (b.MAR.1.1) the (t) beginning (oiseachd) of (NULL) the (t) gospel (soisgeul) of (NULL) jesus (iosa) christ (criosda) , (,) the (t) son (mac) of (NULL) god (dhe) ; (NULL) "
"b.MAR.1.2 as it is written in the prophets , behold , i send my messenger before thy face , which shall prepare thy way before thee .","b.MAR.1.2 (b.MAR.1.2) as (mar) it (e) is (tha) written (sgriobhte) in (san) the (NULL) prophets (fhaidh) , (:) behold (seall) , (:) i (mi) send (cuiridh) my (m) messenger (aingeal) before (roimh) thy (do) face (ghnuis) , (:) which (a) shall (NULL) prepare (reiticheas) thy (do) way (NULL) before (roimh) thee (romhad) . (NULL) "
"b.MAR.1.3 the voice of one crying in the wilderness , prepare ye the way of the lord , make his paths straight .","b.MAR.1.3 (b.MAR.1.3) the (NULL) voice (guth) of (ag) one (neach) crying (eigheach) in (san) the (NULL) wilderness (fhasach) , (:) prepare (reitichibh) ye (NULL) the (NULL) way (slighe) of (ag) the (NULL) lord (tighearna) , (:) make (dianaibh) his (a) paths (rathadain) straight (direach) . (NULL) "
"b.MAR.1.4 john did baptize in the wilderness , and preach the baptism of repentance for the remission of sins .","b.MAR.1.4 (b.MAR.1.4) john (eoin) did (bha) baptize (NULL) in (anns) the (an) wilderness (fhasach) , (,) and (sa) preach (searmonachadh) the (an) baptism (baisteadh) of (NULL) repentance (aithreachais) for (gu) the (an) remission (mathanas) of (NULL) sins (pheacannan) . (NULL) "
"b.MAR.1.5 and there went out unto him all the land of judaea , and they of jerusalem , and were all baptized of him in the river of jordan , confessing their sins .","b.MAR.1.5 (b.MAR.1.5) and (agus) there (duthaich) went (chaidh) out (mach) unto (ionnsuidh) him (ga) all (uile) the (NULL) land (muinntir) of (NULL) judaea (iudea) , (NULL) and (agus) they (iad) of (NULL) jerusalem (ierusalem) , (NULL) and (agus) were (NULL) all (uile) baptized (bhaisteadh) of (NULL) him (ga) in (ann) the (NULL) river (abhuinn) of (NULL) jordan (iordain) , (NULL) confessing (aideachadh) their (am) sins (peacannan) . (NULL) "
"b.MAR.1.6 and john was clothed with camel ' s hair , and with a girdle of a skin about his loins ; and he did eat locusts and wild honey ;","b.MAR.1.6 (b.MAR.1.6) and (agus) john (eoin) was (bha) clothed (eideadh) with (le) camel (fionnadh) ' (NULL) s (NULL) hair (chamhal) , (,) and (agus) with (le) a (NULL) girdle (leathair) of (NULL) a (NULL) skin (crios) about (mu) his (mil) loins (mheadhon) ; (;) and (agus) he (e) did (dh) eat (ith) locusts (locuist) and (agus) wild (NULL) honey (shearmonaich) ; (;) "
"b.MAR.1.7 and preached , saying , there cometh one mightier than i after me , the latchet of whose shoes i am not worthy to stoop down and unloose .","b.MAR.1.7 (b.MAR.1.7) and (is) preached (nas) , (NULL) saying (dheigh) , (NULL) there (NULL) cometh (tighinn) one (fear) mightier (NULL) than (na) i (mise) after (NULL) me (NULL) , (NULL) the (NULL) latchet (neach) of (as) whose (NULL) shoes (airidh) i (mise) am (NULL) not (nach) worthy (cromadh) to (fhuasgladh) stoop (NULL) down (sios) and (is) unloose (barail) . (NULL) "
b.MAR.1.8 i indeed have baptized you with water : but he shall baptize you with the holy ghost .,b.MAR.1.8 (b.MAR.1.8) i (mise) indeed (bhaist) have (NULL) baptized (NULL) you (sibh) with (le) water (uisge) : (;) but (ach) he (esan) shall (NULL) baptize (baistidh) you (sibh) with (le) the (an) holy (naomh) ghost (spiorad) . (NULL) 
"b.MAR.1.9 and it came to pass in those days , that jesus came from nazareth of galilee , and was baptized of john in jordan .","b.MAR.1.9 (b.MAR.1.9) and (is) it (NULL) came (thachair) to (NULL) pass (NULL) in (anns) those (na) days (laithean) , (,) that (gun) jesus (iosa) came (thachair) from (bho) nazareth (nasareth) of (NULL) galilee (ghalile) , (,) and (is) was (iordan) baptized (bhaisteadh) of (NULL) john (eoin) in (anns) jordan (abhuinn) . (NULL) "
"b.MAR.1.10 and straightway coming up out of the water , he saw the heavens opened , and the spirit like a dove descending upon him :","b.MAR.1.10 (b.MAR.1.10) and (s) straightway (air) coming (NULL) up (direadh) out (as) of (NULL) the (an) water (uisge) , (,) he (e) saw (chunnaic) the (an) heavens (neamh) opened (fosgailte) , (,) and (s) the (an) spirit (spiorad) like (chalman) a (a) dove (tearnadh) descending (fantuinn) upon (air) him (mar) : (NULL) "
