context,targ
"b.MAT.5.15 neither do men light a candle , and put it under a bushel , but on a candlestick ; and it giveth light unto all that are in the house .","b.MAT.5.15 (b.MAT.5.15) neither (NULL) do (NULL) men (NULL) light (NULL) a (NULL) candle (NULL) , (NULL) and (NULL) put (NULL) it (NULL) under (NULL) a (NULL) bushel (NULL) , (NULL) but (ak) on (ana) a (NULL) candlestick (lukarnastaþin) ; (NULL) and (NULL) it (NULL) giveth (liuteiþ) light (NULL) unto (NULL) all (allaim) that (NULL) are (þaim) in (in) the (þamma) house (garda) . (NULL) "
"b.MAT.5.16 let your light so shine before men , that they may see your good works , and glorify your father which is in heaven .","b.MAT.5.16 (b.MAT.5.16) let (NULL) your (izwar) light (liuhaþ) so (swa) shine (liuhtjai) before (andwairþja) men (manne) , (NULL) that (NULL) they (NULL) may (ei) see (gasaiƕaina) your (izwar) good (goda) works (waurstwa) , (NULL) and (jah) glorify (hauhjaina) your (izwar) father (attan) which (þana) is (NULL) in (in) heaven (himinam) . (NULL) "
"b.MAT.5.17 think not that i am come to destroy the law , or the prophets : i am not come to destroy , but to fulfil .","b.MAT.5.17 (b.MAT.5.17) think (hugjaiþ) not (ni) that (ei) i (NULL) am (NULL) come (qemjau) to (NULL) destroy (gatairan) the (NULL) law (witoþ) , (NULL) or (aiþþau) the (NULL) prophets (praufetuns) : (NULL) i (NULL) am (NULL) not (ni) come (qemjau) to (NULL) destroy (gatairan) , (NULL) but (ak) to (NULL) fulfil (usfulljan) . (NULL) "
"b.MAT.5.18 for verily i say unto you , till heaven and earth pass , one jot or one tittle shall in no wise pass from the law , till all be fulfilled .","b.MAT.5.18 (b.MAT.5.18) for (auk) verily (amen) i (þatei) say (qiþa) unto (NULL) you (izwis) , (NULL) till (und) heaven (himins) and (jah) earth (airþa) pass (usleiþiþ) , (NULL) one (ains) jot (jota) or (aiþþau) one (ains) tittle (striks) shall (NULL) in (NULL) no (ni) wise (NULL) pass (usleiþiþ) from (af) the (NULL) law (witoda) , (NULL) till (und) all (allata) be (NULL) fulfilled (wairþiþ) . (NULL) "
"b.MAT.5.19 whosoever therefore shall break one of these least commandments , and shall teach men so , he shall be called the least in the kingdom of heaven : but whosoever shall do and teach them , the same shall be called great in the kingdom of heaven .","b.MAT.5.19 (b.MAT.5.19) whosoever (saei) therefore (nu) shall (NULL) break (gatairiþ) one (aina) of (NULL) these (minnistono) least (þizo) commandments (anabusne) , (NULL) and (jah) shall (NULL) teach (laisjai) men (mans) so (swa) , (NULL) he (NULL) shall (NULL) be (NULL) called (haitada) the (NULL) least (þizo) in (in) the (NULL) kingdom (þiudangardjai) of (NULL) heaven (himine) : (NULL) but (iþ) whosoever (saei) shall (NULL) do (taujiþ) and (jah) teach (laisjai) them (NULL) , (NULL) the (NULL) same (sah) shall (NULL) be (NULL) called (haitada) great (mikils) in (in) the (NULL) kingdom (þiudangardjai) of (NULL) heaven (himine) . (NULL) "
"b.MAT.5.20 for i say unto you , that except your righteousness shall exceed the righteousness of the scribes and pharisees , ye shall in no case enter into the kingdom of heaven .","b.MAT.5.20 (b.MAT.5.20) for (auk) i (NULL) say (qiþa) unto (NULL) you (izwis) , (NULL) that (þatei) except (nibai) your (izwaraizos) righteousness (NULL) shall (wairþiþ) exceed (þau) the (NULL) righteousness (NULL) of (þize) the (NULL) scribes (bokarje) and (jah) pharisees (fareisaie) , (NULL) ye (þau) shall (wairþiþ) in (NULL) no (ni) case (NULL) enter (qimiþ) into (in) the (NULL) kingdom (þiudangardjai) of (þize) heaven (himine) . (NULL) "
"b.MAT.5.21 ye have heard that it was said by them of old time , thou shalt not kill ; and whosoever shall kill shall be in danger of the judgment :","b.MAT.5.21 (b.MAT.5.21) ye (NULL) have (NULL) heard (hausideduþ) that (þatei) it (qiþan) was (NULL) said (NULL) by (NULL) them (þaim) of (NULL) old (airizam) time (NULL) , (NULL) thou (NULL) shalt (NULL) not (ni) kill (maurþrjais) ; (NULL) and (iþ) whosoever (saei) shall (NULL) kill (maurþrjais) shall (NULL) be (NULL) in (NULL) danger (skula) of (NULL) the (NULL) judgment (stauai) : (NULL) "
"b.MAT.5.22 but i say unto you , that whosoever is angry with his brother without a cause shall be in danger of the judgment : and whosoever shall say to his brother , raca , shall be in danger of the council : but whosoever shall say , thou fool , shall be in danger of hell fire .","b.MAT.5.22 (b.MAT.5.22) but (aþþan) i (ik) say (qiþa) unto (NULL) you (izwis) , (NULL) that (þatei) whosoever (ƕazuh) is (NULL) angry (modags) with (NULL) his (seinamma) brother (broþr) without (NULL) a (NULL) cause (NULL) shall (wairþiþ) be (NULL) in (NULL) danger (skula) of (NULL) the (NULL) judgment (stauai) : (NULL) and (iþ) whosoever (ƕazuh) shall (wairþiþ) say (qiþa) to (NULL) his (seinamma) brother (broþr) , (NULL) raca (raka) , (NULL) shall (wairþiþ) be (NULL) in (NULL) danger (skula) of (NULL) the (NULL) council (gaqumþai) : (NULL) but (aþþan) whosoever (ƕazuh) shall (wairþiþ) say (qiþa) , (NULL) thou (NULL) fool (dwala) , (NULL) shall (wairþiþ) be (NULL) in (NULL) danger (skula) of (NULL) hell (gaiainnan) fire (funins) . (NULL) "
"b.MAT.5.23 therefore if thou bring thy gift to the altar , and there rememberest that thy brother hath ought against thee ;","b.MAT.5.23 (b.MAT.5.23) therefore (nu) if (jabai) thou (NULL) bring (bairais) thy (þein) gift (aibr) to (du) the (NULL) altar (hunslastada) , (NULL) and (jah) there (jainar) rememberest (gamuneis) that (þatei) thy (þein) brother (broþar) hath (habaiþ) ought (ƕa) against (bi) thee (þuk) ; (NULL) "
"b.MAT.5.24 leave there thy gift before the altar , and go thy way ; first be reconciled to thy brother , and then come and offer thy gift .","b.MAT.5.24 (b.MAT.5.24) leave (aflet) there (jainar) thy (þeina) gift (giba) before (andwairþja) the (NULL) altar (hunslastadis) , (NULL) and (jah) go (gagg) thy (þeina) way (NULL) ; (NULL) first (faurþis) be (NULL) reconciled (gasibjon) to (NULL) thy (þeina) brother (broþr) , (NULL) and (jah) then (biþe) come (NULL) and (jah) offer (atbair) thy (þeina) gift (giba) . (NULL) "
