context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (ી) book (NULL) of (ા) the (ી) generation (NULL) of (ા) jesus (ઈસ) christ (ખ) , (ં) the (ી) son (NULL) of (ા) david (ઉદ) , (ં) the (ી) son (NULL) of (ા) abraham (ઈબ) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (ઈબ) begat (િ) isaac (ઈસહ) ; (NULL) and (ત) isaac (ઈસહ) begat (િ) jacob (બન) ; (NULL) and (ત) jacob (બન) begat (િ) judas (યહ) and (ત) his (ન) brethren (ઈઓન) ; (NULL) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (યહ) begat (NULL) phares (હન) and (NULL) zara (ઝ) of (ા) thamar (મન) ; (ા) and (NULL) phares (હન) begat (NULL) esrom (્) ; (ા) and (NULL) esrom (્) begat (NULL) aram (આર) ; (ા) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (પ) aram (આર) begat (હત) aminadab (બન) ; (.) and (પ) aminadab (બન) begat (હત) naasson (હશ) ; (.) and (પ) naasson (હશ) begat (હત) salmon (સલ) ; (.) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (સલ) begat (NULL) booz (આઝન) of (() rachab (હ) ; (.) and (NULL) booz (આઝન) begat (NULL) obed (ઓબ) of (() ruth (ઈન) ; (.) and (NULL) obed (ઓબ) begat (NULL) jesse (આઝ) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (યશ) begat (હત) david (ઉદ) the (િ) king (ા) ; (.) and (NULL) david (ઉદ) the (િ) king (ા) begat (હત) solomon (નન) of (ા) her (ત) that (ે) had (હત) been (ા) the (િ) wife (પત) of (ા) urias (ઊર) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (લ) solomon (NULL) begat (હત) roboam (મન) ; (.) and (લ) roboam (મન) begat (હત) abia (અબ) ; (.) and (લ) abia (અબ) begat (હત) asa (આસ) ; (.) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (ા) asa (આસ) begat (હત) josaphat (ટન) ; (.) and (ા) josaphat (ટન) begat (હત) joram (મન) ; (.) and (ા) joram (મન) begat (હત) ozias (ઉઝ) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (ય) ozias (ઉઝ) begat (િ) joatham (ઝન) ; (.) and (ય) joatham (ઝન) begat (િ) achaz (NULL) ; (.) and (ય) achaz (NULL) begat (િ) ezekias (ઝક) ; (.) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (શ) ezekias (ઝક) begat (િ) manasses (NULL) ; (.) and (શ) manasses (NULL) begat (િ) amon (NULL) ; (.) and (શ) amon (NULL) begat (િ) josias (NULL) ; (.) 
