context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (haˈ) the (NULL) generation (NULL) of (haˈ) jesus (comam) christ (jesucristo) , (.) the (NULL) son (NULL) of (haˈ) david (david) , (.) the (NULL) son (NULL) of (haˈ) abraham (abraham) . (NULL) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (ismam) isaac (isaac) ; (,) and (NULL) isaac (isaac) begat (ismam) jacob (jacob) ; (,) and (NULL) jacob (jacob) begat (ismam) judas (NULL) and (NULL) his (NULL) brethren (yuẍtaj) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (,) judas (NULL) begat (ismam) phares (fares) and (,) zara (zara) of (haˈ) thamar (tamar) ; (.) and (,) phares (fares) begat (ismam) esrom (esrom) ; (.) and (,) esrom (esrom) begat (ismam) aram (aram) ; (.) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (ismam) aminadab (aminadab) ; (,) and (NULL) aminadab (aminadab) begat (ismam) naasson (naasón) ; (,) and (NULL) naasson (naasón) begat (ismam) salmon (salmón) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (,) salmon (salmón) begat (ismam) booz (booz) of (NULL) rachab (ismiˈ) ; (NULL) and (,) booz (booz) begat (ismam) obed (obed) of (NULL) ruth (rut) ; (NULL) and (,) obed (obed) begat (ismam) jesse (isaí) ; (NULL) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaí) begat (ismam) david (david) the (NULL) king (NULL) ; (.) and (NULL) david (david) the (NULL) king (NULL) begat (ismam) solomon (salomón) of (,) her (ix) that (NULL) had (tuˈ) been (NULL) the (NULL) wife (yixalticˈa) of (,) urias (urías) ; (.) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (ismam) roboam (roboam) ; (,) and (NULL) roboam (roboam) begat (ismam) abia (abías) ; (,) and (NULL) abia (abías) begat (ismam) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (,) asa (asa) begat (ismam) josaphat (josafat) ; (,) and (,) josaphat (josafat) begat (ismam) joram (joram) ; (,) and (,) joram (joram) begat (ismam) ozias (uzías) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzías) begat (ismam) joatham (jotam) ; (,) and (NULL) joatham (jotam) begat (ismam) achaz (acaz) ; (,) and (NULL) achaz (acaz) begat (ismam) ezekias (ezequías) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequías) begat (ismam) manasses (manasés) ; (,) and (NULL) manasses (manasés) begat (ismam) amon (amón) ; (,) and (NULL) amon (amón) begat (ismam) josias (josías) ; (,) "
