context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (weatrí) of (NULL) jesus (NULL) christ (jesukrístu) , (NULL) the (NULL) son (NULL) of (NULL) david (tawitcha) , (NULL) the (NULL) son (NULL) of (NULL) abraham (apraámsha) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (apraáma) begat (uchirí) isaac (isak) ; (.) and (tura) isaac (isak) begat (uchirí) jacob (jakup) ; (.) and (tura) jacob (jakup) begat (uchirí) judas (NULL) and (tura) his (ni) brethren (yachijiai) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (tura) judas (NULL) begat (NULL) phares (páresan) and (tura) zara (sarancha) of (NULL) thamar (tamar) ; (.) and (tura) phares (páresan) begat (NULL) esrom (esrum) ; (.) and (tura) esrom (esrum) begat (NULL) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (NULL) begat (uchirísha) aminadab (NULL) ; (.) and (NULL) aminadab (NULL) begat (uchirísha) naasson (NULL) ; (.) and (NULL) naasson (NULL) begat (uchirísha) salmon (sarmun) ; (.) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (sarmunka) begat (NULL) booz (NULL) of (NULL) rachab (púusan) ; (.) and (NULL) booz (NULL) begat (NULL) obed (ruut) of (NULL) ruth (uwitia) ; (.) and (NULL) obed (ruut) begat (NULL) jesse (isaí) ; (.) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (NULL) begat (NULL) david (NULL) the (NULL) king (NULL) ; (.) and (NULL) david (NULL) the (NULL) king (NULL) begat (NULL) solomon (patsepa) of (NULL) her (patsepasha) that (sarumúnkan) had (.) been (NULL) the (NULL) wife (NULL) of (NULL) urias (nuweeyayi) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (sarumúnka) begat (uchirí) roboam (NULL) ; (.) and (NULL) roboam (NULL) begat (uchirí) abia (NULL) ; (.) and (NULL) abia (NULL) begat (uchirí) asa (asa) ; (.) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (uchirísha) josaphat (NULL) ; (.) and (NULL) josaphat (NULL) begat (uchirísha) joram (juram) ; (.) and (NULL) joram (juram) begat (uchirísha) ozias (usías) ; (.) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (usíasa) begat (uchirí) joatham (jutam) ; (.) and (NULL) joatham (jutam) begat (uchirí) achaz (akas) ; (.) and (NULL) achaz (akas) begat (uchirí) ezekias (esekías) ; (.) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (esekíasa) begat (uchirí) manasses (manasés) ; (.) and (NULL) manasses (manasés) begat (uchirí) amon (amun) ; (.) and (NULL) amon (amun) begat (uchirí) josias (jusías) ; (.) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (jusíasa) begat (uchirí) jechonias (jekunías) and (NULL) his (ni) brethren (yachi) , (NULL) about (papirúnianmaya) the (NULL) time (achirar) they (júkiarmiayi) were (armia) carried (NULL) away (nupetkar) to (NULL) babylon (papirúnia) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) babylon (saratiár) , (NULL) jechonias (jekuníasa) begat (uchirí) salathiel (akiiniamiayi) ; (.) and (NULL) salathiel (akiiniamiayi) begat (uchirí) zorobabel (NULL) ; (.) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (surupapíra) begat (uchirí) abiud (awiut) ; (.) and (NULL) abiud (awiut) begat (uchirí) eliakim (NULL) ; (.) and (NULL) eliakim (NULL) begat (uchirí) azor (asur) ; (.) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (asura) begat (uchirí) sadoc (satuk) ; (.) and (NULL) sadoc (satuk) begat (uchirí) achim (akim) ; (.) and (NULL) achim (akim) begat (uchirí) eliud (eriut) ; (.) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eriuta) begat (uchirí) eleazar (ereasár) ; (.) and (NULL) eleazar (ereasár) begat (uchirí) matthan (matan) ; (.) and (NULL) matthan (matan) begat (uchirí) jacob (jakup) ; (.) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jakupa) begat (uchirí) joseph (jusé) the (NULL) husband (aishriya) of (NULL) mary (marí) , (NULL) of (NULL) whom (NULL) was (.) born (jurermiayi) jesus (jesusan) , (NULL) who (NULL) is (NULL) called (uwemtikiartin) christ (kristu) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (tuma) all (NULL) the (NULL) generations (apraámnumia) from (NULL) abraham (tawitnium) to (NULL) david (NULL) are (ainiawai) fourteen (katurse) generations (apraámnumia) ; (.) and (nuisha) from (NULL) david (NULL) until (NULL) the (NULL) carrying (papirúnianam) away (NULL) into (NULL) babylon (NULL) are (ainiawai) fourteen (katurse) generations (apraámnumia) ; (.) and (nuisha) from (NULL) the (NULL) carrying (papirúnianam) away (NULL) into (NULL) babylon (NULL) unto (NULL) christ (jukimiunmayasha) are (ainiawai) fourteen (katurse) generations (apraámnumia) . (.) 
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (akiiniamu) the (NULL) birth (júnis) of (NULL) jesus (NULL) christ (jesukrístu) was (ámiayi) on (.) this (NULL) wise (anajmanairuyayi) : (.) when (tura) as (NULL) his (ni) mother (nukurí) mary (marí) was (ámiayi) espoused (jusejai) to (NULL) joseph (NULL) , (NULL) before (NULL) they (NULL) came (tsaníatsain) together (NULL) , (NULL) she (NULL) was (ámiayi) found (NULL) with (.) child (ajaprumtikiamiayi) of (NULL) the (NULL) holy (yusa) ghost (wakaní) . (NULL) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (jusé) her (NULL) husband (NULL) , (.) being (tura) a (NULL) just (pénker) man (aents) , (.) and (NULL) not (aya) willing (NULL) to (NULL) make (NULL) her (NULL) a (NULL) publick (iniaisatniun) example (NULL) , (.) was (.) minded (NULL) to (NULL) put (NULL) her (NULL) away (ajapatniun) privily (nékainiatsain) . (NULL) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (NULL) while (enentáimia) he (NULL) thought (NULL) on (,) these (pujái) things (nuna) , (NULL) behold ("") , (NULL) the (NULL) angel (suntari) of (NULL) the (NULL) lord (NULL) appeared (juséá) unto (tímiayi) him (NULL) in (NULL) a (.) dream (mesekranam) , (NULL) saying (NULL) , (NULL) joseph (tawitchakait) , (NULL) thou (ame) son (NULL) of (NULL) david (weatrum) , (NULL) fear (ashamkaip) not (.) to (NULL) take (NULL) unto (tímiayi) thee (NULL) mary (marijiai) thy (asam) wife (jurertatna) : (NULL) for (tuma) that (NULL) which (NULL) is (NULL) conceived (NULL) in (NULL) her (wakaníniuiti) is (NULL) of (NULL) the (NULL) holy (yusa) ghost (NULL) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (tura) she (NULL) shall (ashí) bring (takustatui) forth (.) a (NULL) son (NULL) , (NULL) and (tura) thou (NULL) shalt (NULL) call (anaikiattame) his (ni) name (naari) jesus (jesus) : (NULL) for (NULL) he (jesus) shall (ashí) save (anaikiatniuiti) his (ni) people (tunaariya) from (NULL) their (NULL) sins (NULL) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (NULL) this (NULL) was (NULL) done (NULL) , (NULL) that (NULL) it (timia) might (tusa) be (NULL) fulfilled (uminkiati) which (NULL) was (NULL) spoken (NULL) of (NULL) the (NULL) lord (etserniurijiai) by (.) the (NULL) prophet (NULL) , (NULL) saying (juna) , (NULL) "
"b.MAT.1.23 behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name emmanuel , which being interpreted is , god with us .","b.MAT.1.23 (b.MAT.1.23) behold (NULL) , (NULL) a (nuwa) virgin (ajapruktatui) shall (NULL) be (.) with (.) child (uchin) , (NULL) and (tura) shall (NULL) bring (takustatui) forth (.) a (nuwa) son (NULL) , (NULL) and (tura) they (NULL) shall (NULL) call (NULL) his (NULL) name (náarisha) emmanuel (emanuér) , (NULL) which (nu) being (anainiaktatui) interpreted (emanuérsha) is ("") , (NULL) god (yus) with (.) us (iijiai) . (.) "
"b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (jusesha) being (NULL) raised (NULL) from (NULL) sleep (NULL) did (mesekranmaya) as (núnisan) the (NULL) angel (suntari) of (NULL) the (NULL) lord (NULL) had (NULL) bidden (NULL) him (NULL) , (NULL) and (NULL) took (shintiar) unto (NULL) him (NULL) his (NULL) wife (nuatkamiayi) : (.) "
b.MAT.1.25 and knew her not till she had brought forth her firstborn son : and he called his name jesus .,b.MAT.1.25 (b.MAT.1.25) and (tura) knew (NULL) her (NULL) not (NULL) till (NULL) she (NULL) had (.) brought (NULL) forth (NULL) her (NULL) firstborn (NULL) son (NULL) : (NULL) and (tura) he (NULL) called (NULL) his (NULL) name (jurermatai) jesus (jesus) . (.) 
"b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king , behold , there came wise men from the east to jerusalem ,","b.MAT.2.1 (b.MAT.2.1) now (NULL) when (nui) jesus (jesus) was (.) born (akiiniamiayi) in (nunkanam) bethlehem (pirin) of (NULL) judaea (jutía) in (nunkanam) the (NULL) days (pépru) of (NULL) herod (apach) the (NULL) king (akupniuri) , (NULL) behold (irutisauyayi) , (NULL) there (nuisha) came (táarmiayi) wise (neka) men (tátainmaaniya) from (.) the (NULL) east (nantu) to (NULL) jerusalem (jerusarén) , (NULL) "
