context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (ɛisa) christ (lmasih) , (yellan) the (NULL) son (NULL) of (NULL) david (dawed) , (yellan) the (NULL) son (NULL) of (NULL) abraham (ibr) . (:) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (ibr) begat (yeg) isaac (ish) ; (,) and (̌) isaac (ish) begat (yeg) jacob (yeɛqub) ; (,) and (̌) jacob (yeɛqub) begat (yeg) judas (yahuda) and (̌) his (is) brethren (watmaten) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (akk) judas (yahuda) begat (tamar) phares (fares) and (akk) zara (NULL) of (NULL) thamar (zirah) ; (,) and (akk) phares (fares) begat (tamar) esrom (esrun) ; (,) and (akk) esrom (esrun) begat (tamar) aram (aram) ; (,) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (g) aram (aram) begat (yeg) aminadab (ɛaminadab) ; (,) and (g) aminadab (ɛaminadab) begat (yeg) naasson (sun) ; (,) and (g) naasson (sun) begat (yeg) salmon (salmun) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmun) begat (rah) booz (NULL) of (NULL) rachab (an) ; (,) and (NULL) booz (NULL) begat (rah) obed (ɛubed) of (NULL) ruth (sɛan) ; (,) and (NULL) obed (ɛubed) begat (rah) jesse (yassa) ; (,) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (sidna) jesse (yassa) begat (yeg) david (dawed) the (NULL) king (agellid) ; (,) and (sidna) david (dawed) the (NULL) king (agellid) begat (yeg) solomon (sliman) of (NULL) her (tmet) that (NULL) had (̣) been (NULL) the (NULL) wife (ut) of (NULL) urias (uryah) ; (,) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (sliman) begat (yeg) roboam (abɛam) ; (,) and (NULL) roboam (abɛam) begat (yeg) abia (abiya) ; (,) and (NULL) abia (abiya) begat (yeg) asa (asaf) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (g) asa (asaf) begat (yeg) josaphat (yehucafat) ; (;) and (g) josaphat (yehucafat) begat (yeg) joram (yihuram) ; (;) and (g) joram (yihuram) begat (yeg) ozias (ɛuzya) ; (;) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ɛuzya) begat (yeg) joatham (yut) ; (;) and (NULL) joatham (yut) begat (yeg) achaz (az) ; (;) and (NULL) achaz (az) begat (yeg) ezekias (izeqya) ; (;) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (izeqya) begat (yeg) manasses (mennac) ; (;) and (NULL) manasses (mennac) begat (yeg) amon (ɛamun) ; (;) and (NULL) amon (ɛamun) begat (yeg) josias (yuciya) ; (;) 
