context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (imnamna) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (jesucristbe) christ (NULL) , (NULL) the (NULL) son (jesucristna) of (NULL) david (david) , (NULL) the (NULL) son (jesucristna) of (NULL) abraham (abrahámbents) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (isaacna) isaac (isaacbe) ; (;) and (y) isaac (isaacbe) begat (isaacna) jacob (jacobëbe) ; (;) and (y) jacob (jacobëbe) begat (isaacna) judas (fares) and (y) his (chabe) brethren (cats) ; (;) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (choca) solomon (salomón) begat (roboambe) roboam (roboam) ; (;) and (choca) roboam (roboam) begat (roboambe) abia (ezequíasbe) ; (;) and (choca) abia (ezequíasbe) begat (roboambe) asa (babilonioca) ; (;) 
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (y) after (ndutámenënga) they (zorobabelbe) were (salatielbe) brought (jeconías) to (azorbe) babylon (babilonioca) , (;) jechonias (sadoc) begat (taitá) salathiel (salatiel) ; (NULL) and (y) salathiel (salatiel) begat (taitá) zorobabel (eliud) ; (NULL) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) so (chcasna) all (NULL) the (NULL) generations (NULL) from (ana) abraham (abrahámbents) to (,) david (NULL) are (NULL) fourteen (canta) generations (NULL) ; (.) and (y) from (ana) david (NULL) until (NULL) the (NULL) carrying (NULL) away (NULL) into (NULL) babylon (babilonioca) are (NULL) fourteen (canta) generations (NULL) ; (.) and (y) from (ana) the (NULL) carrying (NULL) away (NULL) into (NULL) babylon (babilonioca) unto (NULL) christ (cristo) are (NULL) fourteen (canta) generations (NULL) . (.) "
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (jónÿnanamna) of (NULL) jesus (jesucristo) christ (NULL) was (tojanopasá) on (̈) this (mënts) wise (NULL) : (NULL) when (ora) as (NULL) his (NULL) mother (ibontsiyena) mary (maría) was (tojanopasá) espoused (joséftaca) to (NULL) joseph (NULL) , (NULL) before (cabá) they (,) came (tojanopasá) together (cánÿiñe) , (NULL) she (NULL) was (tojanopasá) found (NULL) with (yojoquéda) child (NULL) of (NULL) the (NULL) holy (uámana) ghost (espíritbe) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (josé) her (NULL) husband (boyá) , (NULL) being (NULL) a (canÿe) just (soyënguiñe) man (ents) , (NULL) and (,) not (ndoñe) willing (yontsebos) to (jamama) make (NULL) her (NULL) a (canÿe) publick (jtsojuánañana) example (tojanjuabó) , (NULL) was (inamna) minded (bos) to (jamama) put (NULL) her (NULL) away (ana) privily (iytëcana) . (.) "
"b.MAT.1.20 but while he thought on these things , behold , the angel of the lord appeared unto him in a dream , saying , joseph , thou son of david , fear not to take unto thee mary thy wife : for that which is conceived in her is of the holy ghost .","b.MAT.1.20 (b.MAT.1.20) but (y) while (NULL) he (chana) thought (NULL) on (yojtsejuabnantscuana) these (NULL) things (NULL) , (NULL) behold (NULL) , (NULL) the (bëtsabe) angel (ángel) of (NULL) the (bëtsabe) lord (bëngbe) appeared (josébioye) unto (“) him (tbojaniyana) in (̈) a (canÿe) dream (otjenayoquëcá) , (NULL) saying (:) , (NULL) joseph (josé) , (NULL) thou (NULL) son (á) of (NULL) david (davídbents) , (NULL) fear (matenócochinÿenana) not (ndoñe) to (NULL) take (s) unto (“) thee (NULL) mary (NULL) thy (NULL) wife (maríaftaca) : (,) for (er) that (chë) which (NULL) is (NULL) conceived (bochántsebomna) in (̈) her (NULL) is (NULL) of (NULL) the (bëtsabe) holy (uámana) ghost (espíritbe) . (.) "
"b.MAT.1.21 and she shall bring forth a son , and thou shalt call his name jesus : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) and (NULL) she (maría) shall (NULL) bring (s) forth (NULL) a (canÿe) son (bochántsebomna) , (̈) and (NULL) thou (—) shalt (ca) call (cochjuabaye) his (cha) name (NULL) jesus (jesús) : (.) for (er) he (cha) shall (NULL) save (echanjátsebacaye) his (cha) people (ents) from (ana) their (chëngbe) sins (bacna) . (.) "
"b.MAT.1.22 now all this was done , that it might be fulfilled which was spoken of the lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) now (NULL) all (lempe) this (NULL) was (NULL) done (NULL) , (,) that (NULL) it (chca) might (NULL) be (chaotsemnama) fulfilled (tojanayancá) which (amo) was (NULL) spoken (oyebuambnayëngbiajana) of (juabna) the (chë) lord (NULL) by (bëtsá) the (chë) prophet (oyebuambnayá) , (,) saying (mënts) , (,) "
