context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (grāmata) of (NULL) the (NULL) generation (cilts) of (NULL) jesus (jēzus) christ (kristus) , (,) the (NULL) son (dēla) of (NULL) david (dāvida) , (,) the (NULL) son (dēla) of (NULL) abraham (ābrahama) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (ābrahams) begat (dzemdināja) isaac (īzāku) ; (.) and (un) isaac (īzāku) begat (dzemdināja) jacob (jēkabu) ; (.) and (un) jacob (jēkabu) begat (dzemdināja) judas (jūdu) and (un) his (viņa) brethren (brāļus) ; (.) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (jūda) begat (dzemdināja) phares (faresu) and (NULL) zara (zāru) of (no) thamar (tamāras) ; (;) and (NULL) phares (faresu) begat (dzemdināja) esrom (esronu) ; (;) and (NULL) esrom (esronu) begat (dzemdināja) aram (aramu) ; (;) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (arams) begat (dzemdināja) aminadab (aminadabu) ; (;) and (NULL) aminadab (aminadabu) begat (dzemdināja) naasson (nāsonu) ; (;) and (NULL) naasson (nāsonu) begat (dzemdināja) salmon (salmonu) ; (;) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmons) begat (dzemdināja) booz (boozu) of (no) rachab (rahabas) ; (;) and (NULL) booz (boozu) begat (dzemdināja) obed (obedu) of (no) ruth (rutes) ; (;) and (NULL) obed (obedu) begat (dzemdināja) jesse (jesi) ; (;) 
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (NULL) begat (NULL) david (NULL) the (NULL) king (ķēniņš) ; (NULL) and (NULL) david (NULL) the (NULL) king (ķēniņš) begat (NULL) solomon (salomonu) of (no) her (tās) that (kas) had (bija) been (NULL) the (NULL) wife (NULL) of (no) urias (ūrija) ; (NULL) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomons) begat (dzemdināja) roboam (roboamu) ; (;) and (NULL) roboam (roboamu) begat (dzemdināja) abia (abiju) ; (;) and (NULL) abia (abiju) begat (dzemdināja) asa (azu) ; (;) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (azs) begat (dzemdināja) josaphat (jozafatu) ; (;) and (NULL) josaphat (jozafatu) begat (dzemdināja) joram (joramu) ; (;) and (NULL) joram (joramu) begat (dzemdināja) ozias (oziju) ; (;) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ozijs) begat (dzemdināja) joatham (joatamu) ; (;) and (NULL) joatham (joatamu) begat (dzemdināja) achaz (ahazu) ; (;) and (NULL) achaz (ahazu) begat (dzemdināja) ezekias (ezehiju) ; (;) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (un) ezekias (ezehijs) begat (dzemdināja) manasses (manasu) ; (;) and (un) manasses (manasu) begat (dzemdināja) amon (amonu) ; (;) and (un) amon (amonu) begat (dzemdināja) josias (josiju) ; (;) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (josijs) begat (dzemdināja) jechonias (jehoniju) and (NULL) his (viņa) brethren (brāļus) , (NULL) about (NULL) the (NULL) time (NULL) they (NULL) were (NULL) carried (NULL) away (verdzībā) to (NULL) babylon (babilonas) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (pēc) they (verdzības) were (NULL) brought (NULL) to (NULL) babylon (babilonas) , (NULL) jechonias (jehonijs) begat (dzemdināja) salathiel (salatiēlu) ; (;) and (NULL) salathiel (salatiēlu) begat (dzemdināja) zorobabel (zorobabelu) ; (;) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zorobabels) begat (dzemdināja) abiud (abiudu) ; (;) and (NULL) abiud (abiudu) begat (dzemdināja) eliakim (eliakimu) ; (;) and (NULL) eliakim (eliakimu) begat (dzemdināja) azor (azoru) ; (;) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azors) begat (dzemdināja) sadoc (sadoku) ; (;) and (NULL) sadoc (sadoku) begat (dzemdināja) achim (ahimu) ; (;) and (NULL) achim (ahimu) begat (dzemdināja) eliud (eliudu) ; (;) 
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,b.MAT.1.15 (b.MAT.1.15) and (un) eliud (eliuds) begat (dzemdināja) eleazar (eleazaru) ; (;) and (un) eleazar (eleazaru) begat (dzemdināja) matthan (matanu) ; (;) and (un) matthan (matanu) begat (dzemdināja) jacob (jēkabu) ; (;) 
"b.MAT.1.16 and jacob begat joseph the husband of mary , of whom was born jesus , who is called christ .","b.MAT.1.16 (b.MAT.1.16) and (bet) jacob (jēkabs) begat (dzemdināja) joseph (jāzepu) the (NULL) husband (vīru) of (NULL) mary (marijas) , (,) of (NULL) whom (kuras) was (NULL) born (dzimis) jesus (jēzus) , (,) who (kas) is (top) called (saukts) christ (kristus) . (.) "
b.MAT.1.17 so all the generations from abraham to david are fourteen generations ; and from david until the carrying away into babylon are fourteen generations ; and from the carrying away into babylon unto christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) so (NULL) all (visas) the (NULL) generations (paaudzes) from (no) abraham (ābrahama) to (līdz) david (dāvidam) are (ir) fourteen (četrpadsmit) generations (paaudzes) ; (;) and (un) from (no) david (dāvidam) until (līdz) the (NULL) carrying (babilonas) away (NULL) into (verdzībai) babylon (NULL) are (ir) fourteen (četrpadsmit) generations (paaudzes) ; (;) and (un) from (no) the (NULL) carrying (babilonas) away (NULL) into (verdzībai) babylon (NULL) unto (līdz) christ (kristum) are (ir) fourteen (četrpadsmit) generations (paaudzes) . (.) 
"b.MAT.1.18 now the birth of jesus christ was on this wise : when as his mother mary was espoused to joseph , before they came together , she was found with child of the holy ghost .","b.MAT.1.18 (b.MAT.1.18) now (bet) the (NULL) birth (dzimšanu) of (NULL) jesus (NULL) christ (kristus) was (bija) on (NULL) this (tā) wise (NULL) : (:) when (kad) as (NULL) his (viņa) mother (māte) mary (marija) was (bija) espoused (saderināta) to (ar) joseph (jāzepu) , (,) before (iekams) they (viņi) came (sagāja) together (kopā) , (,) she (viņa) was (bija) found (izrādījās) with (ar) child (ieņēmusi) of (NULL) the (NULL) holy (svētā) ghost (gara) . (.) "
"b.MAT.1.19 then joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) then (bet) joseph (jāzeps) her (viņas) husband (vīrs) , (,) being (būdams) a (NULL) just (taisnīgs) man (NULL) , (,) and (un) not (NULL) willing (negribēdams) to (NULL) make (NULL) her (viņas) a (NULL) publick (neslavu) example (celt) , (,) was (NULL) minded (NULL) to (NULL) put (atstāt) her (viņas) away (NULL) privily (slepeni) . (.) "
