context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (a) book (NULL) of (tzajnin) the (a) generation (NULL) of (tzajnin) jesus (jesucrist) christ (NULL) , (,) the (a) son (NULL) of (tzajnin) david (david) , (,) the (a) son (NULL) of (tzajnin) abraham (abraham) . (NULL) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (ttata) isaac (NULL) ; (NULL) and (ante) isaac (NULL) begat (ttata) jacob (NULL) ; (NULL) and (ante) jacob (NULL) begat (ttata) judas (NULL) and (ante) his (NULL) brethren (titzˈin) ; (NULL) 
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,"b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (NULL) begat (NULL) phares (judá) and (NULL) zara (tamar) of (,) thamar (zara) ; (.) and (NULL) phares (judá) begat (NULL) esrom (NULL) ; (.) and (NULL) esrom (NULL) begat (NULL) aram (aram) ; (.) "
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (NULL) begat (ttata) aminadab (NULL) ; (NULL) and (NULL) aminadab (NULL) begat (ttata) naasson (NULL) ; (NULL) and (NULL) naasson (NULL) begat (ttata) salmon (salmón) ; (NULL) 
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (ante) salmon (salmón) begat (ttata) booz (booz) of (NULL) rachab (ayeˈ) ; (,) and (ante) booz (booz) begat (ttata) obed (NULL) of (NULL) ruth (rut) ; (,) and (ante) obed (NULL) begat (ttata) jesse (isaí) ; (,) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,b.MAT.1.6 (b.MAT.1.6) and (ante) jesse (isaí) begat (ttata) david (david) the (a) king (nmaq) ; (.) and (ante) david (david) the (a) king (nmaq) begat (ttata) solomon (salomón) of (NULL) her (NULL) that (a) had (NULL) been (urías) the (a) wife (NULL) of (NULL) urias (xuˈjlbˈin) ; (.) 
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (ttata) roboam (NULL) ; (NULL) and (NULL) roboam (NULL) begat (ttata) abia (NULL) ; (NULL) and (NULL) abia (NULL) begat (ttata) asa (asa) ; (NULL) 
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (josafat) begat (ttata) josaphat (NULL) ; (NULL) and (NULL) josaphat (NULL) begat (ttata) joram (NULL) ; (NULL) and (NULL) joram (NULL) begat (ttata) ozias (uzías) ; (NULL) 
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (jotam) begat (ttata) joatham (NULL) ; (NULL) and (NULL) joatham (NULL) begat (ttata) achaz (NULL) ; (NULL) and (NULL) achaz (NULL) begat (ttata) ezekias (ezequías) ; (NULL) 
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (NULL) begat (ttata) manasses (manasés) ; (NULL) and (NULL) manasses (manasés) begat (ttata) amon (NULL) ; (NULL) and (NULL) amon (NULL) begat (ttata) josias (josías) ; (NULL) 
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (NULL) begat (ttata) jechonias (jeconías) and (NULL) his (NULL) brethren (titzˈin) , (,) about (NULL) the (aj) time (NULL) they (NULL) were (NULL) carried (jtzˈoˈn) away (NULL) to (te) babylon (babilonia) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) babylon (babilonia) , (NULL) jechonias (jeconías) begat (ttata) salathiel (NULL) ; (NULL) and (NULL) salathiel (NULL) begat (ttata) zorobabel (zorobabel) ; (NULL) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (NULL) begat (ttata) abiud (NULL) ; (NULL) and (NULL) abiud (NULL) begat (ttata) eliakim (NULL) ; (NULL) and (NULL) eliakim (NULL) begat (ttata) azor (azor) ; (NULL) 
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (sadoc) begat (ttata) sadoc (NULL) ; (NULL) and (NULL) sadoc (NULL) begat (ttata) achim (NULL) ; (NULL) and (NULL) achim (NULL) begat (ttata) eliud (eliud) ; (NULL) 
