context,targ
"b.MAT.1.1 the book of the generation of jesus christ , the son of david , the son of abraham .","b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (tocayomej) of (NULL) jesus (NULL) christ (jesucristo) , (NULL) the (NULL) son (NULL) of (NULL) david (david) , (NULL) the (NULL) son (NULL) of (NULL) abraham (abraham) . (.) "
b.MAT.1.2 abraham begat isaac ; and isaac begat jacob ; and jacob begat judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (tajtli) isaac (isaac) ; (,) and (niman) isaac (isaac) begat (tajtli) jacob (jacob) ; (,) and (niman) jacob (jacob) begat (tajtli) judas (judá) and (niman) his (NULL) brethren (icnihuan) ; (,) "
b.MAT.1.3 and judas begat phares and zara of thamar ; and phares begat esrom ; and esrom begat aram ;,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (judá) begat (tajtli) phares (fares) and (NULL) zara (zara) of (itech) thamar (tamar) ; (.) and (NULL) phares (fares) begat (tajtli) esrom (esrom) ; (.) and (NULL) esrom (esrom) begat (tajtli) aram (aram) ; (.) 
b.MAT.1.4 and aram begat aminadab ; and aminadab begat naasson ; and naasson begat salmon ;,"b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (tajtli) aminadab (aminadab) ; (,) and (NULL) aminadab (aminadab) begat (tajtli) naasson (naasón) ; (,) and (NULL) naasson (naasón) begat (tajtli) salmon (salmón) ; (,) "
b.MAT.1.5 and salmon begat booz of rachab ; and booz begat obed of ruth ; and obed begat jesse ;,"b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmón) begat (tajtli) booz (booz) of (itech) rachab (inan) ; (,) and (NULL) booz (booz) begat (tajtli) obed (obed) of (itech) ruth (rut) ; (,) and (NULL) obed (obed) begat (tajtli) jesse (isaí) ; (,) "
b.MAT.1.6 and jesse begat david the king ; and david the king begat solomon of her that had been the wife of urias ;,"b.MAT.1.6 (b.MAT.1.6) and (niman) jesse (isaí) begat (tajtli) david (david) the (NULL) king (rey) ; (.) and (niman) david (david) the (NULL) king (rey) begat (tajtli) solomon (salomón) of (itech) her (NULL) that (NULL) had (,) been (NULL) the (NULL) wife (NULL) of (itech) urias (urías) ; (.) "
b.MAT.1.7 and solomon begat roboam ; and roboam begat abia ; and abia begat asa ;,"b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (tajtli) roboam (roboam) ; (,) and (NULL) roboam (roboam) begat (tajtli) abia (abías) ; (,) and (NULL) abia (abías) begat (tajtli) asa (asa) ; (,) "
b.MAT.1.8 and asa begat josaphat ; and josaphat begat joram ; and joram begat ozias ;,"b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (tajtli) josaphat (josafat) ; (,) and (NULL) josaphat (josafat) begat (tajtli) joram (joram) ; (,) and (NULL) joram (joram) begat (tajtli) ozias (uzías) ; (,) "
b.MAT.1.9 and ozias begat joatham ; and joatham begat achaz ; and achaz begat ezekias ;,"b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzías) begat (tajtli) joatham (jotam) ; (,) and (NULL) joatham (jotam) begat (tajtli) achaz (acaz) ; (,) and (NULL) achaz (acaz) begat (tajtli) ezekias (ezequías) ; (,) "
b.MAT.1.10 and ezekias begat manasses ; and manasses begat amon ; and amon begat josias ;,"b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequías) begat (tajtli) manasses (manasés) ; (,) and (NULL) manasses (manasés) begat (tajtli) amon (amón) ; (,) and (NULL) amon (amón) begat (tajtli) josias (josías) ; (,) "
"b.MAT.1.11 and josias begat jechonias and his brethren , about the time they were carried away to babylon :","b.MAT.1.11 (b.MAT.1.11) and (niman) josias (josías) begat (tajtli) jechonias (jeconías) and (niman) his (NULL) brethren (icnihuan) , (.) about (ipan) the (on) time (tonaltin) they (yejhuamej) were (nemiyaj) carried (oquintzacuatoj) away (on) to (NULL) babylon (babilonia) : (.) "
"b.MAT.1.12 and after they were brought to babylon , jechonias begat salathiel ; and salathiel begat zorobabel ;","b.MAT.1.12 (b.MAT.1.12) and (NULL) after (ijcuac) they (on) were (NULL) brought (ne) to (on) babylon (babilonia) , (,) jechonias (jeconías) begat (tajtli) salathiel (salatiel) ; (,) and (NULL) salathiel (salatiel) begat (tajtli) zorobabel (zorobabel) ; (,) "
b.MAT.1.13 and zorobabel begat abiud ; and abiud begat eliakim ; and eliakim begat azor ;,"b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zorobabel) begat (tajtli) abiud (abiud) ; (,) and (NULL) abiud (abiud) begat (tajtli) eliakim (eliaquim) ; (,) and (NULL) eliakim (eliaquim) begat (tajtli) azor (azor) ; (,) "
b.MAT.1.14 and azor begat sadoc ; and sadoc begat achim ; and achim begat eliud ;,"b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azor) begat (tajtli) sadoc (sadoc) ; (,) and (NULL) sadoc (sadoc) begat (tajtli) achim (aquim) ; (,) and (NULL) achim (aquim) begat (tajtli) eliud (eliud) ; (,) "
b.MAT.1.15 and eliud begat eleazar ; and eleazar begat matthan ; and matthan begat jacob ;,"b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliud) begat (tajtli) eleazar (eleazar) ; (,) and (NULL) eleazar (eleazar) begat (tajtli) matthan (matán) ; (,) and (NULL) matthan (matán) begat (tajtli) jacob (jacob) ; (,) "
